Fecha;Hora;name;stationId;OZONO;PM25;NO;NO2;NOX;SO2;eBC;PM10;CO;BBP
2025-09-30;00:21;Usaquen;1;-9999;0;-9999;-9999;-9999;-9999;;1;-9999;
2025-09-30;00:21;Carvajal - Sevillana;3;;1;;;;0.8;;38;3.99;
2025-09-30;00:21;Tunal;4;18.1;8;0;2.8;2.9;0.1;0.7;11;-9999;4.9
2025-09-30;00:21;Centro de Alto Rendimiento;5;4.7;5.3;2.1;15.7;17.8;0.2;2.9;16.9;0.43;8.1
2025-09-30;00:21;Las Ferias;6;12.1;7;0.4;11.9;12.3;;;10.9;0.26;
2025-09-30;00:21;Guaymaral;8;16.3;0;-9999;-9999;-9999;0.6;;10;0.22;
2025-09-30;00:21;Kennedy;9;12.4;14.3;3.4;13.5;16.9;0.9;2.2;32.4;0.54;11.5
2025-09-30;00:21;Suba;11;9.4;7;0.9;6;6.9;0.5;;30.3;0.26;
2025-09-30;00:21;Puente Aranda;13;10.4;11;3.6;17.1;20.8;1;1.2;12.1;0.2;2.2
2025-09-30;00:21;MinAmbiente;17;17.5;9;2.7;7;9.7;0.6;;11;0.3;
2025-09-30;00:21;San Cristobal;24;16.6;6;1;6.8;7.8;1.1;0.6;5;0.25;21.2
2025-09-30;00:21;Movil 7ma;26;;5.9;;;;;;19.2;-9999;
2025-09-30;00:21;Bolivia;27;4.7;6.2;7.3;16.7;24;;;30.4;0.54;
2025-09-30;00:21;Fontibon;30;4.1;21.6;2.7;18.3;21;0.8;2.3;22.2;0.33;6.9
2025-09-30;00:21;Usme;32;11.8;11.7;5.4;18.5;23.9;0.8;;28.1;0.29;
2025-09-30;00:21;Jazmin;34;13.2;9.7;1.3;13.9;15.3;1.1;;25.2;0.26;
2025-09-30;00:21;Ciudad Bolivar;37;21.4;8.8;0.7;5.8;6.6;1.1;0.7;26.2;0.11;7
2025-09-30;00:21;Colina;38;8;6.2;2;12.9;14.9;1.2;;8.2;0.23;
2025-09-30;00:21;Movil Fontibon;39;;16.4;-9999;-9999;-9999;;;52.4;-9999;
