Fecha;Hora;name;stationId;BBP;PM25;CO;PM10;NOX;NO;eBC;OZONO;NO2;SO2
2025-10-01;00:22;Usaquen;1;;0.0;-9999.0;3.1;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0
2025-10-01;00:22;Carvajal - Sevillana;3;;43.0;0.89;74.0;;;;;;2.0
2025-10-01;00:22;Tunal;4;4.7;8.0;-9999.0;17.0;6.3;1.8;1.0;11.4;4.5;0.1
2025-10-01;00:22;Centro de Alto Rendimiento;5;10.4;8.9;0.79;25.8;41.3;24.4;6.1;7.7;16.9;0.6
2025-10-01;00:22;Las Ferias;6;;17.0;0.4;28.3;30.7;9.8;;3.5;21.1;
2025-10-01;00:22;Guaymaral;8;;0.0;0.22;15.0;8.7;-0.5;;9.7;9.2;0.6
2025-10-01;00:22;Kennedy;9;5.2;12.4;0.7;23.4;32.2;14.6;2.4;4.7;17.6;1.1
2025-10-01;00:22;Suba;11;;8.0;0.41;19.9;23.5;9.3;;1.5;14.3;0.5
2025-10-01;00:22;Puente Aranda;13;7.8;7.5;0.62;6.2;38.8;14.3;1.1;2.2;24.5;1.3
2025-10-01;00:22;MinAmbiente;17;;5.0;0.33;10.0;12.6;5.1;;10.0;7.5;0.4
2025-10-01;00:22;San Cristobal;24;32.0;6.0;0.23;7.0;6.0;0.8;0.4;15.6;5.2;0.8
2025-10-01;00:22;Movil 7ma;26;;14.0;-9999.0;37.2;;;;;;
2025-10-01;00:22;Bolivia;27;;8.9;0.77;24.0;38.4;17.2;;0.8;21.1;
2025-10-01;00:22;Fontibon;30;7.9;17.3;0.53;21.0;44.1;19.5;3.8;0.6;24.6;1.0
2025-10-01;00:22;Usme;32;;4.0;0.28;23.8;11.7;2.8;;17.5;8.8;2.8
2025-10-01;00:22;Jazmin;34;;8.6;0.38;21.6;22.4;3.5;;6.3;18.9;1.2
2025-10-01;00:22;Ciudad Bolivar;37;1.8;7.8;0.19;24.0;7.9;1.3;1.0;17.9;6.6;1.4
2025-10-01;00:22;Colina;38;;9.8;0.37;16.5;22.3;6.7;;2.8;15.5;0.6
2025-10-01;00:22;Movil Fontibon;39;;14.2;-9999.0;30.4;-9999.0;-9999.0;;;-9999.0;
2025-10-01;01:34;Usaquen;1;;0;-9999;16.5;-9999;-9999;;-9999;-9999;-9999
2025-10-01;01:34;Carvajal - Sevillana;3;;26;0.53;43;;;;;;1.5
2025-10-01;01:34;Tunal;4;5.6;16;-9999;13;4.5;1.1;0.8;11.4;3.4;0.2
2025-10-01;01:34;Centro de Alto Rendimiento;5;6.6;18;0.43;32.4;25.7;12.2;3.3;2.1;13.5;0.2
2025-10-01;01:34;Las Ferias;6;;11;0.46;20.4;13.7;1.5;;7.5;12.2;
2025-10-01;01:34;Guaymaral;8;;0;0.24;13;17.2;6;;7.1;11.2;0.8
2025-10-01;01:34;Kennedy;9;4.7;9.4;0.53;20.1;23;8.3;2.8;6.5;14.7;1
2025-10-01;01:34;Suba;11;;8;0.29;21.6;13.4;2.5;;4.1;11;0.7
2025-10-01;01:34;Puente Aranda;13;5.6;10.9;0.6;10.6;54.8;28;1.6;1;27.1;1.3
2025-10-01;01:34;MinAmbiente;17;;4;0.4;6;11.7;3.9;;7.7;7.8;0.5
2025-10-01;01:34;San Cristobal;24;6.8;4;0.15;6;4.5;0.5;0.2;15.1;4;0.8
2025-10-01;01:34;Movil 7ma;26;;10.1;-9999;25.4;;;;;;
2025-10-01;01:34;Bolivia;27;;8.2;0.56;21.4;25.9;8.8;;1.7;17.2;
2025-10-01;01:34;Fontibon;30;10.2;12.9;0.54;20.7;62.7;39.7;3.9;0.4;23.1;1.6
2025-10-01;01:34;Usme;32;;8.7;0.16;25.9;13.4;3.2;;14.9;10.2;1.3
2025-10-01;01:34;Jazmin;34;;6.2;0.28;21.8;19;1.9;;7.7;17.2;1.2
2025-10-01;01:34;Ciudad Bolivar;37;0;6.3;0.19;19.6;6.7;0.3;1.3;16;6.4;1.5
2025-10-01;01:34;Colina;38;;15.1;0.31;12.2;13.5;4.2;;7.4;9.2;0.6
2025-10-01;01:34;Movil Fontibon;39;;15.4;-9999;20;-9999;-9999;;;-9999;
