Fecha;Hora;name;stationId;OZONO;BBP;SO2;eBC;NO2;NOX;PM25;CO;NO;PM10
2025-10-03;00:21;Usaquen;1;-9999;;-9999;;-9999;-9999;1.6;-9999;-9999;2.4
2025-10-03;00:21;Carvajal - Sevillana;3;;;0.9;;;;23;0.74;;67
2025-10-03;00:21;Tunal;4;14.4;4.2;0.1;1.6;5.4;8.5;9;-9999;3.1;0
2025-10-03;00:21;Centro de Alto Rendimiento;5;18.9;5.9;1;1;6.5;8.4;5.2;0.23;1.9;16.8
2025-10-03;00:21;Las Ferias;6;22.3;;;;6.5;7.6;9;0.3;1.1;11.1
2025-10-03;00:21;Guaymaral;8;19.3;;0.5;;8.7;7.8;5;0.26;-0.9;19
2025-10-03;00:21;Kennedy;9;8.3;8.2;0.8;3.8;19;18;5.7;0.69;0;23.3
2025-10-03;00:21;Suba;11;9.3;;0.5;;9.5;11.5;9;0.32;2;19.4
2025-10-03;00:21;Puente Aranda;13;7.9;7.5;1.2;0.9;19.3;25.3;1.7;0.5;5.9;2.8
2025-10-03;00:21;MinAmbiente;17;12.4;;0.5;;7.8;14.8;6;0.36;7;10
2025-10-03;00:21;San Cristobal;24;18.1;12.4;1.1;0.5;5.5;6.1;10;0.26;0.6;5
2025-10-03;00:21;Movil 7ma;26;;;;;;;1.2;-9999;;33
2025-10-03;00:21;Bolivia;27;9.1;;;;14.2;20;4.5;0.68;5.8;38.6
2025-10-03;00:21;Fontibon;30;2.3;3.8;0.8;4;33.3;41.8;21.6;0.62;8.4;24.1
2025-10-03;00:21;Usme;32;14.4;;6.2;;19.9;23.9;7.9;0.23;4;29.5
2025-10-03;00:21;Jazmin;34;18;;1.1;;12.3;14.6;1.7;0.23;2.3;15.7
2025-10-03;00:21;Ciudad Bolivar;37;23.4;7;1.1;0.9;6.5;6.8;5;0.38;0.4;15.3
2025-10-03;00:21;Colina;38;12.1;;1.2;;11;12.6;8.6;0.21;1.6;4.3
2025-10-03;00:21;Movil Fontibon;39;;;;;-9999;-9999;10.2;-9999;-9999;57.9
