Fecha;Hora;name;stationId;CO;OZONO;eBC;BBP;NO2;NO;PM10;SO2;NOX;PM25
2025-10-04;00:20;Usaquen;1;-9999.0;-9999.0;;;-9999.0;-9999.0;16.6;-9999.0;-9999.0;0.1
2025-10-04;00:20;Carvajal - Sevillana;3;1.06;;;;;;68.0;1.5;;37.0
2025-10-04;00:20;Tunal;4;-9999.0;5.0;3.2;2.3;17.0;11.2;29.0;0.7;28.2;15.0
2025-10-04;00:20;Centro de Alto Rendimiento;5;0.82;9.3;5.4;9.4;18.6;20.5;25.4;0.0;39.2;9.3
2025-10-04;00:20;Las Ferias;6;0.46;8.3;;;18.9;7.1;18.3;;26.1;5.0
2025-10-04;00:20;Guaymaral;8;0.79;0.2;;;20.1;88.1;39.0;2.4;108.2;17.0
2025-10-04;00:20;Kennedy;9;1.16;3.4;4.3;5.6;26.2;8.6;49.7;0.9;34.7;20.5
2025-10-04;00:20;Suba;11;0.45;3.1;;;19.8;5.8;35.4;1.3;25.7;10.0
2025-10-04;00:20;Puente Aranda;13;0.8;3.2;2.5;3.5;29.9;25.5;36.7;1.1;55.4;15.5
2025-10-04;00:20;MinAmbiente;17;0.43;12.7;;;10.8;7.5;8.0;0.4;18.3;5.0
2025-10-04;00:20;San Cristobal;24;0.42;10.3;1.1;15.1;10.9;2.5;13.0;0.9;13.4;10.0
2025-10-04;00:20;Movil 7ma;26;-9999.0;;;;;;27.4;;;6.7
2025-10-04;00:20;Bolivia;27;0.77;2.1;;;28.0;18.9;57.6;;46.8;17.1
2025-10-04;00:20;Fontibon;30;1.07;0.8;5.8;9.1;34.5;44.8;35.9;2.0;79.2;23.1
2025-10-04;00:20;Usme;32;0.36;8.1;;;23.0;3.7;18.1;6.1;26.7;5.5
2025-10-04;00:20;Jazmin;34;0.58;6.9;;;25.7;3.7;34.2;0.8;29.5;7.8
2025-10-04;00:20;Ciudad Bolivar;37;0.23;24.1;0.9;11.6;7.2;0.8;21.7;1.0;8.0;3.9
2025-10-04;00:20;Colina;38;0.51;3.5;;;23.1;4.2;18.2;0.7;27.3;8.3
2025-10-04;00:20;Movil Fontibon;39;-9999.0;;;;-9999.0;-9999.0;81.9;;-9999.0;17.3
2025-10-04;01:30;Usaquen;1;-9999;-9999;;;-9999;-9999;13.4;-9999;-9999;1.2
2025-10-04;01:30;Carvajal - Sevillana;3;1.3;;;;;;88;1.1;;32
2025-10-04;01:30;Tunal;4;-9999;3.4;2.9;5.7;17.2;13.2;27;0.6;30.4;17
2025-10-04;01:30;Centro de Alto Rendimiento;5;0.95;-6.5;5.3;6;15.8;36.5;24.2;0.1;52.4;7.9
2025-10-04;01:30;Las Ferias;6;0.52;7.3;;;18.1;4.1;13.2;;22.1;10
2025-10-04;01:30;Guaymaral;8;0.75;0.2;;;17.1;73.1;36;2.8;90.2;19
2025-10-04;01:30;Kennedy;9;1.15;1.2;7.3;7.1;29.9;25.8;42.1;1.1;55.7;16.8
2025-10-04;01:30;Suba;11;0.55;0.9;;;22.5;12.6;25.6;1.5;35.1;17
2025-10-04;01:30;Puente Aranda;13;0.73;2.5;1.7;3.7;29.8;31.5;27.5;1.5;61.2;17
2025-10-04;01:30;MinAmbiente;17;0.37;14.7;;;7.8;4.2;13;0.3;12;1
2025-10-04;01:30;San Cristobal;24;0.18;15.5;0.4;6.5;4.4;1.1;8;0.8;5.5;7
2025-10-04;01:30;Movil 7ma;26;-9999;;;;;;26.8;;;11.7
2025-10-04;01:30;Bolivia;27;0.72;1.7;;;23.2;10.7;50.2;;33.9;12.9
2025-10-04;01:30;Fontibon;30;0.93;0.8;5.9;10.2;35.5;57.3;38.3;1.3;92.6;30.4
2025-10-04;01:30;Usme;32;0.46;4.4;;;24.7;9.9;25.7;4.5;34.6;9
2025-10-04;01:30;Jazmin;34;0.47;8.2;;;22.8;4.7;28.8;0.8;27.4;12.5
2025-10-04;01:30;Ciudad Bolivar;37;0.49;11;2.6;7.5;18.8;13.9;16.8;1.2;32.7;3
2025-10-04;01:30;Colina;38;0.46;46.2;;;22.5;6.7;17.9;0.6;29.2;8.1
2025-10-04;01:30;Movil Fontibon;39;-9999;;;;-9999;-9999;91.3;;-9999;16.3
