Fecha;Hora;name;stationId;PM25;NO2;CO;NO;SO2;NOX;BBP;OZONO;eBC;PM10
2025-10-05;00:20;Usaquen;1;0.1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;;-9999.0;;0.0
2025-10-05;00:20;Carvajal - Sevillana;3;18.0;;0.82;;1.3;;;;;51.0
2025-10-05;00:20;Tunal;4;6.0;7.0;-9999.0;2.8;0.3;9.8;3.0;17.7;1.0;12.0
2025-10-05;00:20;Centro de Alto Rendimiento;5;8.2;17.8;0.62;8.6;11.9;26.4;9.9;2.6;2.1;9.3
2025-10-05;00:20;Las Ferias;6;4.0;16.9;0.36;5.0;;21.9;;12.3;;11.6
2025-10-05;00:20;Guaymaral;8;7.0;7.7;0.23;0.0;0.7;7.7;;15.7;;17.0
2025-10-05;00:20;Kennedy;9;9.7;19.7;0.71;-21.9;0.9;-2.1;12.8;11.1;2.1;21.0
2025-10-05;00:20;Suba;11;3.0;9.4;0.33;2.5;1.0;11.9;;9.1;;23.9
2025-10-05;00:20;Puente Aranda;13;1.9;18.6;0.26;3.4;1.3;22.0;9.4;10.1;0.5;2.6
2025-10-05;00:20;MinAmbiente;17;4.0;10.7;0.43;3.5;0.5;14.2;;19.9;;5.0
2025-10-05;00:20;San Cristobal;24;5.0;8.3;0.27;1.2;0.8;9.5;9.6;19.0;0.4;4.0
2025-10-05;00:20;Movil 7ma;26;1.3;;-9999.0;;;;;;;20.1
2025-10-05;00:20;Bolivia;27;7.1;15.1;0.61;3.5;;18.6;;6.7;;39.2
2025-10-05;00:20;Fontibon;30;12.2;20.7;0.3;1.7;0.9;22.4;15.1;12.7;1.2;8.1
2025-10-05;00:20;Usme;32;6.1;12.9;0.26;1.7;7.6;14.6;;22.9;;35.7
2025-10-05;00:20;Jazmin;34;7.3;22.7;0.46;5.9;1.0;28.6;;10.2;;14.5
2025-10-05;00:20;Ciudad Bolivar;37;7.1;7.0;0.0;0.5;0.7;7.6;6.5;29.8;0.5;18.2
2025-10-05;00:20;Colina;38;5.8;12.4;0.27;1.0;1.1;13.4;;11.7;;9.3
2025-10-05;00:20;Movil Fontibon;39;8.4;-9999.0;-9999.0;-9999.0;;-9999.0;;;;32.9
2025-10-05;01:30;Usaquen;1;0.1;-9999;-9999;-9999;-9999;-9999;;-9999;;0
2025-10-05;01:30;Carvajal - Sevillana;3;16;;0.62;;1;;;;;25
2025-10-05;01:30;Tunal;4;3;7.5;-9999;1.4;0.5;8.9;1.2;17.2;1.6;18
2025-10-05;01:30;Centro de Alto Rendimiento;5;7.7;14.7;0.41;4;1;18.7;6.9;17.1;1.8;8.9
2025-10-05;01:30;Las Ferias;6;4;16.9;0.41;4.6;;21.4;;14.3;;9.5
2025-10-05;01:30;Guaymaral;8;8;6.5;0.21;-1.9;0.6;4.6;;19.5;;17
2025-10-05;01:30;Kennedy;9;7.7;18.8;0.64;-23.8;0.9;-5.1;7.4;12.4;1.7;18.3
2025-10-05;01:30;Suba;11;6;13.8;0.4;3.6;0.8;17.4;;4.7;;19
2025-10-05;01:30;Puente Aranda;13;2;15.4;0.26;3;1;18.5;13.4;11.8;0.4;2
2025-10-05;01:30;MinAmbiente;17;3;6.1;0.35;2.1;0.4;8.2;;24.8;;3
2025-10-05;01:30;San Cristobal;24;6;8.6;0.26;1.2;0.9;9.8;7.7;13.1;0.3;4
2025-10-05;01:30;Movil 7ma;26;1.1;;-9999;;;;;;;23.7
2025-10-05;01:30;Bolivia;27;6.4;16.7;0.55;5.4;;22.2;;5.6;;29.1
2025-10-05;01:30;Fontibon;30;8.1;26.9;0.43;4.5;1.1;31.4;9.9;4.9;2.2;13.3
2025-10-05;01:30;Usme;32;6.6;12;0.22;1.4;6.2;13.4;;22.1;;28.6
2025-10-05;01:30;Jazmin;34;6.1;12.8;0.28;1.2;1.1;14;;23.3;;11.9
2025-10-05;01:30;Ciudad Bolivar;37;5.5;9.5;0.24;2;1.5;11.5;11.9;24.8;1;12.7
2025-10-05;01:30;Colina;38;5.4;15.6;0.22;1;1.2;16.6;;9.5;;8.2
2025-10-05;01:30;Movil Fontibon;39;6.7;-9999;-9999;-9999;;-9999;;;;33.7
