Fecha;Hora;name;stationId;CO;BBP;OZONO;NO2;PM10;eBC;SO2;NOX;PM25;NO
2025-10-08;00:22;Usaquen;1;-9999.0;;-9999.0;-9999.0;13.4;;-9999.0;-9999.0;6.3;-9999.0
2025-10-08;00:22;Carvajal - Sevillana;3;0.85;;;;84.0;;1.2;;29.0;
2025-10-08;00:22;Tunal;4;-9999.0;1.3;6.2;8.7;43.0;1.9;0.4;16.1;9.0;7.5
2025-10-08;00:22;Centro de Alto Rendimiento;5;1.88;9.8;1.4;18.0;33.5;10.2;1.9;97.2;21.8;79.2
2025-10-08;00:22;Las Ferias;6;1.26;;0.5;31.6;35.7;;;81.2;49.0;49.5
2025-10-08;00:22;Guaymaral;8;0.63;;0.1;19.4;32.0;;1.7;51.3;11.0;31.9
2025-10-08;00:22;Kennedy;9;1.07;6.4;1.1;17.7;41.7;5.9;1.0;46.6;26.1;29.0
2025-10-08;00:22;Suba;11;0.63;;0.7;20.9;35.1;;0.8;47.5;24.0;26.6
2025-10-08;00:22;Puente Aranda;13;1.01;2.5;1.0;29.2;46.9;2.4;2.1;72.4;14.7;43.2
2025-10-08;00:22;MinAmbiente;17;0.36;;8.0;9.3;19.0;;0.1;16.9;6.0;7.6
2025-10-08;00:22;San Cristobal;24;0.8;8.7;2.3;22.3;27.0;1.3;0.7;41.4;6.0;19.1
2025-10-08;00:22;Movil 7ma;26;-9999.0;;;;51.4;;;;15.3;
2025-10-08;00:22;Bolivia;27;1.27;;0.4;23.8;90.0;;;59.2;19.7;35.4
2025-10-08;00:22;Fontibon;30;0.79;4.6;1.0;32.1;47.7;7.3;1.4;58.6;26.0;26.4
2025-10-08;00:22;Usme;32;0.3;;6.8;18.2;54.2;;6.0;23.9;12.0;5.7
2025-10-08;00:22;Jazmin;34;1.03;;0.2;27.3;61.6;;2.0;68.0;23.9;40.7
2025-10-08;00:22;Ciudad Bolivar;37;0.76;2.3;6.7;20.9;18.8;5.4;1.9;54.4;18.2;33.5
2025-10-08;00:22;Colina;38;0.84;;0.2;25.2;19.6;;0.7;48.9;13.6;23.7
2025-10-08;00:22;Movil Fontibon;39;-9999.0;;;-9999.0;79.4;;;-9999.0;22.1;-9999.0
2025-10-08;01:34;Usaquen;1;-9999.0;;-9999.0;-9999.0;6.3;;-9999.0;-9999.0;3.2;-9999.0
2025-10-08;01:34;Carvajal - Sevillana;3;0.68;;;;64.0;;1.2;;29.0;
2025-10-08;01:34;Tunal;4;-9999.0;1.7;9.7;4.8;25.0;1.6;0.4;8.0;22.0;3.2
2025-10-08;01:34;Centro de Alto Rendimiento;5;2.0;5.0;2.7;17.8;37.3;12.9;0.7;116.9;16.8;99.1
2025-10-08;01:34;Las Ferias;6;0.98;;0.6;28.8;35.1;;;69.5;24.0;40.7
2025-10-08;01:34;Guaymaral;8;0.57;;0.3;17.0;33.0;;1.5;45.1;13.0;28.1
2025-10-08;01:34;Kennedy;9;1.08;5.0;0.9;18.7;43.2;4.9;1.0;44.7;19.7;26.0
2025-10-08;01:34;Suba;11;0.58;;0.6;19.8;33.6;;0.9;38.6;15.0;18.8
2025-10-08;01:34;Puente Aranda;13;0.88;2.6;1.1;30.7;43.6;3.4;1.6;93.0;22.9;62.3
2025-10-08;01:34;MinAmbiente;17;0.52;;3.1;16.9;19.0;;0.3;22.5;5.0;5.5
2025-10-08;01:34;San Cristobal;24;0.7;4.0;1.9;22.5;26.0;2.1;0.7;36.7;16.0;14.1
2025-10-08;01:34;Movil 7ma;26;-9999.0;;;;47.9;;;;11.2;
2025-10-08;01:34;Bolivia;27;1.02;;0.3;21.8;86.9;;;52.8;17.6;31.0
2025-10-08;01:34;Fontibon;30;0.74;13.7;0.9;29.8;48.5;6.6;2.1;74.0;27.4;44.2
2025-10-08;01:34;Usme;32;0.19;;16.8;7.6;38.0;;1.5;9.8;9.7;2.2
2025-10-08;01:34;Jazmin;34;0.28;;3.4;20.2;54.1;;1.3;26.2;23.8;6.0
2025-10-08;01:34;Ciudad Bolivar;37;0.14;4.2;18.9;5.4;13.0;0.7;1.2;6.0;18.1;0.6
2025-10-08;01:34;Colina;38;0.36;;0.4;20.2;29.2;;0.6;29.7;11.0;9.4
2025-10-08;01:34;Movil Fontibon;39;-9999.0;;;-9999.0;83.4;;;-9999.0;22.2;-9999.0
2025-10-08;02:21;Usaquen;1;-9999.0;;-9999.0;-9999.0;0.0;;-9999.0;-9999.0;0.4;-9999.0
2025-10-08;02:21;Carvajal - Sevillana;3;0.71;;;;67.0;;1.3;;24.0;
2025-10-08;02:21;Tunal;4;-9999.0;5.2;11.2;4.5;18.0;1.3;0.3;5.9;1.0;1.3
2025-10-08;02:21;Centro de Alto Rendimiento;5;1.36;10.3;2.1;14.9;39.9;12.0;0.6;84.0;12.2;69.0
2025-10-08;02:21;Las Ferias;6;0.79;;0.5;26.0;34.0;;;59.2;23.0;33.2
2025-10-08;02:21;Guaymaral;8;0.5;;0.2;13.4;20.0;;1.3;27.6;17.0;14.1
2025-10-08;02:21;Kennedy;9;0.86;6.6;0.9;18.6;44.2;5.0;0.9;37.6;23.0;19.1
2025-10-08;02:21;Suba;11;0.57;;0.5;16.7;24.6;;0.8;36.4;16.0;19.7
2025-10-08;02:21;Puente Aranda;13;0.5;3.4;2.5;26.6;50.7;2.4;1.2;64.8;25.7;38.9
