Fecha;Hora;name;stationId;CO;NO2;PM10;OZONO;BBP;SO2;NO;eBC;NOX;PM25
2025-10-10;00:22;Usaquen;1;-9999;-9999;0;-9999;;-9999;-9999;;-9999;2
2025-10-10;00:22;Carvajal - Sevillana;3;0.5;;52;;;2;;;;23
2025-10-10;00:22;Tunal;4;-9999;3.7;22;15.5;4.9;0.5;-0.5;0.8;3.2;6
2025-10-10;00:22;Centro de Alto Rendimiento;5;0.17;5.2;26.6;5.6;5.8;0.4;4.2;0.6;9.4;13.3
2025-10-10;00:22;Las Ferias;6;0.16;7.4;8.7;15.9;;;2.3;;9.7;6
2025-10-10;00:22;Guaymaral;8;0.28;14;26;6.7;;0.7;16.3;;30.3;10
2025-10-10;00:22;Kennedy;9;1.66;19.8;38.7;2;4.5;1.9;34.7;7.3;54.5;7.3
2025-10-10;00:22;Suba;11;0.41;17.5;17;1.1;;2.9;10.8;;28.2;10
2025-10-10;00:22;Puente Aranda;13;0.19;19.1;4.6;5.5;3.7;1.4;6.9;0.9;26;6.2
2025-10-10;00:22;MinAmbiente;17;0.3;4.6;7;19.4;;0.3;3.5;;8.1;0
2025-10-10;00:22;San Cristobal;24;0.22;3.7;0;16;72.8;0.3;0.9;0.3;4.6;4
2025-10-10;00:22;Movil 7ma;26;-9999;;17.2;;;;;;;4.2
2025-10-10;00:22;Bolivia;27;0.64;26.3;21.4;1;;;25.4;;51.6;10.8
2025-10-10;00:22;Fontibon;30;0.74;29.5;32.5;0.8;9.8;1.7;34.2;5;63.6;19.7
2025-10-10;00:22;Usme;32;2.02;14.2;35.9;14.4;;1.2;4.4;;18.6;7.2
2025-10-10;00:22;Jazmin;34;0.3;19.3;15.7;6.3;;1.1;4.9;;24.2;5.9
2025-10-10;00:22;Ciudad Bolivar;37;0.2;4.8;-9999;20.5;18.8;0.7;0.6;0.3;5.4;4.7
2025-10-10;00:22;Colina;38;0.23;19.4;10;2.2;;2;2.8;;22.2;4.5
2025-10-10;00:22;Movil Fontibon;39;-9999;-9999;58.5;;;;-9999;;-9999;16.8
