Fecha;Hora;name;stationId;CO;OZONO;PM10;eBC;PM25;NO2;BBP;NO;NOX;SO2
2025-10-11;00:20;Usaquen;1;-9999;-9999;31.6;;9.3;-9999;;-9999;-9999;-9999
2025-10-11;00:20;Carvajal - Sevillana;3;1.43;;69;;26;;;;;0.7
2025-10-11;00:20;Tunal;4;-9999;2.9;27;3.4;10;13.4;4;17;30.4;1
2025-10-11;00:20;Centro de Alto Rendimiento;5;0.94;11.7;38.9;8.4;15.8;16.9;6.1;43.2;60.1;0.7
2025-10-11;00:20;Las Ferias;6;0.69;0.9;19.1;;15;28.2;;18.6;46.8;
2025-10-11;00:20;Guaymaral;8;0.67;0.8;43;;17;16.2;;58.8;75;1.5
2025-10-11;00:20;Kennedy;9;1.66;2;38.7;7.3;7.3;19.8;4.5;34.7;54.5;1.9
2025-10-11;00:20;Suba;11;0.53;1.4;16.4;;11;14.4;;8.9;23.2;0.6
2025-10-11;00:20;Puente Aranda;13;0.8;0.9;9.9;3;5.5;29.2;0;22.4;51.5;1.4
2025-10-11;00:20;MinAmbiente;17;0.99;1;23;;10;17.8;;22.7;40.5;0.7
2025-10-11;00:20;San Cristobal;24;0.59;0.8;23;1.8;11;15.4;7.2;10.4;25.8;0.5
2025-10-11;00:20;Movil 7ma;26;-9999;;38.3;;11.5;;;;;
2025-10-11;00:20;Bolivia;27;0.97;1.2;25.6;;15.8;20.2;;13.6;33.7;
2025-10-11;00:20;Fontibon;30;0.4;2.3;34.9;3.3;21.6;24.7;7.7;6.7;31.5;1.2
2025-10-11;00:20;Usme;32;1.5;0.7;43.4;;6.9;26.1;;30.5;56.6;3.2
2025-10-11;00:20;Jazmin;34;0.89;0.3;18.9;;10.9;32.9;;16.4;49.3;1.2
2025-10-11;00:20;Ciudad Bolivar;37;1.21;1;54.7;6.2;13.7;30.2;9.2;26.7;56.9;1.5
2025-10-11;00:20;Colina;38;0.54;1.2;19.3;;15.7;22.1;;6.9;29.1;1
2025-10-11;00:20;Movil Fontibon;39;-9999;;73;;17.9;-9999;;-9999;-9999;
