Fecha;Hora;name;stationId;eBC;PM25;OZONO;BBP;NO;PM10;NOX;CO;SO2;NO2
2025-10-15;00:22;Usaquen;1;;0;-9999;;-9999;6.6;-9999;-9999;-9999;-9999
2025-10-15;00:22;Carvajal - Sevillana;3;;32;;;;70;;0.72;1.9;
2025-10-15;00:22;Tunal;4;1.7;12;10.7;3.4;6;26;11.9;-9999;1.8;5.9
2025-10-15;00:22;Centro de Alto Rendimiento;5;13.8;7.5;11.8;8.9;80.2;36.2;95.7;1.93;1.6;15.5
2025-10-15;00:22;Las Ferias;6;;29;0.5;;56.4;27.7;81;1.07;;24.6
2025-10-15;00:22;Guaymaral;8;;18;0.7;;71.7;31;86.7;0.73;-2;15
2025-10-15;00:22;Kennedy;9;7.3;7.3;2;4.5;34.7;38.7;54.5;1.66;1.9;19.8
2025-10-15;00:22;Suba;11;;14;1;;18.2;43.6;37.5;0.45;0.8;19.4
2025-10-15;00:22;Puente Aranda;13;2.7;8;1;3.9;68.1;9;101;1.17;1.1;33.4
2025-10-15;00:22;MinAmbiente;17;;6;6;;11.2;11;20.6;0.59;1;9.5
2025-10-15;00:22;San Cristobal;24;0.7;10;9.5;7.9;2.4;12;9.7;0.21;0.3;7.3
2025-10-15;00:22;Movil 7ma;26;;7.1;;;;60.5;;-9999;;
2025-10-15;00:22;Bolivia;27;;4.5;0.7;;25.6;65.3;45.8;1.15;;20.3
2025-10-15;00:22;Fontibon;30;5;38.5;0.8;13.2;39.7;81.9;73.9;0.71;1.5;34.2
2025-10-15;00:22;Usme;32;;5.4;12.5;;3.1;42.2;15.3;0.21;13.8;12.2
2025-10-15;00:22;Jazmin;34;;5.2;0.2;;31.5;25.7;59.8;0.82;0.6;28.3
2025-10-15;00:22;Ciudad Bolivar;37;14.6;8.9;0.9;6.6;71.5;51.3;97.8;1.47;1.2;26.4
2025-10-15;00:22;Colina;38;;4.2;0.7;;6;16;24;0.41;0.9;18
2025-10-15;00:22;Movil Fontibon;39;;29.1;;;-9999;116.5;-9999;-9999;;-9999
