Fecha;Hora;name;stationId;OZONO;NO;PM10;SO2;CO;PM25;BBP;eBC;NOX;NO2
2025-10-18;00:20;Usaquen;1;-9999;-9999;4.9;-9999;-9999;0.1;;;-9999;-9999
2025-10-18;00:20;Carvajal - Sevillana;3;;;16;0.7;4.78;18;;;;
2025-10-18;00:20;Tunal;4;7.9;6.7;13;0.6;-9999;8;5.7;1.2;18.5;11.7
2025-10-18;00:20;Centro de Alto Rendimiento;5;11.5;5.4;27;0.9;0.37;19.3;4.2;2.9;21.8;16.4
2025-10-18;00:20;Las Ferias;6;2.8;19.1;27.5;;0.62;13;;;51.7;32.6
2025-10-18;00:20;Guaymaral;8;5.5;12.7;18;0.1;0.32;8;;;29.9;17.2
2025-10-18;00:20;Kennedy;9;14.1;0.9;22.6;0.7;0.45;10;8.2;1.3;11.2;10.3
2025-10-18;00:20;Suba;11;8.7;0.7;17.1;1;0.25;3;;;6.8;6.1
2025-10-18;00:20;Puente Aranda;13;7.4;7.8;16.1;1;0.32;11;2.6;1.5;28.7;20.9
2025-10-18;00:20;MinAmbiente;17;3;16.4;22;0.5;0.85;985;;;46;29.7
2025-10-18;00:20;San Cristobal;24;11.6;2.5;10;0.1;0.32;6;85.3;0.3;11;8.5
2025-10-18;00:20;Movil 7ma;26;;;41.2;;-9999;22.5;;;;
2025-10-18;00:20;Bolivia;27;5.7;8.3;52.3;;0.66;21.5;;;29.5;21.2
2025-10-18;00:20;Fontibon;30;11.3;1.7;15.8;1;0.33;14.7;7.4;1.7;19.4;17.7
2025-10-18;00:20;Usme;32;7.3;7.4;13.9;1.3;0.32;15.7;;;29.5;22.1
2025-10-18;00:20;Jazmin;34;3.3;7.1;21.6;1.1;0.95;17.4;;;34.9;27.9
2025-10-18;00:20;Ciudad Bolivar;37;11.4;5;27.2;0.7;0.23;15.1;11.7;8.6;23.9;18.9
2025-10-18;00:20;Colina;38;-9999;23.5;2.4;0.4;0.7;8;;;86.3;62.8
2025-10-18;00:20;Movil Fontibon;39;;-9999;41.6;;-9999;16.1;;;-9999;-9999
