Fecha;Hora;name;stationId;SO2;PM10;OZONO;BBP;NO2;NOX;PM25;CO;eBC;NO
2025-10-19;00:22;Usaquen;1;-9999.0;15.2;-9999.0;;-9999.0;-9999.0;2.6;-9999.0;;-9999.0
2025-10-19;00:22;Carvajal - Sevillana;3;1.8;90.0;;;;;32.0;4.78;;
2025-10-19;00:22;Tunal;4;0.9;35.0;1.5;3.1;12.8;34.8;9.0;-9999.0;1.9;22.0
2025-10-19;00:22;Centro de Alto Rendimiento;5;0.9;21.4;0.9;6.3;11.0;79.0;2.9;1.33;9.1;67.9
2025-10-19;00:22;Las Ferias;6;;5.6;0.4;;20.3;78.6;14.0;1.07;;58.2
2025-10-19;00:22;Guaymaral;8;0.8;27.0;0.7;;8.8;45.1;9.0;0.65;;36.2
2025-10-19;00:22;Kennedy;9;0.7;42.5;1.0;-9999.0;18.9;45.8;21.7;1.08;-9999.0;26.8
2025-10-19;00:22;Suba;11;0.7;18.8;0.6;;15.5;46.6;11.0;0.78;;31.0
2025-10-19;00:22;Puente Aranda;13;1.9;7.9;0.9;4.8;23.5;58.0;8.2;0.83;1.7;34.6
2025-10-19;00:22;MinAmbiente;17;0.5;13.0;4.2;;9.2;21.9;985.0;0.56;;12.6
2025-10-19;00:22;San Cristobal;24;0.0;15.0;4.9;9.2;6.6;11.5;6.0;0.34;0.7;4.9
2025-10-19;00:22;Movil 7ma;26;;47.8;;;;;1.9;-9999.0;;
2025-10-19;00:22;Bolivia;27;;51.0;0.6;;23.6;51.2;5.4;0.93;;27.6
2025-10-19;00:22;Fontibon;30;1.7;48.2;0.4;11.2;23.5;70.5;24.4;0.82;4.3;46.8
2025-10-19;00:22;Usme;32;2.6;53.2;1.0;;18.1;47.3;4.6;0.54;;29.2
2025-10-19;00:22;Jazmin;34;1.8;30.4;0.2;;22.5;60.8;4.7;0.84;;38.3
2025-10-19;00:22;Ciudad Bolivar;37;1.1;48.6;1.0;8.3;23.4;128.6;8.4;2.24;11.1;105.2
2025-10-19;00:22;Colina;38;0.4;2.4;-9999.0;;62.8;86.3;8.0;0.7;;23.5
2025-10-19;00:22;Movil Fontibon;39;;57.9;;;-9999.0;-9999.0;13.0;-9999.0;;-9999.0
2025-10-19;01:32;Usaquen;1;-9999;9.8;-9999;;-9999;-9999;3.2;-9999;;-9999
2025-10-19;01:32;Carvajal - Sevillana;3;1.7;102;;;;;43;4.79;;
2025-10-19;01:32;Tunal;4;1;28;1.3;2.8;12.5;32.3;7;-9999;2.2;19.8
2025-10-19;01:32;Centro de Alto Rendimiento;5;1.1;30.1;10.2;7.8;13;127.4;3;2.16;12.9;114.4
2025-10-19;01:32;Las Ferias;6;;6.9;0.3;;19.7;73.1;13;0.89;;53.4
2025-10-19;01:32;Guaymaral;8;0.8;26;0.7;;7.7;46.7;5;0.65;;39.1
2025-10-19;01:32;Kennedy;9;0.7;43.4;0.8;-9999;18.5;41.9;21.2;0.91;-9999;23.4
2025-10-19;01:32;Suba;11;0.7;26.1;0.6;;15.4;38.9;15;0.61;;23.5
2025-10-19;01:32;Puente Aranda;13;2;16.6;0.9;3.4;21.5;52.1;7.1;0.54;1.4;30.6
2025-10-19;01:32;MinAmbiente;17;0.4;15;4.6;;10.4;24.6;985;0.58;;14.3
2025-10-19;01:32;San Cristobal;24;-0.2;12;4.8;18.6;5;8.8;8;0.27;0.5;3.7
2025-10-19;01:32;Movil 7ma;26;;47;;;;;2.7;-9999;;
2025-10-19;01:32;Bolivia;27;;52.4;0.6;;17;37;5.5;0.98;;20
2025-10-19;01:32;Fontibon;30;2;33.4;-0.1;12.2;23.7;67.9;21.3;0.71;4;44.2
2025-10-19;01:32;Usme;32;2.6;41.6;0.9;;18.5;44.9;4.8;0.43;;26.4
2025-10-19;01:32;Jazmin;34;2.5;29.6;0.2;;20.6;52.9;7.3;0.71;;32.3
2025-10-19;01:32;Ciudad Bolivar;37;0.8;67.3;1.3;9.9;22.5;86.9;12.1;1.38;9.6;64.3
2025-10-19;01:32;Colina;38;0.4;2.4;-9999;;62.8;86.3;8;0.7;;23.5
2025-10-19;01:32;Movil Fontibon;39;;65.8;;;-9999;-9999;14.9;-9999;;-9999
