Fecha;Hora;name;stationId;NOX;PM10;PM25;NO;eBC;CO;SO2;BBP;NO2;OZONO
2025-10-22;00:23;Usaquen;1;-9999;0;0.1;-9999;;-9999;-9999;;-9999;-9999
2025-10-22;00:23;Carvajal - Sevillana;3;;69;34;;;4.81;2;;;
2025-10-22;00:23;Tunal;4;12.3;24;8;4.5;1.1;-9999;0.8;7.2;7.8;15.2
2025-10-22;00:23;Centro de Alto Rendimiento;5;50.9;29.4;17.8;37;8.2;0.99;1;9.5;13.9;9.1
2025-10-22;00:23;Las Ferias;6;57;15.7;20;28.8;;0.8;;;28.2;0.4
2025-10-22;00:23;Guaymaral;8;26.6;9;2;12.2;;0.23;0.1;;14.4;9
2025-10-22;00:23;Kennedy;9;26.5;35.2;15.4;6.1;-9999;0.64;0.7;-9999;20.4;2.3
2025-10-22;00:23;Suba;11;23.2;19.4;8;8.9;;0.51;0.4;;14.3;1.6
2025-10-22;00:23;Puente Aranda;13;83.4;44.7;17.7;51;3;0.72;1.6;4;32.3;1
2025-10-22;00:23;MinAmbiente;17;53.5;27;985;30.2;;0.92;0.7;;23.3;1.4
2025-10-22;00:23;San Cristobal;24;27.6;29;5;6.9;1.3;0.58;0.5;7.7;20.8;7.2
2025-10-22;00:23;Movil 7ma;26;;53.5;16.3;;;-9999;;;;
2025-10-22;00:23;Bolivia;27;54.4;35.1;12.8;30;;1.17;;;24.3;0.5
2025-10-22;00:23;Fontibon;30;34.1;13.6;9.1;10.6;2.3;0.45;1.3;8.5;23.5;2.6
2025-10-22;00:23;Usme;32;14.1;17.6;6.3;2.5;;0.28;0.5;;11.5;17.1
2025-10-22;00:23;Jazmin;34;91.6;40.9;7.2;54.5;;1.09;2;;37.2;0.3
2025-10-22;00:23;Ciudad Bolivar;37;7;30.7;7.7;0.5;0.6;0.12;1.1;14.3;6.5;21.5
2025-10-22;00:23;Colina;38;86.3;2.4;8;23.5;;0.7;0.4;;62.8;-9999
2025-10-22;00:23;Movil Fontibon;39;-9999;26.9;15.7;-9999;;-9999;;;-9999;
