Fecha;Hora;name;stationId;SO2;NO;BBP;PM10;PM25;eBC;NOX;OZONO;NO2;CO
2025-10-24;00:22;Usaquen;1;-9999;-9999;;12;0.5;;-9999;-9999;-9999;-9999
2025-10-24;00:22;Carvajal - Sevillana;3;0.5;;;15;16;;;;;4.81
2025-10-24;00:22;Tunal;4;1.3;43.5;4;19;13;5.9;70.2;1.3;26.7;-9999
2025-10-24;00:22;Centro de Alto Rendimiento;5;0;2.4;7.3;15.8;11.5;2.9;17.9;9.5;15.5;0.12
2025-10-24;00:22;Las Ferias;6;;8.4;;12.7;7;;35.7;5.6;27.3;0.46
2025-10-24;00:22;Guaymaral;8;0.2;-1.6;;15;3;;12.4;14.5;14;0.16
2025-10-24;00:22;Kennedy;9;1.4;20.3;5.2;9;11.6;4.7;53.4;1.5;33.1;1.11
2025-10-24;00:22;Suba;11;0.7;1.4;;11.3;2;;11.2;10.9;9.8;0.33
2025-10-24;00:22;Puente Aranda;13;0.9;14.3;4.1;16.7;7.5;1.5;44.9;1.7;30.6;0.49
2025-10-24;00:22;MinAmbiente;17;646.8;14.4;;13;13;;39.4;1.5;25;0.81
2025-10-24;00:22;San Cristobal;24;1.3;11.1;1.5;97;56;8.4;59.8;25.1;48.6;1.18
2025-10-24;00:22;Movil 7ma;26;;;;30;17.4;;;;;-9999
2025-10-24;00:22;Bolivia;27;;8.4;;23.9;7.8;;28.2;9.2;19.7;0.64
2025-10-24;00:22;Fontibon;30;1;5.3;6.9;12.1;9.6;2.4;34.3;3.6;29;0.45
2025-10-24;00:22;Usme;32;0.3;3.7;;15.7;14.9;;27.6;8.7;23.9;0.54
2025-10-24;00:22;Jazmin;34;0.9;4.3;;23.2;10.1;;37.2;2.7;32.9;0.46
2025-10-24;00:22;Ciudad Bolivar;37;0.6;2.7;5.8;18.3;10.7;2.4;31.1;4.6;28.3;0.6
2025-10-24;00:22;Colina;38;0.4;23.5;;2.4;8;;86.3;-9999;62.8;0.7
2025-10-24;00:22;Movil Fontibon;39;;-9999;;26;18.1;;-9999;;-9999;-9999
