Fecha;Hora;name;stationId;SO2;PM10;NO;OZONO;PM25;eBC;CO;NO2;BBP;NOX
2025-10-25;00:21;Usaquen;1;-9999.0;0.5;-9999.0;-9999.0;0.2;;-9999.0;-9999.0;;-9999.0
2025-10-25;00:21;Carvajal - Sevillana;3;2.5;54.0;;;15.0;;4.84;;;
2025-10-25;00:21;Tunal;4;0.8;80.0;5.8;8.9;7.0;1.5;-9999.0;9.6;5.7;15.4
2025-10-25;00:21;Centro de Alto Rendimiento;5;5.0;33.9;39.2;4.1;12.9;7.3;1.16;15.9;7.2;55.1
2025-10-25;00:21;Las Ferias;6;;22.2;75.9;0.6;14.0;;1.41;31.9;;107.9
2025-10-25;00:21;Guaymaral;8;0.3;19.0;0.5;12.1;4.0;;0.24;12.2;;12.7
2025-10-25;00:21;Kennedy;9;5.3;36.8;19.0;3.6;17.9;4.1;0.91;21.0;9.7;40.0
2025-10-25;00:21;Suba;11;0.6;20.7;7.5;2.4;8.0;;0.46;14.2;;21.7
2025-10-25;00:21;Puente Aranda;13;1.5;14.7;12.4;3.1;4.5;1.2;0.47;23.8;0.6;36.2
2025-10-25;00:21;MinAmbiente;17;0.5;10.0;5.2;10.9;5.0;;0.53;9.9;;15.2
2025-10-25;00:21;San Cristobal;24;0.5;7.0;2.0;13.3;1.0;0.5;-0.04;5.4;3.7;7.5
2025-10-25;00:21;Movil 7ma;26;;56.2;;;7.1;;-9999.0;;;
2025-10-25;00:21;Bolivia;27;;78.9;29.9;0.4;25.0;;1.27;20.7;;50.6
2025-10-25;00:21;Fontibon;30;1.2;60.8;10.7;2.0;35.5;4.2;0.66;26.5;2.4;37.2
2025-10-25;00:21;Usme;32;1.4;15.4;6.8;10.5;3.8;;0.4;16.1;;23.0
2025-10-25;00:21;Jazmin;34;1.3;25.5;8.4;2.0;4.0;;0.54;23.7;;32.1
2025-10-25;00:21;Ciudad Bolivar;37;0.8;24.2;1.0;15.5;4.3;0.6;0.23;5.6;11.4;6.6
2025-10-25;00:21;Colina;38;0.4;2.4;23.5;-9999.0;8.0;;0.7;62.8;;86.3
2025-10-25;00:21;Movil Fontibon;39;;82.3;-9999.0;;22.6;;-9999.0;-9999.0;;-9999.0
2025-10-25;01:31;Usaquen;1;-9999;0;-9999;-9999;0.1;;-9999;-9999;;-9999
2025-10-25;01:31;Carvajal - Sevillana;3;2.4;42;;;16;;4.84;;;
2025-10-25;01:31;Tunal;4;0.7;16;4.4;13;5;0.9;-9999;6.4;8;10.7
2025-10-25;01:31;Centro de Alto Rendimiento;5;0.8;43.5;40.6;4.2;16.7;7.4;1.06;15.6;8.3;56.2
2025-10-25;01:31;Las Ferias;6;;20.4;30.6;0.5;23;;0.68;25.3;;55.9
2025-10-25;01:31;Guaymaral;8;0.3;17;-1.5;12.2;3;;0.23;9.8;;8.3
2025-10-25;01:31;Kennedy;9;4.2;34.6;11.3;7.9;13.8;2.4;0.66;16.2;4.4;27.5
2025-10-25;01:31;Suba;11;0.8;20.4;1.2;3.2;7;;0.4;12.5;;13.7
2025-10-25;01:31;Puente Aranda;13;1.5;10.3;4.4;7.2;4.3;0.8;0.21;16.8;2.3;21.2
2025-10-25;01:31;MinAmbiente;17;0.5;19;6.4;8.6;2;;0.47;13.8;;20.2
2025-10-25;01:31;San Cristobal;24;0.6;6;0.9;19.1;3;0.3;0.22;3.6;0.8;4.6
2025-10-25;01:31;Movil 7ma;26;;38.7;;;6;;-9999;;;
2025-10-25;01:31;Bolivia;27;;111.9;15.4;1.4;19;;0.9;18.1;;33.5
2025-10-25;01:31;Fontibon;30;1.1;32.7;3.5;5;14.4;2.7;0.55;20.7;0.9;24.1
2025-10-25;01:31;Usme;32;0.9;19.6;5.2;12.8;4.2;;0.3;14.3;;19.6
2025-10-25;01:31;Jazmin;34;1.2;28.3;7.1;6.2;5.9;;0.33;18.2;;25.3
2025-10-25;01:31;Ciudad Bolivar;37;1;25.8;0.3;18.9;3.9;0.7;0.11;3.9;3.9;4.2
2025-10-25;01:31;Colina;38;0.4;2.4;23.5;-9999;8;;0.7;62.8;;86.3
2025-10-25;01:31;Movil Fontibon;39;;56.8;-9999;;16.4;;-9999;-9999;;-9999
