Fecha;Hora;name;stationId;PM10;SO2;BBP;NOX;OZONO;PM25;eBC;CO;NO;NO2
2025-10-26;00:21;Usaquen;1;0.0;-9999.0;;-9999.0;-9999.0;2.6;;-9999.0;-9999.0;-9999.0
2025-10-26;00:21;Carvajal - Sevillana;3;46.0;1.9;;;;17.0;;4.83;;
2025-10-26;00:21;Tunal;4;14.0;2.1;1.6;22.6;5.3;14.0;3.4;-9999.0;9.6;13.0
2025-10-26;00:21;Centro de Alto Rendimiento;5;31.2;1.7;7.2;77.0;14.0;17.0;10.1;1.68;62.7;14.3
2025-10-26;00:21;Las Ferias;6;24.0;;;75.0;0.5;18.0;;1.23;49.0;26.0
2025-10-26;00:21;Guaymaral;8;17.0;0.2;;7.5;8.5;3.0;;0.24;-2.0;9.5
2025-10-26;00:21;Kennedy;9;20.0;1.4;12.4;15.6;10.0;14.5;1.4;0.59;1.7;14.0
2025-10-26;00:21;Suba;11;22.4;0.8;;11.3;4.3;7.0;;0.41;1.8;9.5
2025-10-26;00:21;Puente Aranda;13;9.5;1.7;3.3;30.0;4.0;3.5;0.8;0.44;7.2;22.8
2025-10-26;00:21;MinAmbiente;17;5.0;0.5;;29.6;3.6;3.0;;0.69;14.9;14.7
2025-10-26;00:21;San Cristobal;24;14.0;0.1;6.2;17.7;9.2;8.0;0.5;0.45;5.9;11.8
2025-10-26;00:21;Movil 7ma;26;26.1;;;;;6.5;;-9999.0;;
2025-10-26;00:21;Bolivia;27;46.5;;;18.6;16.0;14.9;;0.61;3.2;15.5
2025-10-26;00:21;Fontibon;30;20.8;0.9;3.9;18.9;4.7;6.4;2.0;0.43;1.7;17.1
2025-10-26;00:21;Usme;32;36.7;2.2;;23.9;8.2;6.5;;0.42;6.0;17.8
2025-10-26;00:21;Jazmin;34;15.6;1.8;;30.4;3.9;10.7;;0.55;6.9;23.5
2025-10-26;00:21;Ciudad Bolivar;37;17.5;1.3;9.0;24.2;6.5;8.0;3.0;0.49;5.3;18.8
2025-10-26;00:21;Colina;38;2.4;0.4;;86.3;-9999.0;8.0;;0.7;23.5;62.8
2025-10-26;00:21;Movil Fontibon;39;46.7;;;-9999.0;;12.4;;-9999.0;-9999.0;-9999.0
2025-10-26;01:32;Usaquen;1;1.5;-9999;;-9999;-9999;2.1;;-9999;-9999;-9999
2025-10-26;01:32;Carvajal - Sevillana;3;30;1.1;;;;14;;4.84;;
2025-10-26;01:32;Tunal;4;31;1.8;1.6;31.9;2.3;16;4;-9999;16.6;15.4
2025-10-26;01:32;Centro de Alto Rendimiento;5;35.5;1;11.3;50.7;7.1;21.9;5.5;0.9;37.4;13.3
2025-10-26;01:32;Las Ferias;6;19.2;;;51.3;0.4;19;;0.76;28.2;23.1
2025-10-26;01:32;Guaymaral;8;13;0.2;;3.9;10.8;4;;0.21;-2.8;6.7
2025-10-26;01:32;Kennedy;9;19.5;1.6;9.4;17.7;6;10.4;1.7;0.57;1.8;16
2025-10-26;01:32;Suba;11;16.5;1;;11.2;3.9;13;;0.35;1.3;9.9
2025-10-26;01:32;Puente Aranda;13;8.2;0.9;2.8;26.7;2.1;4.2;0.8;0.35;5.8;20.9
2025-10-26;01:32;MinAmbiente;17;18;0.4;;35.7;1.7;3;;0.81;18.2;17.5
2025-10-26;01:32;San Cristobal;24;10;0.3;14.5;15.2;3.9;10;0.7;0.42;4.4;10.8
2025-10-26;01:32;Movil 7ma;26;38.2;;;;;5.3;;-9999;;
2025-10-26;01:32;Bolivia;27;46.5;;;18.6;16;14.9;;0.61;3.2;15.5
2025-10-26;01:32;Fontibon;30;12.1;0.9;4.5;25.6;1.2;10.5;2.4;0.52;5.1;20.5
2025-10-26;01:32;Usme;32;24.5;4.3;;22;5.1;13.7;;0.3;5.5;16.4
2025-10-26;01:32;Jazmin;34;26.7;1.2;;26.1;5.2;11;;0.44;4.3;21.8
2025-10-26;01:32;Ciudad Bolivar;37;28;1.6;9.4;32.9;4.7;10;3.4;0.66;12.7;20.2
2025-10-26;01:32;Colina;38;2.4;0.4;;86.3;-9999;8;;0.7;23.5;62.8
2025-10-26;01:32;Movil Fontibon;39;27.3;;;-9999;;13;;-9999;-9999;-9999
