Fecha;Hora;name;stationId;eBC;PM10;NO2;BBP;SO2;NOX;OZONO;CO;NO;PM25
2025-10-28;00:24;Usaquen;1;;13.3;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;0.1
2025-10-28;00:24;Carvajal - Sevillana;3;;81.0;;;1.3;;;4.85;;40.0
2025-10-28;00:24;Tunal;4;4.9;49.0;12.7;5.8;1.6;50.0;1.0;-9999.0;37.3;18.0
2025-10-28;00:24;Centro de Alto Rendimiento;5;10.9;20.4;9.6;9.6;0.9;83.4;2.6;1.76;73.7;10.9
2025-10-28;00:24;Las Ferias;6;;17.6;20.9;;;121.7;0.4;1.58;100.8;19.0
2025-10-28;00:24;Guaymaral;8;;36.0;9.8;;2.4;94.9;0.6;0.73;85.1;11.0
2025-10-28;00:24;Kennedy;9;7.0;43.2;36.0;12.0;1.4;70.9;0.8;1.27;34.9;31.1
2025-10-28;00:24;Suba;11;;24.3;17.8;;1.2;50.1;0.6;0.58;32.4;15.0
2025-10-28;00:24;Puente Aranda;13;3.6;25.9;28.9;3.1;1.6;107.1;0.9;1.8;78.7;17.9
2025-10-28;00:24;MinAmbiente;17;;10.0;11.0;;0.6;16.8;3.9;0.51;5.8;3.0
2025-10-28;00:24;San Cristobal;24;0.5;8.0;4.3;5.7;-0.1;6.7;3.4;0.17;2.4;6.0
2025-10-28;00:24;Movil 7ma;26;;32.3;;;;;;-9999.0;;11.3
2025-10-28;00:24;Bolivia;27;;33.7;19.3;;;35.9;0.3;0.81;16.6;23.4
2025-10-28;00:24;Fontibon;30;-9999.0;33.7;25.4;-9999.0;1.8;59.8;1.0;0.71;34.4;24.5
2025-10-28;00:24;Usme;32;;22.1;18.7;;1.2;63.8;0.4;0.64;45.1;11.9
2025-10-28;00:24;Jazmin;34;;23.0;20.9;;1.0;48.3;0.2;0.7;27.5;16.8
2025-10-28;00:24;Ciudad Bolivar;37;9.3;51.9;-0.2;7.3;0.9;-0.4;0.7;1.21;-0.2;22.4
2025-10-28;00:24;Colina;38;;2.4;62.8;;0.4;86.3;-9999.0;0.7;23.5;8.0
2025-10-28;00:24;Movil Fontibon;39;;58.6;-9999.0;;;-9999.0;;-9999.0;-9999.0;21.7
2025-10-28;01:36;Usaquen;1;;10.5;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;0.1
2025-10-28;01:36;Carvajal - Sevillana;3;;34.0;;;1.0;;;4.85;;15.0
2025-10-28;01:36;Tunal;4;3.2;39.0;9.4;10.3;1.3;35.5;1.2;-9999.0;26.1;12.0
2025-10-28;01:36;Centro de Alto Rendimiento;5;10.6;16.0;9.2;4.7;0.9;86.4;0.9;1.41;77.2;10.3
2025-10-28;01:36;Las Ferias;6;;29.6;18.6;;;88.3;0.4;1.04;69.8;19.0
2025-10-28;01:36;Guaymaral;8;;42.0;9.0;;2.8;114.3;0.7;0.63;105.5;11.0
2025-10-28;01:36;Kennedy;9;5.4;41.4;17.9;15.5;1.4;49.5;0.6;0.84;31.6;30.2
2025-10-28;01:36;Suba;11;;23.9;14.3;;0.6;44.7;0.6;0.48;30.3;7.0
2025-10-28;01:36;Puente Aranda;13;2.6;27.7;24.7;5.6;0.9;70.3;0.8;0.73;45.9;13.8
2025-10-28;01:36;MinAmbiente;17;;10.0;12.1;;0.5;16.4;3.2;0.5;4.4;11.0
2025-10-28;01:36;San Cristobal;24;0.5;5.0;4.8;11.5;-0.1;6.4;5.4;0.17;1.6;2.0
2025-10-28;01:36;Movil 7ma;26;;45.3;;;;;;-9999.0;;13.8
2025-10-28;01:36;Bolivia;27;;39.4;18.1;;;34.4;0.4;0.69;16.3;17.4
2025-10-28;01:36;Fontibon;30;-9999.0;33.6;23.8;-9999.0;2.6;96.4;1.1;0.88;72.6;16.7
2025-10-28;01:36;Usme;32;;24.3;14.9;;1.9;35.1;1.1;0.27;20.2;22.0
2025-10-28;01:36;Jazmin;34;;22.1;19.7;;0.6;34.3;0.2;0.47;14.6;12.2
2025-10-28;01:36;Ciudad Bolivar;37;8.1;56.1;-0.2;10.7;0.7;-0.1;0.7;1.15;0.1;21.6
