Fecha;Hora;name;stationId;eBC;SO2;NOX;NO;PM10;BBP;OZONO;CO;NO2;PM25
2025-10-30;00:23;Usaquen;1;;-9999.0;-9999.0;-9999.0;7.8;;-9999.0;-9999.0;-9999.0;5.3
2025-10-30;00:23;Carvajal - Sevillana;3;;3.3;;;111.0;;;1.48;;38.0
2025-10-30;00:23;Tunal;4;2.0;0.9;22.1;11.0;21.0;9.4;3.9;-9999.0;11.0;6.0
2025-10-30;00:23;Centro de Alto Rendimiento;5;8.7;0.3;71.9;59.8;24.8;7.1;5.8;1.23;12.0;6.5
2025-10-30;00:23;Las Ferias;6;;;54.9;31.7;10.0;;0.4;0.62;23.2;10.0
2025-10-30;00:23;Guaymaral;8;;1.5;61.5;46.4;34.0;;0.7;0.55;15.1;12.0
2025-10-30;00:23;Kennedy;9;3.0;-0.5;28.5;16.1;31.6;4.5;15.7;0.69;12.4;16.7
2025-10-30;00:23;Suba;11;;1.0;26.9;9.5;53.3;;0.8;0.46;17.4;18.0
2025-10-30;00:23;Puente Aranda;13;2.6;1.4;76.8;49.4;3.4;1.6;0.8;0.83;27.5;5.3
2025-10-30;00:23;MinAmbiente;17;;0.6;25.3;14.1;8.0;;8.0;0.54;11.1;2.0
2025-10-30;00:23;San Cristobal;24;0.6;0.8;8.5;2.3;9.0;3.4;9.3;0.2;6.2;3.0
2025-10-30;00:23;Movil 7ma;26;;;;;51.7;;;-9999.0;;6.3
2025-10-30;00:23;Bolivia;27;;;41.8;20.7;34.8;;0.6;0.66;21.1;5.4
2025-10-30;00:23;Fontibon;30;3.6;1.5;53.7;27.9;27.6;8.8;1.5;0.44;25.9;15.0
2025-10-30;00:23;Usme;32;;3.5;27.0;7.6;43.8;;5.5;0.3;19.4;3.9
2025-10-30;00:23;Jazmin;34;;1.5;47.6;22.0;25.6;;0.4;0.72;25.6;7.1
2025-10-30;00:23;Ciudad Bolivar;37;6.3;2.0;0.0;0.2;48.4;5.3;6.0;0.95;-0.2;8.4
2025-10-30;00:23;Colina;38;;0.4;86.3;23.5;2.4;;-9999.0;0.7;62.8;8.0
2025-10-30;00:23;Movil Fontibon;39;;;-9999.0;-9999.0;65.7;;;-9999.0;-9999.0;17.9
2025-10-30;01:34;Usaquen;1;;-9999;-9999;-9999;9;;-9999;-9999;-9999;5.8
2025-10-30;01:34;Carvajal - Sevillana;3;;2.3;;;108;;;1.58;;30
2025-10-30;01:34;Tunal;4;2;1;24.2;11.7;23;8.9;3.9;-9999;12.5;11
2025-10-30;01:34;Centro de Alto Rendimiento;5;7.3;0.3;53.8;43.6;27.2;9.5;4.3;0.93;10.2;6.1
2025-10-30;01:34;Las Ferias;6;;;72.5;50.9;17.9;;0.4;0.8;21.6;12
2025-10-30;01:34;Guaymaral;8;;2.2;114.1;100.9;49;;0.8;0.64;13.1;17
2025-10-30;01:34;Kennedy;9;3;-0.5;28.5;16.1;31.6;4.5;15.7;0.69;12.4;16.7
2025-10-30;01:34;Suba;11;;0.8;32.2;14.7;54.3;;0.7;0.41;17.5;16
2025-10-30;01:34;Puente Aranda;13;2.3;1.2;75.2;49.5;5.7;3.2;1.1;0.61;26.5;6
2025-10-30;01:34;MinAmbiente;17;;0.3;24.5;8.5;18;;3.9;0.57;16;4
2025-10-30;01:34;San Cristobal;24;0.4;0.8;3.4;0.8;8;7.4;12.1;0.1;2.6;1
2025-10-30;01:34;Movil 7ma;26;;;;;54.4;;;-9999;;8.1
2025-10-30;01:34;Bolivia;27;;;35.3;18.9;47.6;;0.5;0.71;16.4;8.1
2025-10-30;01:34;Fontibon;30;3.9;1.5;45.1;21;22.2;11.2;1.4;0.33;24.2;15
2025-10-30;01:34;Usme;32;;13.2;29.9;11.5;22.8;;5.7;0.23;18.4;6.5
2025-10-30;01:34;Jazmin;34;;2.2;53.4;27.1;32;;0.5;0.7;26.3;12.6
2025-10-30;01:34;Ciudad Bolivar;37;3.5;2.2;-0.1;0.1;57.6;7.4;5.1;0.45;-0.2;14.7
2025-10-30;01:34;Colina;38;;0.4;86.3;23.5;2.4;;-9999;0.7;62.8;8
2025-10-30;01:34;Movil Fontibon;39;;;-9999;-9999;47.1;;;-9999;-9999;21.7
