Fecha;Hora;name;stationId;BBP;OZONO;NOX;CO;eBC;PM25;NO2;PM10;SO2;NO
2025-11-02;00:22;Usaquen;1;;-9999;-9999;-9999;;0.1;-9999;0;-9999;-9999
2025-11-02;00:22;Carvajal - Sevillana;3;;;;0.26;;30;;53;1.9;
2025-11-02;00:22;Tunal;4;9.4;7.7;15.1;-9999;1;5;9;16;1;6.1
2025-11-02;00:22;Centro de Alto Rendimiento;5;5.7;2.5;12.2;0.24;1.3;3.4;9.6;8.1;0.8;2.5
2025-11-02;00:22;Las Ferias;6;;7.2;20;0.31;;1;15.5;7.2;;4.5
2025-11-02;00:22;Guaymaral;8;;1.3;47.6;0.51;;11;16.9;28;-9999;30.8
2025-11-02;00:22;Kennedy;9;4.5;15.7;28.5;0.69;3;16.7;12.4;31.6;-0.5;16.1
2025-11-02;00:22;Suba;11;;2.4;24;0.33;;8;15.9;37.4;1.2;8.1
2025-11-02;00:22;Puente Aranda;13;3.7;3.3;32.5;-0.08;0.6;2.8;23.6;2.3;0.8;8.9
2025-11-02;00:22;MinAmbiente;17;;11.4;23.3;0.48;;0;10.4;5;0.7;12.9
2025-11-02;00:22;San Cristobal;24;5.5;8.8;15.8;0.36;0.8;5;11.1;12;0.9;4.7
2025-11-02;00:22;Movil 7ma;26;;;;-9999;;3.6;;21.4;;
2025-11-02;00:22;Bolivia;27;;1.7;27.8;0.73;;5.2;16.6;28.9;;11.2
2025-11-02;00:22;Fontibon;30;9.2;2.6;36.1;0.3;1.9;18;24.7;17.1;-0.1;11.4
2025-11-02;00:22;Usme;32;;12.2;16.8;0.32;;1.9;12.3;19.9;3.5;4.5
2025-11-02;00:22;Jazmin;34;;1.7;46.8;0.41;;3.2;25.3;9.7;0.3;21.6
2025-11-02;00:22;Ciudad Bolivar;37;13.1;16.1;0;0.26;0.8;4;-0.2;20.7;1.6;0.2
2025-11-02;00:22;Colina;38;;-9999;86.3;0.7;;8;62.8;2.4;0.4;23.5
2025-11-02;00:22;Movil Fontibon;39;;;-9999;-9999;;11.4;-9999;44.7;;-9999
