Fecha;Hora;name;stationId;PM10;eBC;PM25;NOX;SO2;NO;CO;NO2;BBP;OZONO
2025-11-04;00:24;Usaquen;1;10.2;;1.5;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;;-9999.0
2025-11-04;00:24;Carvajal - Sevillana;3;72.0;;37.0;;0.9;;0.68;;;
2025-11-04;00:24;Tunal;4;28.0;2.4;4.0;25.8;2.0;14.7;-9999.0;11.1;12.3;1.6
2025-11-04;00:24;Centro de Alto Rendimiento;5;21.2;4.5;8.6;31.0;1.7;17.9;0.61;13.1;4.2;2.7
2025-11-04;00:24;Las Ferias;6;13.9;;15.0;35.3;;13.9;0.48;21.4;;1.7
2025-11-04;00:24;Guaymaral;8;28.0;;12.0;82.4;-9999.0;70.0;0.54;12.4;;0.7
2025-11-04;00:24;Kennedy;9;31.6;3.0;16.7;28.5;-0.5;16.1;0.69;12.4;4.5;15.7
2025-11-04;00:24;Suba;11;21.6;;13.0;22.9;0.7;10.2;0.5;12.7;;0.9
2025-11-04;00:24;Puente Aranda;13;13.7;2.0;7.4;49.7;1.4;27.7;0.63;21.9;3.0;0.9
2025-11-04;00:24;MinAmbiente;17;5.0;;6.0;8.3;0.8;3.0;0.26;5.3;;11.6
2025-11-04;00:24;San Cristobal;24;8.0;0.2;7.0;3.9;1.0;1.0;0.19;2.9;26.7;9.4
2025-11-04;00:24;Movil 7ma;26;10.5;;6.6;;;;-9999.0;;;
2025-11-04;00:24;Bolivia;27;22.9;;8.9;29.3;;14.9;0.75;14.4;;0.6
2025-11-04;00:24;Fontibon;30;48.0;2.1;11.0;22.8;1.1;4.4;0.23;18.4;3.7;2.7
2025-11-04;00:24;Usme;32;33.9;;15.0;36.8;7.0;18.3;0.42;18.5;;2.0
2025-11-04;00:24;Jazmin;34;23.4;;13.1;44.9;2.0;24.2;0.57;20.7;;0.2
2025-11-04;00:24;Ciudad Bolivar;37;41.8;8.5;12.2;0.0;1.2;0.2;1.35;-0.2;9.3;0.7
2025-11-04;00:24;Colina;38;2.4;;8.0;86.3;0.4;23.5;0.7;62.8;;-9999.0
2025-11-04;00:24;Movil Fontibon;39;42.5;;7.9;-9999.0;;-9999.0;-9999.0;-9999.0;;
2025-11-04;01:36;Usaquen;1;4.6;;0.1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;;-9999.0
2025-11-04;01:36;Carvajal - Sevillana;3;995.0;;29.0;;0.8;;0.51;;;
2025-11-04;01:36;Tunal;4;23.0;2.2;9.0;23.2;2.1;13.2;-9999.0;10.0;15.2;1.2
2025-11-04;01:36;Centro de Alto Rendimiento;5;26.7;3.5;14.7;30.5;1.2;18.0;0.44;12.5;7.2;4.3
2025-11-04;01:36;Las Ferias;6;15.4;;13.0;36.7;;15.7;0.45;20.9;;0.7
2025-11-04;01:36;Guaymaral;8;26.0;;8.0;53.3;-9999.0;42.9;0.44;10.4;;0.6
2025-11-04;01:36;Kennedy;9;31.6;3.0;16.7;28.5;-0.5;16.1;0.69;12.4;4.5;15.7
2025-11-04;01:36;Suba;11;20.9;;13.0;27.3;0.6;14.8;0.5;12.5;;0.6
2025-11-04;01:36;Puente Aranda;13;9.7;1.9;6.7;37.7;1.9;19.9;0.27;17.9;3.9;0.8
2025-11-04;01:36;MinAmbiente;17;8.0;;5.0;8.6;0.5;2.0;0.25;6.6;;10.7
2025-11-04;01:36;San Cristobal;24;9.0;0.2;6.0;2.4;0.8;0.6;0.06;1.8;37.8;10.3
2025-11-04;01:36;Movil 7ma;26;14.7;;6.1;;;;-9999.0;;;
2025-11-04;01:36;Bolivia;27;31.2;;7.1;29.8;;15.4;0.72;14.4;;0.3
2025-11-04;01:36;Fontibon;30;40.0;2.4;11.4;22.8;1.0;4.4;0.2;18.5;5.0;1.8
2025-11-04;01:36;Usme;32;34.6;;10.8;32.2;14.2;14.5;0.25;17.7;;1.7
2025-11-04;01:36;Jazmin;34;26.1;;10.2;31.0;1.3;12.4;0.38;18.6;;0.5
2025-11-04;01:36;Ciudad Bolivar;37;48.9;6.9;18.2;0.0;0.9;0.2;0.79;-0.2;8.3;0.6
2025-11-04;01:36;Colina;38;2.4;;8.0;86.3;0.4;23.5;0.7;62.8;;-9999.0
2025-11-04;01:36;Movil Fontibon;39;44.6;;10.3;-9999.0;;-9999.0;-9999.0;-9999.0;;
2025-11-04;02:23;Usaquen;1;0.1;;0.1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;;-9999.0
2025-11-04;02:23;Carvajal - Sevillana;3;55.0;;30.0;;0.9;;0.49;;;
2025-11-04;02:23;Tunal;4;19.0;1.9;9.0;15.2;1.8;7.6;-9999.0;7.7;9.3;1.7
2025-11-04;02:23;Centro de Alto Rendimiento;5;19.2;3.9;11.0;25.9;1.1;16.6;0.39;9.4;10.1;4.0
2025-11-04;02:23;Las Ferias;6;13.7;;9.0;45.3;;25.9;0.5;19.4;;0.4
2025-11-04;02:23;Guaymaral;8;19.0;;5.0;67.1;-9999.0;58.0;0.44;9.1;;0.7
2025-11-04;02:23;Kennedy;9;31.6;3.0;16.7;28.5;-0.5;16.1;0.69;12.4;4.5;15.7
2025-11-04;02:23;Suba;11;24.7;;13.0;36.2;0.7;21.7;0.5;14.4;;0.5
2025-11-04;02:23;Puente Aranda;13;7.7;1.5;7.2;36.5;1.9;19.8;0.18;16.8;6.4;0.9
2025-11-04;02:23;MinAmbiente;17;9.0;;8.0;11.9;0.5;2.8;0.29;9.1;;6.5
2025-11-04;02:23;San Cristobal;24;6.0;0.3;3.0;3.5;0.7;0.7;0.09;2.8;11.7;9.0
2025-11-04;02:23;Movil 7ma;26;17.6;;5.9;;;;-9999.0;;;
2025-11-04;02:23;Bolivia;27;36.4;;6.5;33.3;;19.0;0.69;14.2;;0.4
2025-11-04;02:23;Fontibon;30;21.1;1.8;13.6;18.7;1.2;3.6;0.28;15.1;5.3;2.7
2025-11-04;02:23;Usme;32;38.9;;20.0;27.6;7.9;12.1;0.14;15.4;;1.6
2025-11-04;02:23;Jazmin;34;24.8;;8.1;29.9;1.9;11.9;0.28;18.1;;0.2
2025-11-04;02:23;Ciudad Bolivar;37;56.6;3.9;14.7;0.0;0.8;0.2;0.57;-0.2;12.5;0.6
2025-11-04;02:23;Colina;38;2.4;;8.0;86.3;0.4;23.5;0.7;62.8;;-9999.0
2025-11-04;02:23;Movil Fontibon;39;38.8;;10.9;-9999.0;;-9999.0;-9999.0;-9999.0;;
2025-11-04;03:33;Usaquen;1;0.0;;2.8;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;;-9999.0
2025-11-04;03:33;Carvajal - Sevillana;3;64.0;;27.0;;1.0;;0.45;;;
2025-11-04;03:33;Tunal;4;25.0;1.6;7.0;18.1;1.5;9.6;-9999.0;8.5;5.2;2.4
2025-11-04;03:33;Centro de Alto Rendimiento;5;19.8;4.8;11.3;27.6;0.9;20.3;0.41;7.4;14.3;4.0
2025-11-04;03:33;Las Ferias;6;10.1;;20.0;36.7;;19.0;0.47;17.7;;0.4
2025-11-04;03:33;Guaymaral;8;25.0;;12.0;46.9;-9999.0;37.5;0.34;9.4;;0.7
2025-11-04;03:33;Kennedy;9;31.6;3.0;16.7;28.5;-0.5;16.1;0.69;12.4;4.5;15.7
2025-11-04;03:33;Suba;11;31.6;;13.0;34.7;0.6;22.1;0.45;12.6;;0.5
2025-11-04;03:33;Puente Aranda;13;5.4;1.4;8.0;34.4;2.0;18.1;0.09;16.4;6.1;0.8
2025-11-04;03:33;MinAmbiente;17;14.0;;11.0;15.5;0.4;3.6;0.35;11.9;;3.3
2025-11-04;03:33;San Cristobal;24;7.0;0.4;1.0;3.8;0.7;0.7;0.1;3.1;5.4;8.1
2025-11-04;03:33;Movil 7ma;26;21.1;;5.8;;;;-9999.0;;;
2025-11-04;03:33;Bolivia;27;32.1;;12.8;33.1;;19.4;0.63;13.8;;0.4
2025-11-04;03:33;Fontibon;30;22.4;4.8;12.1;54.9;1.9;38.0;0.43;17.1;6.1;1.6
2025-11-04;03:33;Usme;32;33.4;;16.0;34.2;5.6;16.8;0.16;17.4;;1.7
2025-11-04;03:33;Jazmin;34;22.6;;15.2;34.7;2.0;17.8;0.26;16.9;;0.2
2025-11-04;03:33;Ciudad Bolivar;37;57.9;5.1;15.8;-0.1;0.7;0.1;0.54;-0.2;14.3;1.0
2025-11-04;03:33;Colina;38;2.4;;8.0;86.3;0.4;23.5;0.7;62.8;;-9999.0
2025-11-04;03:33;Movil Fontibon;39;37.9;;13.3;-9999.0;;-9999.0;-9999.0;-9999.0;;
2025-11-04;04:27;Usaquen;1;8.1;;4.2;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;;-9999.0
2025-11-04;04:27;Carvajal - Sevillana;3;90.0;;50.0;;1.6;;0.49;;;
2025-11-04;04:27;Tunal;4;16.0;2.5;5.0;26.0;2.1;15.9;-9999.0;10.1;3.2;1.8
2025-11-04;04:27;Centro de Alto Rendimiento;5;20.4;5.4;8.2;31.7;0.8;25.2;0.47;6.5;10.9;4.3
2025-11-04;04:27;Las Ferias;6;12.5;;17.0;56.0;;38.3;0.69;17.6;;0.5
2025-11-04;04:27;Guaymaral;8;24.0;;7.0;18.4;-9999.0;8.1;0.3;10.2;;0.7
2025-11-04;04:27;Kennedy;9;31.6;3.0;16.7;28.5;-0.5;16.1;0.69;12.4;4.5;15.7
2025-11-04;04:27;Suba;11;29.2;;10.0;24.3;0.6;13.3;0.4;11.0;;0.5
2025-11-04;04:27;Puente Aranda;13;4.2;1.8;12.8;52.2;2.8;35.1;0.14;17.4;7.1;0.8
2025-11-04;04:27;MinAmbiente;17;15.0;;12.0;14.1;0.4;3.5;0.34;10.6;;2.6
2025-11-04;04:27;San Cristobal;24;15.0;0.4;9.0;4.3;0.6;0.7;0.1;3.6;3.3;7.0
2025-11-04;04:27;Movil 7ma;26;24.1;;7.3;;;;-9999.0;;;
2025-11-04;04:27;Bolivia;27;34.2;;11.5;34.6;;21.3;0.64;13.3;;0.3
2025-11-04;04:27;Fontibon;30;31.9;5.1;19.4;46.8;1.6;28.2;0.31;18.5;7.8;1.5
2025-11-04;04:27;Usme;32;31.3;;14.7;57.6;2.9;37.3;0.17;20.3;;0.6
2025-11-04;04:27;Jazmin;34;19.9;;11.3;45.2;2.2;27.0;0.32;18.1;;0.2
2025-11-04;04:27;Ciudad Bolivar;37;45.5;5.5;15.5;-0.1;0.8;0.1;0.48;-0.2;7.0;0.8
2025-11-04;04:27;Colina;38;2.4;;8.0;86.3;0.4;23.5;0.7;62.8;;-9999.0
2025-11-04;04:27;Movil Fontibon;39;42.6;;14.2;-9999.0;;-9999.0;-9999.0;-9999.0;;
2025-11-04;05:27;Usaquen;1;10.7;;4.3;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;;-9999.0
2025-11-04;05:27;Carvajal - Sevillana;3;108.0;;48.0;;1.9;;0.93;;;
2025-11-04;05:27;Tunal;4;27.0;3.9;11.0;35.9;1.9;23.6;-9999.0;12.3;1.9;1.7
2025-11-04;05:27;Centro de Alto Rendimiento;5;28.5;6.6;9.7;35.7;0.8;30.0;0.52;5.7;5.5;6.4
2025-11-04;05:27;Las Ferias;6;17.6;;24.0;96.3;;77.2;0.89;19.3;;0.5
2025-11-04;05:27;Guaymaral;8;19.0;;16.0;63.5;-9999.0;53.3;0.37;10.2;;0.7
2025-11-04;05:27;Kennedy;9;31.6;3.0;16.7;28.5;-0.5;16.1;0.69;12.4;4.5;15.7
2025-11-04;05:27;Suba;11;28.0;;15.0;33.5;0.7;21.6;0.42;11.9;;0.5
2025-11-04;05:27;Puente Aranda;13;4.5;2.1;9.7;58.4;2.7;40.6;0.2;17.9;4.7;0.9
2025-11-04;05:27;MinAmbiente;17;23.0;;10.0;23.6;0.4;12.7;0.42;10.9;;2.0
2025-11-04;05:27;San Cristobal;24;21.0;0.8;8.0;10.8;0.7;3.8;0.15;7.0;3.5;5.4
2025-11-04;05:27;Movil 7ma;26;36.0;;7.3;;;;-9999.0;;;
2025-11-04;05:27;Bolivia;27;35.8;;19.6;62.4;;47.0;0.88;15.3;;0.3
2025-11-04;05:27;Fontibon;30;36.6;7.9;21.9;77.2;2.1;45.6;0.38;31.7;1.4;1.6
2025-11-04;05:27;Usme;32;19.4;;11.4;52.3;7.5;32.0;0.31;20.2;;2.4
2025-11-04;05:27;Jazmin;34;24.7;;8.1;55.7;2.7;36.2;0.43;19.5;;0.1
