Fecha;Hora;name;stationId;NO2;eBC;PM10;NOX;NO;BBP;CO;SO2;OZONO;PM25
2025-11-06;00:24;Usaquen;1;-9999.0;;6.9;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;0.4
2025-11-06;00:24;Carvajal - Sevillana;3;;;58.0;;;;0.81;2.0;;34.0
2025-11-06;00:24;Tunal;4;6.7;1.3;30.0;11.3;4.5;2.4;-9999.0;0.2;13.1;12.0
2025-11-06;00:24;Centro de Alto Rendimiento;5;22.9;8.1;55.1;58.0;35.1;9.2;0.74;1.5;4.0;23.9
2025-11-06;00:24;Las Ferias;6;17.3;;30.0;24.0;6.8;;0.35;;7.0;19.0
2025-11-06;00:24;Guaymaral;8;10.4;;11.0;11.6;1.2;;0.22;0.1;10.1;1.0
2025-11-06;00:24;Kennedy;9;12.4;3.0;31.6;28.5;16.1;4.5;0.69;-0.5;15.7;16.7
2025-11-06;00:24;Suba;11;14.4;;38.9;17.6;3.1;;0.36;0.7;2.6;15.0
2025-11-06;00:24;Puente Aranda;13;25.6;2.6;47.1;52.1;26.6;3.1;0.41;1.6;2.1;18.8
2025-11-06;00:24;MinAmbiente;17;1.2;;16.0;3.7;2.5;;0.16;0.8;18.6;4.0
2025-11-06;00:24;San Cristobal;24;6.7;0.6;10.0;8.4;1.6;43.6;0.22;1.0;14.9;14.0
2025-11-06;00:24;Movil 7ma;26;;;28.2;;;;-9999.0;;;6.9
2025-11-06;00:24;Bolivia;27;23.0;;63.6;39.6;16.6;;0.57;;2.0;19.0
2025-11-06;00:24;Fontibon;30;30.2;3.6;44.2;44.0;13.8;9.4;0.36;1.3;1.0;36.0
2025-11-06;00:24;Usme;32;7.4;;31.0;8.6;1.2;;0.14;3.5;21.3;12.5
2025-11-06;00:24;Jazmin;34;20.3;;40.1;27.7;7.4;;0.32;1.3;4.0;13.1
2025-11-06;00:24;Ciudad Bolivar;37;-0.2;0.8;40.8;-0.1;0.1;12.3;-0.01;1.5;21.4;4.0
2025-11-06;00:24;Colina;38;62.8;;2.4;86.3;23.5;;0.7;0.4;-9999.0;8.0
2025-11-06;00:24;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;-9999.0;;-9999.0;;;-9999.0
2025-11-06;01:35;Usaquen;1;-9999.0;;7.1;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;0.1
2025-11-06;01:35;Carvajal - Sevillana;3;;;20.0;;;;0.51;0.9;;16.0
2025-11-06;01:35;Tunal;4;6.9;1.0;15.0;11.6;4.7;8.0;-9999.0;0.2;15.2;7.0
2025-11-06;01:35;Centro de Alto Rendimiento;5;12.4;3.9;59.8;29.1;16.7;6.5;0.33;1.0;5.1;24.5
2025-11-06;01:35;Las Ferias;6;7.3;;21.9;9.2;2.0;;0.13;;12.4;7.0
2025-11-06;01:35;Guaymaral;8;6.8;;17.0;8.6;1.8;;0.17;0.1;12.6;3.0
2025-11-06;01:35;Kennedy;9;12.4;3.0;31.6;28.5;16.1;4.5;0.69;-0.5;15.7;16.7
2025-11-06;01:35;Suba;11;12.6;;27.4;16.0;3.5;;0.3;0.5;4.3;9.0
2025-11-06;01:35;Puente Aranda;13;21.1;1.4;39.6;39.7;18.6;3.7;0.19;1.8;6.1;14.9
2025-11-06;01:35;MinAmbiente;17;1.0;;0.0;2.4;1.4;;0.17;0.5;12.2;1.0
2025-11-06;01:35;San Cristobal;24;4.1;0.4;6.0;4.8;0.7;35.7;0.14;0.9;14.2;9.0
2025-11-06;01:35;Movil 7ma;26;;;28.2;;;;-9999.0;;;12.2
2025-11-06;01:35;Bolivia;27;15.9;;52.7;23.6;7.7;;0.44;;5.4;17.0
2025-11-06;01:35;Fontibon;30;17.1;1.7;30.9;20.4;3.4;5.9;0.16;1.1;4.5;32.6
2025-11-06;01:35;Usme;32;11.9;;37.7;14.6;2.7;;0.17;4.1;15.1;9.4
2025-11-06;01:35;Jazmin;34;10.7;;38.6;11.7;1.0;;0.17;0.8;12.9;13.5
2025-11-06;01:35;Ciudad Bolivar;37;-0.2;0.7;30.1;-0.1;0.2;10.0;0.07;0.8;19.7;3.4
2025-11-06;01:35;Colina;38;62.8;;2.4;86.3;23.5;;0.7;0.4;-9999.0;8.0
2025-11-06;01:35;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;-9999.0;;-9999.0;;;-9999.0
2025-11-06;02:23;Usaquen;1;-9999.0;;8.1;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;1.3
2025-11-06;02:23;Carvajal - Sevillana;3;;;10.0;;;;0.31;0.5;;8.0
2025-11-06;02:23;Tunal;4;7.1;1.1;15.0;11.8;4.7;3.9;-9999.0;0.4;13.3;7.0
2025-11-06;02:23;Centro de Alto Rendimiento;5;5.6;1.1;47.8;10.1;4.5;6.5;0.06;0.6;12.7;20.1
2025-11-06;02:23;Las Ferias;6;6.0;;16.7;7.3;1.2;;0.11;;15.2;7.0
2025-11-06;02:23;Guaymaral;8;9.2;;12.0;12.8;3.6;;0.17;0.1;8.4;3.0
2025-11-06;02:23;Kennedy;9;12.4;3.0;31.6;28.5;16.1;4.5;0.69;-0.5;15.7;16.7
2025-11-06;02:23;Suba;11;6.9;;26.0;7.5;0.7;;0.27;0.5;7.3;10.0
2025-11-06;02:23;Puente Aranda;13;15.5;0.7;27.8;21.4;5.9;6.3;0.03;1.2;6.0;18.2
2025-11-06;02:23;MinAmbiente;17;1.2;;3.0;2.5;1.4;;0.16;0.5;10.1;3.0
2025-11-06;02:23;San Cristobal;24;4.4;0.3;4.0;5.5;1.2;3.5;0.13;0.9;10.0;5.0
2025-11-06;02:23;Movil 7ma;26;;;34.9;;;;-9999.0;;;11.7
2025-11-06;02:23;Bolivia;27;34.6;;44.6;71.9;37.3;;0.53;;4.7;12.2
2025-11-06;02:23;Fontibon;30;14.2;1.4;12.5;15.6;1.4;8.5;0.1;1.0;6.5;11.3
2025-11-06;02:23;Usme;32;13.7;;31.6;16.2;2.5;;0.15;11.7;13.2;19.1
2025-11-06;02:23;Jazmin;34;15.7;;27.6;16.7;1.0;;0.18;1.1;8.1;9.5
2025-11-06;02:23;Ciudad Bolivar;37;-0.2;1.2;28.5;0.0;0.2;8.6;0.12;1.0;14.4;3.5
2025-11-06;02:23;Colina;38;62.8;;2.4;86.3;23.5;;0.7;0.4;-9999.0;8.0
2025-11-06;02:23;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;-9999.0;;-9999.0;;;-9999.0
2025-11-06;03:32;Usaquen;1;-9999.0;;8.0;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;2.7
2025-11-06;03:32;Carvajal - Sevillana;3;;;26.0;;;;1.26;0.6;;16.0
2025-11-06;03:32;Tunal;4;5.6;0.9;14.0;10.8;5.2;5.8;-9999.0;0.5;13.6;5.0
2025-11-06;03:32;Centro de Alto Rendimiento;5;6.7;1.0;34.0;10.0;3.3;6.9;0.04;0.5;14.0;14.7
2025-11-06;03:32;Las Ferias;6;7.5;;17.9;9.1;1.6;;0.13;;13.0;985.0
2025-11-06;03:32;Guaymaral;8;7.5;;12.0;15.1;7.6;;0.17;0.2;8.6;5.0
2025-11-06;03:32;Kennedy;9;12.4;3.0;31.6;28.5;16.1;4.5;0.69;-0.5;15.7;16.7
2025-11-06;03:32;Suba;11;10.8;;24.4;13.5;2.7;;0.29;0.6;5.2;7.0
2025-11-06;03:32;Puente Aranda;13;16.8;0.7;20.0;25.1;8.3;6.3;0.05;0.9;2.7;13.3
2025-11-06;03:32;MinAmbiente;17;5.6;;4.0;7.4;1.8;;0.18;0.5;5.4;1.0
2025-11-06;03:32;San Cristobal;24;5.5;0.3;2.0;7.6;2.1;133.6;0.14;0.9;6.3;4.0
2025-11-06;03:32;Movil 7ma;26;;;24.7;;;;-9999.0;;;8.6
2025-11-06;03:32;Bolivia;27;15.7;;31.2;22.4;6.7;;0.43;;7.5;9.6
2025-11-06;03:32;Fontibon;30;18.5;1.7;5.8;19.6;1.1;9.8;0.14;0.9;4.1;7.1
2025-11-06;03:32;Usme;32;13.8;;21.1;15.4;1.6;;0.18;9.3;10.2;13.5
2025-11-06;03:32;Jazmin;34;17.4;;21.9;19.3;1.9;;0.25;0.7;4.7;11.2
2025-11-06;03:32;Ciudad Bolivar;37;-0.2;1.9;20.1;0.0;0.2;17.6;0.12;1.1;9.4;3.2
2025-11-06;03:32;Colina;38;62.8;;2.4;86.3;23.5;;0.7;0.4;-9999.0;8.0
2025-11-06;03:32;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;-9999.0;;-9999.0;;;-9999.0
2025-11-06;04:26;Usaquen;1;-9999.0;;4.6;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;2.6
2025-11-06;04:26;Carvajal - Sevillana;3;;;68.0;;;;1.09;0.8;;29.0
2025-11-06;04:26;Tunal;4;11.9;3.8;16.0;32.8;20.9;8.5;-9999.0;0.7;3.8;11.0
2025-11-06;04:26;Centro de Alto Rendimiento;5;6.8;1.3;24.0;9.1;2.3;6.6;0.03;0.3;5.1;10.4
2025-11-06;04:26;Las Ferias;6;15.0;;14.6;17.6;2.6;;0.16;;5.8;985.0
2025-11-06;04:26;Guaymaral;8;16.6;;28.0;70.8;54.3;;0.26;1.1;-0.2;11.0
2025-11-06;04:26;Kennedy;9;12.4;3.0;31.6;28.5;16.1;4.5;0.69;-0.5;15.7;16.7
2025-11-06;04:26;Suba;11;14.1;;22.0;24.0;10.0;;0.33;0.7;3.7;8.0
2025-11-06;04:26;Puente Aranda;13;21.8;1.0;14.9;38.5;16.7;5.4;0.12;0.9;1.2;10.2
2025-11-06;04:26;MinAmbiente;17;2.1;;3.0;4.2;2.2;;0.15;0.6;5.4;0.0
2025-11-06;04:26;San Cristobal;24;5.1;0.4;2.0;5.9;0.7;1.0;0.13;0.9;7.8;5.0
2025-11-06;04:26;Movil 7ma;26;;;14.4;;;;-9999.0;;;6.6
2025-11-06;04:26;Bolivia;27;13.5;;28.7;16.7;3.2;;0.42;;7.2;9.5
2025-11-06;04:26;Fontibon;30;25.2;2.2;4.5;29.9;4.6;8.4;0.15;1.2;2.3;8.4
2025-11-06;04:26;Usme;32;16.7;;12.4;21.7;4.9;;0.26;10.0;8.3;10.3
2025-11-06;04:26;Jazmin;34;22.8;;19.1;26.6;3.9;;0.27;0.8;1.2;8.6
2025-11-06;04:26;Ciudad Bolivar;37;-0.2;3.6;15.1;0.0;0.2;9.7;0.28;1.2;1.9;2.7
2025-11-06;04:26;Colina;38;62.8;;2.4;86.3;23.5;;0.7;0.4;-9999.0;8.0
2025-11-06;04:26;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;-9999.0;;-9999.0;;;-9999.0
2025-11-06;05:27;Usaquen;1;-9999;;8.8;-9999;-9999;;-9999;-9999;-9999;4.5
2025-11-06;05:27;Carvajal - Sevillana;3;;;42;;;;1.33;0.8;;11
2025-11-06;05:27;Tunal;4;19.9;9.8;26;82.7;62.8;6.6;-9999;2.2;1.4;22
2025-11-06;05:27;Centro de Alto Rendimiento;5;9.4;3.2;17.5;19.5;10;6.7;0.13;0.4;4.4;7.7
2025-11-06;05:27;Las Ferias;6;19.2;;11.3;26.6;7.3;;0.23;;2.2;985
2025-11-06;05:27;Guaymaral;8;16.6;;38;63.6;47;;0.29;1;-0.3;9
2025-11-06;05:27;Kennedy;9;12.4;3;31.6;28.5;16.1;4.5;0.69;-0.5;15.7;16.7
2025-11-06;05:27;Suba;11;15.3;;16;24.1;8.9;;0.36;0.9;2.4;17
2025-11-06;05:27;Puente Aranda;13;24.2;1.9;15.5;64.1;39.9;3.9;0.34;1;0.8;8.2
2025-11-06;05:27;MinAmbiente;17;3.2;;3;9.1;5.9;;0.19;0.5;4.1;0
2025-11-06;05:27;San Cristobal;24;9.1;0.6;11;13.9;4.9;5.1;0.19;0.9;5.1;3
2025-11-06;05:27;Movil 7ma;26;;;21.9;;;;-9999;;;5
2025-11-06;05:27;Bolivia;27;19.1;;20;27.9;8.8;;0.52;;4.2;12.3
2025-11-06;05:27;Fontibon;30;29.7;3.3;12.9;42.3;12.6;6.7;0.27;1.2;1;11
2025-11-06;05:27;Usme;32;22.3;;36.8;57.1;34.8;;0.32;4.8;2.9;9.3
2025-11-06;05:27;Jazmin;34;25;;14.6;51.4;26.5;;0.47;0.9;0.6;6.6
2025-11-06;05:27;Ciudad Bolivar;37;-0.2;5.4;18.9;0;0.2;5.1;0.35;1.1;1.2;3.2
2025-11-06;05:27;Colina;38;62.8;;2.4;86.3;23.5;;0.7;0.4;-9999;8
2025-11-06;05:27;Movil Fontibon;39;-9999;;-9999;-9999;-9999;;-9999;;;-9999
