Fecha;Hora;name;stationId;PM10;NO;NO2;NOX;OZONO;PM25;BBP;SO2;CO;eBC
2025-11-07;00:24;Usaquen;1;22.5;-9999.0;-9999.0;-9999.0;-9999.0;3.4;;-9999.0;-9999.0;
2025-11-07;00:24;Carvajal - Sevillana;3;100.0;;;;;31.0;;1.6;1.28;
2025-11-07;00:24;Tunal;4;40.0;28.3;13.1;41.5;1.1;15.0;9.4;1.7;-9999.0;4.4
2025-11-07;00:24;Centro de Alto Rendimiento;5;39.3;99.8;13.8;113.7;6.4;17.5;8.2;4.8;2.25;15.5
2025-11-07;00:24;Las Ferias;6;16.9;36.5;22.2;58.6;0.5;11.0;;;0.8;
2025-11-07;00:24;Guaymaral;8;44.0;113.9;19.0;132.9;-0.2;16.0;;2.3;0.91;
2025-11-07;00:24;Kennedy;9;31.6;16.1;12.4;28.5;15.7;16.7;4.5;-0.5;0.69;3.0
2025-11-07;00:24;Suba;11;27.8;21.4;19.8;41.2;0.6;18.0;;0.9;0.58;
2025-11-07;00:24;Puente Aranda;13;35.5;108.3;27.1;135.5;1.0;18.6;1.4;2.1;1.8;4.1
2025-11-07;00:24;MinAmbiente;17;19.0;12.9;9.0;21.9;3.7;6.0;;0.4;0.46;
2025-11-07;00:24;San Cristobal;24;12.0;3.7;5.3;9.0;6.3;4.0;2.6;0.2;0.23;0.6
2025-11-07;00:24;Movil 7ma;26;30.9;;;;;7.5;;;-9999.0;
2025-11-07;00:24;Bolivia;27;56.9;7.4;18.6;26.0;1.0;14.7;;;0.75;
2025-11-07;00:24;Fontibon;30;47.7;47.8;27.4;75.3;0.6;21.0;13.0;1.7;0.76;5.3
2025-11-07;00:24;Usme;32;40.8;13.6;17.8;31.4;4.3;13.9;;10.1;0.43;
2025-11-07;00:24;Jazmin;34;42.1;64.0;23.7;87.8;0.0;14.6;;1.2;1.43;
2025-11-07;00:24;Ciudad Bolivar;37;58.0;-9999.0;-9999.0;-9999.0;0.7;16.1;6.2;1.4;1.93;14.6
2025-11-07;00:24;Colina;38;2.4;23.5;62.8;86.3;-9999.0;8.0;;0.4;0.7;
2025-11-07;00:24;Movil Fontibon;39;94.8;-9999.0;-9999.0;-9999.0;;24.6;;;-9999.0;
2025-11-07;01:35;Usaquen;1;15.2;-9999.0;-9999.0;-9999.0;-9999.0;2.6;;-9999.0;-9999.0;
2025-11-07;01:35;Carvajal - Sevillana;3;81.0;;;;;29.0;;1.2;1.14;
2025-11-07;01:35;Tunal;4;50.0;15.7;11.4;27.1;1.7;13.0;4.9;1.2;-9999.0;3.3
2025-11-07;01:35;Centro de Alto Rendimiento;5;50.5;124.7;11.7;136.3;2.9;18.8;6.3;4.4;2.49;16.6
2025-11-07;01:35;Las Ferias;6;14.8;54.7;20.7;75.4;0.4;10.0;;;0.78;
2025-11-07;01:35;Guaymaral;8;36.0;90.9;15.7;106.7;-0.2;12.0;;2.0;0.77;
2025-11-07;01:35;Kennedy;9;31.6;16.1;12.4;28.5;15.7;16.7;4.5;-0.5;0.69;3.0
2025-11-07;01:35;Suba;11;29.6;19.7;17.3;37.1;0.6;14.0;;1.2;0.51;
2025-11-07;01:35;Puente Aranda;13;68.7;113.3;24.8;136.7;0.8;20.8;3.1;1.8;1.31;5.1
2025-11-07;01:35;MinAmbiente;17;5.0;7.9;7.6;15.5;5.9;5.0;;0.5;0.37;
2025-11-07;01:35;San Cristobal;24;10.0;4.6;6.1;10.7;4.8;3.0;1.8;0.1;0.22;0.6
2025-11-07;01:35;Movil 7ma;26;36.1;;;;;5.7;;;-9999.0;
2025-11-07;01:35;Bolivia;27;45.9;12.2;17.8;30.0;0.5;13.8;;;0.68;
2025-11-07;01:35;Fontibon;30;38.9;59.1;23.5;82.6;0.8;23.7;7.8;2.4;0.83;8.1
2025-11-07;01:35;Usme;32;51.8;2.8;11.2;14.0;11.2;16.7;;12.4;0.3;
2025-11-07;01:35;Jazmin;34;40.3;65.3;19.9;85.1;0.1;11.2;;1.1;1.16;
2025-11-07;01:35;Ciudad Bolivar;37;74.5;-9999.0;-9999.0;-9999.0;0.8;19.7;10.8;1.2;1.14;10.2
2025-11-07;01:35;Colina;38;2.4;23.5;62.8;86.3;-9999.0;8.0;;0.4;0.7;
2025-11-07;01:35;Movil Fontibon;39;103.0;-9999.0;-9999.0;-9999.0;;26.0;;;-9999.0;
2025-11-07;02:23;Usaquen;1;8.5;-9999.0;-9999.0;-9999.0;-9999.0;4.0;;-9999.0;-9999.0;
2025-11-07;02:23;Carvajal - Sevillana;3;95.0;;;;;24.0;;1.2;0.81;
2025-11-07;02:23;Tunal;4;33.0;5.9;8.0;14.0;6.6;10.0;3.8;1.3;-9999.0;1.6
2025-11-07;02:23;Centro de Alto Rendimiento;5;42.6;108.9;9.8;118.7;0.7;24.3;6.3;4.5;2.13;14.7
2025-11-07;02:23;Las Ferias;6;11.1;63.4;18.7;82.1;0.4;14.0;;;0.92;
2025-11-07;02:23;Guaymaral;8;36.0;63.8;17.9;81.8;-0.2;17.0;;1.7;0.55;
2025-11-07;02:23;Kennedy;9;31.6;16.1;12.4;28.5;15.7;16.7;4.5;-0.5;0.69;3.0
2025-11-07;02:23;Suba;11;25.0;17.0;16.1;33.1;0.6;13.0;;1.4;0.44;
2025-11-07;02:23;Puente Aranda;13;57.8;111.7;24.3;135.3;0.8;22.7;4.6;1.6;1.18;4.5
2025-11-07;02:23;MinAmbiente;17;11.0;6.7;7.9;14.6;4.4;6.0;;0.4;0.31;
2025-11-07;02:23;San Cristobal;24;7.0;0.9;3.3;4.2;8.7;4.0;39.4;0.1;0.13;0.3
2025-11-07;02:23;Movil 7ma;26;58.4;;;;;6.6;;;-9999.0;
2025-11-07;02:23;Bolivia;27;50.2;13.7;16.4;30.1;0.4;10.4;;;0.68;
2025-11-07;02:23;Fontibon;30;48.1;48.6;21.3;69.8;0.7;38.5;9.8;2.1;0.61;6.9
2025-11-07;02:23;Usme;32;44.7;2.9;9.6;12.5;9.9;12.0;;12.2;0.33;
2025-11-07;02:23;Jazmin;34;41.7;69.6;18.2;87.8;0.0;12.5;;1.3;1.13;
2025-11-07;02:23;Ciudad Bolivar;37;71.2;-9999.0;-9999.0;-9999.0;1.0;21.8;4.7;1.1;0.85;7.6
2025-11-07;02:23;Colina;38;2.4;23.5;62.8;86.3;-9999.0;8.0;;0.4;0.7;
2025-11-07;02:23;Movil Fontibon;39;103.6;-9999.0;-9999.0;-9999.0;;22.7;;;-9999.0;
2025-11-07;03:32;Usaquen;1;7;-9999;-9999;-9999;-9999;5.5;;-9999;-9999;
2025-11-07;03:32;Carvajal - Sevillana;3;96;;;;;34;;1.1;0.94;
2025-11-07;03:32;Tunal;4;31;10.6;8.8;19.4;7;12;3.6;1.3;-9999;2.2
2025-11-07;03:32;Centro de Alto Rendimiento;5;41.6;81.1;8.6;89.7;0.5;18;7.4;4.3;1.51;11.1
2025-11-07;03:32;Las Ferias;6;21.5;33.8;18.4;52.2;0.4;17;;;0.52;
2025-11-07;03:32;Guaymaral;8;35;116;16.9;132.9;-0.3;17;;2.4;0.51;
2025-11-07;03:32;Kennedy;9;31.6;16.1;12.4;28.5;15.7;16.7;4.5;-0.5;0.69;3
2025-11-07;03:32;Suba;11;24.4;13.6;15.3;28.8;0.7;10;;1;0.38;
2025-11-07;03:32;Puente Aranda;13;61.9;98.3;25.2;123.1;0.8;29.5;5.5;1.4;0.74;4.4
2025-11-07;03:32;MinAmbiente;17;11;5.5;6.8;12.3;4.4;5;;0.4;0.27;
2025-11-07;03:32;San Cristobal;24;6;1;2.8;3.8;8.6;5;1.3;0;0.11;0.5
2025-11-07;03:32;Movil 7ma;26;51.6;;;;;6.3;;;-9999;
2025-11-07;03:32;Bolivia;27;46.5;13.6;15.8;29.5;0.4;10.2;;;0.64;
2025-11-07;03:32;Fontibon;30;51.9;27.3;21.8;49.1;0.7;27.1;12.2;1.7;0.34;4.4
2025-11-07;03:32;Usme;32;58.9;2.9;11.5;14.4;9.6;12.8;;12.5;0.32;
2025-11-07;03:32;Jazmin;34;37;91.7;18.9;110.6;0.2;9.3;;1.3;1.51;
2025-11-07;03:32;Ciudad Bolivar;37;62.3;-9999;-9999;-9999;0.7;18.3;7.2;1;0.84;8.6
2025-11-07;03:32;Colina;38;2.4;23.5;62.8;86.3;-9999;8;;0.4;0.7;
2025-11-07;03:32;Movil Fontibon;39;81.3;-9999;-9999;-9999;;17;;;-9999;
