Fecha;Hora;name;stationId;NO2;CO;OZONO;BBP;SO2;eBC;NOX;NO;PM25;PM10
2025-11-10;00:25;Usaquen;1;-9999.0;-9999.0;-9999.0;;-9999.0;;-9999.0;-9999.0;0.1;4.2
2025-11-10;00:25;Carvajal - Sevillana;3;;0.54;;;3.8;;;;24.0;40.0
2025-11-10;00:25;Tunal;4;6.0;-9999.0;13.0;2.5;0.6;1.0;10.6;4.6;6.0;9.0
2025-11-10;00:25;Centro de Alto Rendimiento;5;2.9;0.13;0.0;13.3;0.9;0.2;3.0;0.1;3.5;4.3
2025-11-10;00:25;Las Ferias;6;5.5;0.16;18.9;;;;7.1;1.5;1.0;5.3
2025-11-10;00:25;Guaymaral;8;23.5;0.27;2.8;;0.5;;41.7;18.2;4.0;15.0
2025-11-10;00:25;Kennedy;9;12.4;0.69;15.7;4.5;-0.5;3.0;28.5;16.1;16.7;31.6
2025-11-10;00:25;Suba;11;13.7;0.31;6.3;;0.6;;17.3;3.6;6.0;12.8
2025-11-10;00:25;Puente Aranda;13;12.7;-0.06;10.2;0.1;1.2;-9999.0;14.9;2.1;3.3;3.7
2025-11-10;00:25;MinAmbiente;17;-1.4;0.2;24.1;;0.8;;-0.6;0.8;2.0;0.0
2025-11-10;00:25;San Cristobal;24;2.6;0.17;19.9;0.8;0.7;0.3;3.2;0.6;2.0;6.0
2025-11-10;00:25;Movil 7ma;26;;-9999.0;;;;;;;1.9;8.2
2025-11-10;00:25;Bolivia;27;14.2;0.61;8.2;;;;18.2;4.0;2.8;4.8
2025-11-10;00:25;Fontibon;30;21.6;0.24;4.7;3.0;-9999.0;1.4;24.3;2.8;3.0;-9999.0
2025-11-10;00:25;Usme;32;11.9;0.21;15.0;;11.6;;14.5;2.7;6.4;29.3
2025-11-10;00:25;Jazmin;34;12.4;0.16;12.0;;1.6;;13.5;1.1;3.2;6.6
2025-11-10;00:25;Ciudad Bolivar;37;-9999.0;0.05;18.6;1.8;1.3;0.7;-9999.0;-9999.0;2.9;8.3
2025-11-10;00:25;Colina;38;62.8;0.7;-9999.0;;0.4;;86.3;23.5;8.0;2.4
2025-11-10;00:25;Movil Fontibon;39;-9999.0;-9999.0;;;;;-9999.0;-9999.0;4.5;10.6
2025-11-10;01:38;Usaquen;1;-9999.0;-9999.0;-9999.0;;-9999.0;;-9999.0;-9999.0;0.1;5.2
2025-11-10;01:38;Carvajal - Sevillana;3;;0.19;;;3.1;;;;7.0;21.0
2025-11-10;01:38;Tunal;4;3.0;-9999.0;15.9;1.8;0.4;0.5;5.6;2.7;9.0;9.0
2025-11-10;01:38;Centro de Alto Rendimiento;5;3.8;0.15;0.0;14.5;1.3;0.3;3.9;0.1;3.2;3.8
2025-11-10;01:38;Las Ferias;6;7.2;0.15;16.3;;;;7.8;0.6;4.0;5.3
2025-11-10;01:38;Guaymaral;8;17.5;0.2;4.7;;0.2;;20.1;2.6;3.0;12.0
2025-11-10;01:38;Kennedy;9;12.4;0.69;15.7;4.5;-0.5;3.0;28.5;16.1;16.7;31.6
2025-11-10;01:38;Suba;11;9.6;0.27;7.5;;0.6;;10.8;1.2;2.0;10.1
2025-11-10;01:38;Puente Aranda;13;12.6;0.09;10.0;0.1;1.2;-9999.0;14.5;1.9;2.8;3.6
2025-11-10;01:38;MinAmbiente;17;0.9;0.23;18.6;;0.8;;1.7;0.7;0.0;0.0
2025-11-10;01:38;San Cristobal;24;2.5;0.15;18.6;0.1;0.8;0.2;2.8;0.3;0.0;5.0
2025-11-10;01:38;Movil 7ma;26;;-9999.0;;;;;;;1.8;6.7
