Fecha;Hora;name;stationId;NO2;NO;PM10;NOX;SO2;BBP;OZONO;PM25;CO;eBC
2025-11-11;00:24;Usaquen;1;-9999.0;-9999.0;0.0;-9999.0;-9999.0;;-9999.0;0.1;-9999.0;
2025-11-11;00:24;Carvajal - Sevillana;3;;;46.0;;3.9;;;23.0;0.66;
2025-11-11;00:24;Tunal;4;7.8;10.9;16.0;18.7;0.5;8.6;2.7;0.0;-9999.0;2.7
2025-11-11;00:24;Centro de Alto Rendimiento;5;12.7;46.9;4.0;59.6;0.7;4.9;0.0;3.8;1.11;6.3
2025-11-11;00:24;Las Ferias;6;16.9;9.8;11.4;26.7;;;2.2;28.0;0.34;
2025-11-11;00:24;Guaymaral;8;18.8;62.5;35.0;81.3;1.3;;0.7;6.0;0.47;
2025-11-11;00:24;Kennedy;9;12.4;16.1;31.6;28.5;-0.5;4.5;15.7;16.7;0.69;3.0
2025-11-11;00:24;Suba;11;14.8;30.0;20.9;44.9;0.7;;1.3;20.0;0.52;
2025-11-11;00:24;Puente Aranda;13;22.2;14.9;2.4;37.0;1.7;0.1;1.5;2.9;0.4;-9999.0
2025-11-11;00:24;MinAmbiente;17;-0.4;1.6;0.0;1.2;0.5;;14.5;5.0;0.2;
2025-11-11;00:24;San Cristobal;24;4.2;2.2;-9999.0;6.4;0.8;1.7;11.4;5.0;0.2;0.6
2025-11-11;00:24;Movil 7ma;26;;;14.8;;;;;2.1;-9999.0;
2025-11-11;00:24;Bolivia;27;17.4;60.2;43.5;77.6;;;0.4;3.9;1.32;
2025-11-11;00:24;Fontibon;30;23.1;19.2;-9999.0;42.4;-9999.0;0.8;0.6;14.0;0.52;4.6
2025-11-11;00:24;Usme;32;22.8;27.1;55.4;49.8;3.6;;0.8;3.6;0.38;
2025-11-11;00:24;Jazmin;34;21.1;14.3;21.1;35.4;1.8;;0.7;2.1;0.48;
2025-11-11;00:24;Ciudad Bolivar;37;-9999.0;-9999.0;17.0;-9999.0;2.1;1.9;12.2;2.9;0.14;1.3
2025-11-11;00:24;Colina;38;62.8;23.5;2.4;86.3;0.4;;-9999.0;8.0;0.7;
2025-11-11;00:24;Movil Fontibon;39;-9999.0;-9999.0;75.9;-9999.0;;;;17.8;-9999.0;
2025-11-11;01:36;Usaquen;1;-9999.0;-9999.0;2.9;-9999.0;-9999.0;;-9999.0;0.1;-9999.0;
2025-11-11;01:36;Carvajal - Sevillana;3;;;47.0;;2.7;;;19.0;0.31;
2025-11-11;01:36;Tunal;4;8.1;11.5;27.0;19.6;1.3;5.4;2.4;0.0;-9999.0;2.7
2025-11-11;01:36;Centro de Alto Rendimiento;5;11.6;45.3;5.2;56.9;0.7;5.2;0.0;4.3;0.94;6.4
2025-11-11;01:36;Las Ferias;6;21.7;45.0;11.7;66.7;;;0.6;6.0;0.87;
2025-11-11;01:36;Guaymaral;8;15.8;54.6;20.0;70.4;1.4;;0.6;6.0;0.4;
2025-11-11;01:36;Kennedy;9;12.4;16.1;31.6;28.5;-0.5;4.5;15.7;16.7;0.69;3.0
2025-11-11;01:36;Suba;11;12.1;24.2;32.0;36.3;0.7;;0.6;16.0;0.5;
2025-11-11;01:36;Puente Aranda;13;21.7;18.6;1.8;40.1;2.3;0.1;1.7;2.8;0.23;-9999.0
2025-11-11;01:36;MinAmbiente;17;0.9;1.2;0.0;2.2;0.5;;13.5;3.0;0.2;
2025-11-11;01:36;San Cristobal;24;2.0;0.7;-9999.0;2.6;0.8;3.2;13.8;1.0;0.12;0.4
2025-11-11;01:36;Movil 7ma;26;;;21.7;;;;;2.0;-9999.0;
2025-11-11;01:36;Bolivia;27;16.5;58.9;58.5;75.4;;;0.5;4.6;1.21;
2025-11-11;01:36;Fontibon;30;23.1;33.7;-9999.0;56.7;-9999.0;2.4;0.5;14.4;0.61;5.7
2025-11-11;01:36;Usme;32;19.4;18.8;39.8;38.3;5.4;;3.3;4.4;0.22;
2025-11-11;01:36;Jazmin;34;20.0;18.0;20.0;38.0;2.6;;1.6;2.1;0.39;
2025-11-11;01:36;Ciudad Bolivar;37;-9999.0;-9999.0;19.3;-9999.0;2.5;2.2;12.7;2.7;0.11;1.3
2025-11-11;01:36;Colina;38;62.8;23.5;2.4;86.3;0.4;;-9999.0;8.0;0.7;
2025-11-11;01:36;Movil Fontibon;39;-9999.0;-9999.0;60.5;-9999.0;;;;14.9;-9999.0;
2025-11-11;02:23;Usaquen;1;-9999.0;-9999.0;7.3;-9999.0;-9999.0;;-9999.0;1.2;-9999.0;
2025-11-11;02:23;Carvajal - Sevillana;3;;;45.0;;2.7;;;17.0;0.24;
2025-11-11;02:23;Tunal;4;7.1;8.2;27.0;15.3;2.7;1.4;1.8;0.0;-9999.0;2.9
2025-11-11;02:23;Centro de Alto Rendimiento;5;11.2;30.0;5.8;41.2;0.4;6.6;0.0;4.3;0.61;4.8
2025-11-11;02:23;Las Ferias;6;20.2;31.2;15.8;51.4;;;0.7;17.0;0.55;
2025-11-11;02:23;Guaymaral;8;12.1;38.9;19.0;51.0;1.1;;0.4;7.0;0.31;
2025-11-11;02:23;Kennedy;9;12.4;16.1;31.6;28.5;-0.5;4.5;15.7;16.7;0.69;3.0
2025-11-11;02:23;Suba;11;11.5;22.4;26.2;33.9;0.6;;0.6;11.0;0.41;
2025-11-11;02:23;Puente Aranda;13;21.7;20.3;1.4;42.0;2.6;0.1;1.2;2.8;0.25;-9999.0
2025-11-11;02:23;MinAmbiente;17;-1.8;0.5;8.0;-1.3;0.5;;16.6;1.0;0.17;
2025-11-11;02:23;San Cristobal;24;1.8;0.9;-9999.0;2.7;0.8;9.5;12.0;2.0;0.12;0.2
2025-11-11;02:23;Movil 7ma;26;;;23.5;;;;;2.0;-9999.0;
2025-11-11;02:23;Bolivia;27;14.6;32.8;73.6;47.4;;;0.3;13.0;0.95;
2025-11-11;02:23;Fontibon;30;22.4;36.6;-9999.0;59.0;-9999.0;4.4;0.6;17.1;0.55;7.2
2025-11-11;02:23;Usme;32;18.8;15.0;56.4;33.8;10.8;;2.6;6.1;0.19;
2025-11-11;02:23;Jazmin;34;20.7;17.1;19.1;37.8;2.8;;0.6;2.5;0.34;
2025-11-11;02:23;Ciudad Bolivar;37;-9999.0;-9999.0;18.3;-9999.0;2.6;2.6;4.4;3.3;0.32;3.4
2025-11-11;02:23;Colina;38;62.8;23.5;2.4;86.3;0.4;;-9999.0;8.0;0.7;
2025-11-11;02:23;Movil Fontibon;39;-9999.0;-9999.0;63.0;-9999.0;;;;19.6;-9999.0;
2025-11-11;03:32;Usaquen;1;-9999;-9999;4.8;-9999;-9999;;-9999;3.2;-9999;
2025-11-11;03:32;Carvajal - Sevillana;3;;;68;;2.7;;;21;0.51;
2025-11-11;03:32;Tunal;4;6.9;9.2;31;16.1;1.2;3.1;3.6;0;-9999;1.8
2025-11-11;03:32;Centro de Alto Rendimiento;5;10.9;37.8;10.8;48.7;0.1;8.8;0;5;0.59;6.3
2025-11-11;03:32;Las Ferias;6;18.9;41.7;19.7;60.6;;;0.4;11;0.48;
2025-11-11;03:32;Guaymaral;8;12;32.6;19;44.6;0.9;;0.4;10;0.23;
2025-11-11;03:32;Kennedy;9;12.4;16.1;31.6;28.5;-0.5;4.5;15.7;16.7;0.69;3
2025-11-11;03:32;Suba;11;10.1;22.1;34.8;32.2;0.7;;0.5;18;0.43;
2025-11-11;03:32;Puente Aranda;13;19.5;15.5;1.2;34.9;2.4;0.1;2;2.8;0.09;-9999
2025-11-11;03:32;MinAmbiente;17;1.6;3;6;4.6;0.4;;10.3;4;0.2;
2025-11-11;03:32;San Cristobal;24;2.8;2.4;-9999;5.1;0.6;1.4;10.3;0;0.09;0.2
2025-11-11;03:32;Movil 7ma;26;;;15.7;;;;;2;-9999;
2025-11-11;03:32;Bolivia;27;14.4;32.1;67.5;46.5;;;0.3;10.7;0.71;
2025-11-11;03:32;Fontibon;30;23;36.8;-9999;59.8;-9999;2.6;0.7;20.2;0.48;7.5
2025-11-11;03:32;Usme;32;16.8;11.5;39.3;28.3;2.9;;1.4;5.8;0.12;
2025-11-11;03:32;Jazmin;34;19.3;8.1;27.2;27.5;2.6;;0.6;2.9;0.21;
2025-11-11;03:32;Ciudad Bolivar;37;-9999;-9999;20.8;-9999;2.6;3.4;4.9;3.2;0.37;4
2025-11-11;03:32;Colina;38;62.8;23.5;2.4;86.3;0.4;;-9999;8;0.7;
2025-11-11;03:32;Movil Fontibon;39;-9999;-9999;61.3;-9999;;;;17.1;-9999;
