Fecha;Hora;name;stationId;PM10;SO2;OZONO;CO;NO2;PM25;eBC;NO;NOX;BBP
2025-11-12;00:24;Usaquen;1;6.2;-9999;-9999;-9999;-9999;0.1;;-9999;-9999;
2025-11-12;00:24;Carvajal - Sevillana;3;165;2.3;;2.88;;49;;;;
2025-11-12;00:24;Tunal;4;21;1.1;1.6;-9999;12.2;0;2.7;17.6;29.8;3.3
2025-11-12;00:24;Centro de Alto Rendimiento;5;40.2;4;0;1.16;20.4;24.8;10.8;50.1;70.5;10.7
2025-11-12;00:24;Las Ferias;6;22.8;;1;0.7;23.2;7;;30;53.2;
2025-11-12;00:24;Guaymaral;8;42;1.5;1.6;0.5;22.1;9;;67.6;89.7;
2025-11-12;00:24;Kennedy;9;31.6;-0.5;15.7;0.69;12.4;16.7;3;16.1;28.5;4.5
2025-11-12;00:24;Suba;11;63.4;0.7;1.5;0.46;15;18;;5.4;20.4;
2025-11-12;00:24;Puente Aranda;13;56.5;2;0.8;1.18;33;22.6;-9999;46.5;79.5;0.1
2025-11-12;00:24;MinAmbiente;17;10;0.2;3.3;0.6;12.2;9;;13.4;25.6;
2025-11-12;00:24;San Cristobal;24;11;20.5;4.1;0.33;-9999;8;1.2;-9999;-9999;4.7
2025-11-12;00:24;Movil 7ma;26;34.7;;;-9999;;12.1;;;;
2025-11-12;00:24;Bolivia;27;85;;0.5;0.89;20.4;27.2;;19.1;39.5;
2025-11-12;00:24;Fontibon;30;-9999;-9999;0.8;0.57;30.5;21;4.5;15.9;46.4;11
2025-11-12;00:24;Usme;32;22.3;1.8;5;0.25;14.2;12.8;;6.4;20.6;
2025-11-12;00:24;Jazmin;34;51.2;2.6;0.5;0.94;26.1;27.6;;32.3;58.4;
2025-11-12;00:24;Ciudad Bolivar;37;43.3;1.6;3.4;0.63;-9999;14.9;5.3;-9999;-9999;10.9
2025-11-12;00:24;Colina;38;2.4;0.4;-9999;0.7;62.8;8;;23.5;86.3;
2025-11-12;00:24;Movil Fontibon;39;64.5;;;-9999;-9999;16;;-9999;-9999;
