Fecha;Hora;name;stationId;NO;eBC;PM10;BBP;CO;SO2;OZONO;NOX;PM25;NO2
2025-11-13;00:24;Usaquen;1;-9999;;11.8;;-9999;-9999;-9999;-9999;2.3;-9999
2025-11-13;00:24;Carvajal - Sevillana;3;;;80;;0.79;1.2;;;31;
2025-11-13;00:24;Tunal;4;10.6;2.4;19;1;-9999;0.9;3.1;21;0;10.3
2025-11-13;00:24;Centro de Alto Rendimiento;5;66;11.5;15.6;5.5;1.52;1.9;0;83.7;18.8;17.7
2025-11-13;00:24;Las Ferias;6;12.3;;12.8;;0.6;;0.9;32.4;17;20
2025-11-13;00:24;Guaymaral;8;15.8;;23;;0.32;0.6;2.6;34.7;9;18.9
2025-11-13;00:24;Kennedy;9;16.1;3;31.6;4.5;0.69;-0.5;15.7;28.5;16.7;12.4
2025-11-13;00:24;Suba;11;22.3;;21.3;;0.63;0.3;0.5;44.9;18;22.7
2025-11-13;00:24;Puente Aranda;13;23.5;-9999;9.7;0.1;0.44;1.1;0.9;48.1;13.1;24.8
2025-11-13;00:24;MinAmbiente;17;8.5;;9;;0.33;0.6;7.6;16.6;4;8.1
2025-11-13;00:24;San Cristobal;24;-9999;0.7;9;0.2;0.18;0.2;5.1;-9999;7;-9999
2025-11-13;00:24;Movil 7ma;26;;;36.9;;-9999;;;;10.7;
2025-11-13;00:24;Bolivia;27;13.8;;33.2;;1.06;;0.5;36.2;21.2;22.4
2025-11-13;00:24;Fontibon;30;80.7;9.7;-9999;7.7;1.27;-9999;0.6;114.3;25;33.9
2025-11-13;00:24;Usme;32;7.5;;6.4;;0.27;6.6;7.7;23.9;5.2;16.4
2025-11-13;00:24;Jazmin;34;22.3;;15.5;;0.74;1.2;0.1;46.3;10.4;24
2025-11-13;00:24;Ciudad Bolivar;37;-9999;10.5;19.5;2.8;0.98;1;2;-9999;9.3;-9999
2025-11-13;00:24;Colina;38;23.5;;2.4;;0.7;0.4;-9999;86.3;8;62.8
2025-11-13;00:24;Movil Fontibon;39;-9999;;38.7;;-9999;;;-9999;18.3;-9999
