Fecha;Hora;name;stationId;NO;PM10;OZONO;eBC;SO2;PM25;CO;NO2;NOX;BBP
2025-11-14;00:23;Usaquen;1;-9999;1.9;-9999;;-9999;0.1;-9999;-9999;-9999;
2025-11-14;00:23;Carvajal - Sevillana;3;;67;;;0.9;23;0.8;;;
2025-11-14;00:23;Tunal;4;21.3;22;1.4;3.1;1.3;0;-9999;9.3;30.6;4.1
2025-11-14;00:23;Centro de Alto Rendimiento;5;39.8;37.4;0;8.3;1.7;25.9;1.17;13.6;53.4;7.1
2025-11-14;00:23;Las Ferias;6;61.8;26.6;0.3;;;28;1.24;22.2;84;
2025-11-14;00:23;Guaymaral;8;28.5;21;3.2;;0.9;3;0.3;13.9;42.5;
2025-11-14;00:23;Kennedy;9;16.1;31.6;15.7;3;-0.5;16.7;0.69;12.4;28.5;4.5
2025-11-14;00:23;Suba;11;1.9;11;4.2;;0.5;5;0.23;5.8;7.7;
2025-11-14;00:23;Puente Aranda;13;46.1;23.1;0.9;-9999;1.2;18.4;0.98;21.2;67.1;0.1
2025-11-14;00:23;MinAmbiente;17;11.1;9;2.3;;0.5;5;0.39;8.4;19.5;
2025-11-14;00:23;San Cristobal;24;-9999;13;2.9;0.6;0.2;4;0.27;-9999;-9999;1
2025-11-14;00:23;Movil 7ma;26;;50.2;;;;15.6;-9999;;;
2025-11-14;00:23;Bolivia;27;15;51.7;1.3;;;23.6;0.97;16.1;31.1;
2025-11-14;00:23;Fontibon;30;29.3;-9999;0.8;4.8;-9999;13;0.73;30.8;60.1;7.5
2025-11-14;00:23;Usme;32;7.3;22.5;2.7;;2.4;4.1;0.31;13.5;20.8;
2025-11-14;00:23;Jazmin;34;30.8;30.8;0.1;;0.7;17.4;0.78;19.1;49.9;
2025-11-14;00:23;Ciudad Bolivar;37;-9999;17.5;1.8;3.5;2.5;10.8;0.46;-9999;-9999;12.1
2025-11-14;00:23;Colina;38;23.5;2.4;-9999;;0.4;8;0.7;62.8;86.3;
2025-11-14;00:23;Movil Fontibon;39;-9999;43.1;;;;20.1;-9999;-9999;-9999;
