Fecha;Hora;name;stationId;SO2;NO2;NOX;NO;PM10;eBC;CO;OZONO;BBP;PM25
2025-11-18;00:24;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;20.1;;-9999.0;-9999.0;;5.2
2025-11-18;00:24;Carvajal - Sevillana;3;0.8;;;;61.0;;2.16;;;11.0
2025-11-18;00:24;Tunal;4;0.9;6.9;14.8;7.9;30.0;1.8;-9999.0;8.9;5.7;0.0
2025-11-18;00:24;Centro de Alto Rendimiento;5;0.7;10.6;11.9;1.3;17.8;1.6;0.32;0.0;8.5;5.8
2025-11-18;00:24;Las Ferias;6;;21.4;32.5;11.1;11.0;;0.38;1.8;;9.0
2025-11-18;00:24;Guaymaral;8;1.3;15.9;62.2;46.3;31.0;;0.7;1.0;;7.0
2025-11-18;00:24;Kennedy;9;1.1;13.8;15.0;1.2;19.8;1.2;0.75;8.2;12.6;17.6
2025-11-18;00:24;Suba;11;1.0;13.6;22.7;9.1;1.9;;0.39;1.1;;13.0
2025-11-18;00:24;Puente Aranda;13;1.0;18.2;21.8;3.7;3.8;-9999.0;0.28;3.3;0.1;5.7
2025-11-18;00:24;MinAmbiente;17;0.7;13.7;17.2;3.4;19.0;;0.41;5.9;;2.0
2025-11-18;00:24;San Cristobal;24;0.4;-9999.0;-9999.0;-9999.0;15.0;0.7;0.25;11.3;5.8;7.0
2025-11-18;00:24;Movil 7ma;26;;;;;18.0;;-9999.0;;;5.7
2025-11-18;00:24;Bolivia;27;;16.7;39.6;22.9;31.7;;0.94;0.4;;3.9
2025-11-18;00:24;Fontibon;30;-9999.0;13.0;13.6;0.6;-9999.0;1.1;0.19;4.2;10.5;8.0
2025-11-18;00:24;Usme;32;1.2;14.5;24.1;9.6;34.5;;0.3;10.2;;7.2
2025-11-18;00:24;Jazmin;34;0.9;15.8;17.0;1.2;19.8;;0.33;6.0;;11.7
2025-11-18;00:24;Ciudad Bolivar;37;1.6;-9999.0;-9999.0;-9999.0;24.2;1.4;0.29;10.4;10.8;13.4
2025-11-18;00:24;Colina;38;0.4;62.8;86.3;23.5;2.4;;0.7;-9999.0;;8.0
2025-11-18;00:24;Movil Fontibon;39;;-9999.0;-9999.0;-9999.0;38.0;;-9999.0;;;12.5
2025-11-18;01:35;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;6.4;;-9999.0;-9999.0;;5.8
2025-11-18;01:35;Carvajal - Sevillana;3;0.7;;;;45.0;;1.53;;;18.0
2025-11-18;01:35;Tunal;4;0.9;8.3;13.7;5.4;12.0;2.3;-9999.0;7.0;2.3;0.0
2025-11-18;01:35;Centro de Alto Rendimiento;5;0.7;12.3;14.3;2.0;12.6;2.0;0.33;0.0;11.3;4.9
2025-11-18;01:35;Las Ferias;6;;21.5;30.8;9.4;10.0;;0.47;0.7;;6.0
2025-11-18;01:35;Guaymaral;8;2.6;14.8;126.9;112.2;37.0;;1.06;0.5;;16.0
2025-11-18;01:35;Kennedy;9;1.2;18.8;22.6;3.8;14.3;1.6;0.78;4.9;14.9;12.4
2025-11-18;01:35;Suba;11;0.7;13.7;33.1;19.4;4.4;;0.5;0.8;;16.0
2025-11-18;01:35;Puente Aranda;13;1.0;17.1;21.7;4.6;4.8;-9999.0;0.2;3.5;0.1;5.1
2025-11-18;01:35;MinAmbiente;17;0.6;6.5;9.0;2.5;10.0;;0.33;3.7;;5.0
2025-11-18;01:35;San Cristobal;24;0.3;-9999.0;-9999.0;-9999.0;12.0;0.6;0.28;5.6;0.4;6.0
2025-11-18;01:35;Movil 7ma;26;;;;;16.5;;-9999.0;;;4.9
2025-11-18;01:35;Bolivia;27;;15.0;29.8;14.8;47.7;;0.8;0.4;;3.8
2025-11-18;01:35;Fontibon;30;-9999.0;19.9;31.8;11.9;-9999.0;2.5;0.35;-0.4;8.9;9.0
2025-11-18;01:35;Usme;32;1.1;22.0;43.6;21.6;32.1;;0.4;0.7;;10.8
2025-11-18;01:35;Jazmin;34;0.7;18.1;19.9;1.8;18.8;;0.3;4.3;;8.8
2025-11-18;01:35;Ciudad Bolivar;37;0.9;-9999.0;-9999.0;-9999.0;18.1;2.0;0.44;3.8;11.3;9.6
2025-11-18;01:35;Colina;38;0.4;62.8;86.3;23.5;2.4;;0.7;-9999.0;;8.0
2025-11-18;01:35;Movil Fontibon;39;;-9999.0;-9999.0;-9999.0;47.2;;-9999.0;;;9.7
2025-11-18;02:24;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;9.9;;-9999.0;-9999.0;;3.7
2025-11-18;02:24;Carvajal - Sevillana;3;0.8;;;;46.0;;1.9;;;13.0
2025-11-18;02:24;Tunal;4;1.3;9.4;28.1;18.7;16.0;3.3;-9999.0;2.8;1.6;0.0
2025-11-18;02:24;Centro de Alto Rendimiento;5;0.6;11.3;17.5;6.3;9.8;2.5;0.38;0.0;12.9;4.2
2025-11-18;02:24;Las Ferias;6;;22.2;57.1;34.9;10.5;;0.62;0.4;;4.0
2025-11-18;02:24;Guaymaral;8;2.5;11.3;106.4;95.2;31.0;;0.73;0.5;;5.0
2025-11-18;02:24;Kennedy;9;1.2;26.5;48.0;21.5;14.6;3.3;0.97;1.6;15.4;9.4
2025-11-18;02:24;Suba;11;0.7;13.0;26.6;13.6;9.0;;0.43;0.6;;11.0
2025-11-18;02:24;Puente Aranda;13;1.0;19.1;54.7;35.9;4.0;-9999.0;0.46;0.9;0.1;4.6
2025-11-18;02:24;MinAmbiente;17;0.6;5.4;9.0;3.6;18.0;;0.29;3.7;;7.0
2025-11-18;02:24;San Cristobal;24;0.2;-9999.0;-9999.0;-9999.0;9.0;0.5;0.22;4.9;1.6;8.0
2025-11-18;02:24;Movil 7ma;26;;;;;18.6;;-9999.0;;;7.4
2025-11-18;02:24;Bolivia;27;;17.2;35.5;18.3;45.3;;0.76;0.3;;4.7
2025-11-18;02:24;Fontibon;30;-9999.0;21.2;51.1;29.9;-9999.0;3.4;0.32;-0.4;12.2;14.9
2025-11-18;02:24;Usme;32;0.9;17.1;41.0;23.9;37.8;;0.35;0.4;;9.8
2025-11-18;02:24;Jazmin;34;0.6;21.9;30.5;8.7;14.3;;0.38;1.0;;7.2
2025-11-18;02:24;Ciudad Bolivar;37;0.6;-9999.0;-9999.0;-9999.0;15.5;2.9;0.59;0.7;12.2;7.4
2025-11-18;02:24;Colina;38;0.4;62.8;86.3;23.5;2.4;;0.7;-9999.0;;8.0
2025-11-18;02:24;Movil Fontibon;39;;-9999.0;-9999.0;-9999.0;46.8;;-9999.0;;;15.3
2025-11-18;03:32;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;8.8;;-9999.0;-9999.0;;1.8
2025-11-18;03:32;Carvajal - Sevillana;3;0.9;;;;73.0;;1.64;;;22.0
2025-11-18;03:32;Tunal;4;1.3;8.3;35.8;27.6;60.0;3.9;-9999.0;1.2;3.0;0.0
2025-11-18;03:32;Centro de Alto Rendimiento;5;0.6;10.2;29.0;18.7;14.5;3.8;0.53;0.0;10.9;4.3
2025-11-18;03:32;Las Ferias;6;;16.7;35.3;18.6;13.9;;0.42;0.4;;15.0
2025-11-18;03:32;Guaymaral;8;1.5;12.9;51.2;38.3;31.0;;0.49;0.6;;7.0
2025-11-18;03:32;Kennedy;9;0.9;25.8;69.8;44.0;22.5;5.6;1.14;1.0;13.9;12.6
2025-11-18;03:32;Suba;11;1.0;12.9;21.2;8.3;11.1;;0.35;0.7;;14.0
2025-11-18;03:32;Puente Aranda;13;1.1;19.2;64.8;46.3;8.5;-9999.0;0.61;1.0;0.1;4.3
2025-11-18;03:32;MinAmbiente;17;0.6;3.5;5.9;2.4;8.0;;0.21;4.3;;7.0
2025-11-18;03:32;San Cristobal;24;0.0;-9999.0;-9999.0;-9999.0;8.0;0.4;0.18;5.8;1.3;9.0
2025-11-18;03:32;Movil 7ma;26;;;;;13.5;;-9999.0;;;7.4
2025-11-18;03:32;Bolivia;27;;20.6;44.5;23.8;49.5;;0.69;0.8;;6.0
2025-11-18;03:32;Fontibon;30;-9999.0;17.7;34.5;16.9;-9999.0;2.7;0.3;-0.3;7.0;14.0
2025-11-18;03:32;Usme;32;2.0;15.2;39.6;24.5;53.2;;0.24;1.2;;10.4
2025-11-18;03:32;Jazmin;34;0.7;21.9;49.0;27.1;20.4;;0.6;0.2;;5.3
2025-11-18;03:32;Ciudad Bolivar;37;0.5;-9999.0;-9999.0;-9999.0;15.2;4.6;0.47;0.5;7.1;5.5
2025-11-18;03:32;Colina;38;0.4;62.8;86.3;23.5;2.4;;0.7;-9999.0;;8.0
2025-11-18;03:32;Movil Fontibon;39;;-9999.0;-9999.0;-9999.0;28.8;;-9999.0;;;13.9
2025-11-18;04:27;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;0.0;;-9999.0;-9999.0;;0.9
2025-11-18;04:27;Carvajal - Sevillana;3;1.4;;;;111.0;;1.54;;;42.0
2025-11-18;04:27;Tunal;4;1.2;7.4;34.3;26.9;42.0;4.2;-9999.0;1.1;3.1;0.0
2025-11-18;04:27;Centro de Alto Rendimiento;5;0.6;8.1;23.8;15.7;14.5;3.6;0.42;0.0;6.0;15.4
2025-11-18;04:27;Las Ferias;6;;15.0;22.9;7.9;10.3;;0.3;0.6;;6.0
2025-11-18;04:27;Guaymaral;8;1.3;14.0;56.5;42.6;31.0;;0.41;0.7;;17.0
2025-11-18;04:27;Kennedy;9;0.8;21.7;56.5;34.9;24.8;4.6;1.01;1.0;6.2;14.9
2025-11-18;04:27;Suba;11;0.8;12.4;21.4;9.0;8.8;;0.31;0.7;;22.0
2025-11-18;04:27;Puente Aranda;13;1.0;16.9;50.0;33.4;14.2;-9999.0;0.51;1.0;0.1;4.1
2025-11-18;04:27;MinAmbiente;17;0.6;2.9;5.5;2.6;6.0;;0.19;4.9;;6.0
2025-11-18;04:27;San Cristobal;24;-0.1;-9999.0;-9999.0;-9999.0;11.0;0.4;0.18;5.7;4.4;5.0
2025-11-18;04:27;Movil 7ma;26;;;;;30.9;;-9999.0;;;6.3
2025-11-18;04:27;Bolivia;27;;29.5;70.8;41.2;41.5;;0.69;1.4;;6.3
2025-11-18;04:27;Fontibon;30;-9999.0;16.1;27.7;11.6;-9999.0;2.9;0.26;-0.3;3.7;11.0
2025-11-18;04:27;Usme;32;1.5;15.2;42.7;27.6;40.3;;0.35;0.6;;8.8
2025-11-18;04:27;Jazmin;34;0.8;19.0;46.1;27.2;19.0;;0.5;0.1;;9.3
2025-11-18;04:27;Ciudad Bolivar;37;0.5;-9999.0;-9999.0;-9999.0;25.4;7.7;0.66;0.5;3.2;5.2
2025-11-18;04:27;Colina;38;0.4;62.8;86.3;23.5;2.4;;0.7;-9999.0;;8.0
2025-11-18;04:27;Movil Fontibon;39;;-9999.0;-9999.0;-9999.0;38.1;;-9999.0;;;10.1
2025-11-18;05:28;Usaquen;1;-9999;-9999;-9999;-9999;1.8;;-9999;-9999;;1
2025-11-18;05:28;Carvajal - Sevillana;3;2.1;;;;177;;1.35;;;68
2025-11-18;05:28;Tunal;4;1.7;8.1;59.5;51.4;54;7;-9999;1.1;4.5;0
2025-11-18;05:28;Centro de Alto Rendimiento;5;0.6;7.2;24;16.8;17.3;4.2;0.38;0;2.6;12.2
2025-11-18;05:28;Las Ferias;6;;14.4;38.1;23.7;11;;0.37;0.3;;16
2025-11-18;05:28;Guaymaral;8;2;15.4;98.3;82.9;35;;0.48;0.6;;18
2025-11-18;05:28;Kennedy;9;0.8;22.9;90.2;67.3;21.6;8.6;1.37;1.2;7.1;19
2025-11-18;05:28;Suba;11;0.9;14.2;35.8;21.6;12.8;;0.36;0.6;;18
2025-11-18;05:28;Puente Aranda;13;1.1;17.1;64.8;47.9;17.7;-9999;0.58;0.7;0.1;4
2025-11-18;05:28;MinAmbiente;17;0.6;6.9;15.8;8.8;5;;0.28;3.1;;5
2025-11-18;05:28;San Cristobal;24;0.1;-9999;-9999;-9999;17;0.8;0.28;3.8;2.2;4
2025-11-18;05:28;Movil 7ma;26;;;;;42.7;;-9999;;;5.7
2025-11-18;05:28;Bolivia;27;;24.6;55.9;31.3;41.5;;0.68;0.9;;5.3
2025-11-18;05:28;Fontibon;30;-9999;17;38.9;21.9;-9999;4.1;0.34;-0.3;3.9;12.5
2025-11-18;05:28;Usme;32;1.4;19.1;86.2;67.1;31.6;;0.53;0.9;;18.4
