Fecha;Hora;name;stationId;eBC;NO2;PM25;OZONO;BBP;NO;CO;NOX;PM10;SO2
2025-11-19;13:35;Usaquen;1;;-9999;6.3;-9999;;-9999;-9999;-9999;0;-9999
2025-11-19;13:35;Carvajal - Sevillana;3;;;17;;;;0.44;;58;1.4
2025-11-19;13:35;Tunal;4;4.8;6.1;0;10.4;4.8;20.8;-9999;26.9;24;1.2
2025-11-19;13:35;Centro de Alto Rendimiento;5;2;6;7.5;0;3.6;3.2;0.27;9.2;19.2;0.7
2025-11-19;13:35;Las Ferias;6;;6.2;8;16.1;;7.6;0.25;13.8;6.5;
2025-11-19;13:35;Guaymaral;8;;3;5;16.2;;12.5;0.21;15.5;12;0.5
2025-11-19;13:35;Kennedy;9;4.6;18;13.8;11.7;4;22.3;1.08;40.3;44.9;1.1
2025-11-19;13:35;Suba;11;;3;4;10.8;;4.5;0.22;7.5;57.6;0.7
2025-11-19;13:35;Puente Aranda;13;-9999;19.4;15.5;6;0.1;19.1;0.13;38.3;32.2;0.6
2025-11-19;13:35;MinAmbiente;17;;3.5;3;11.9;;5.1;0.28;8.7;22;-1.1
2025-11-19;13:35;San Cristobal;24;0.6;-9999;0;11.6;12.4;-9999;0.31;-9999;10;0.1
2025-11-19;13:35;Movil 7ma;26;;;16.8;;;;-9999;;37.3;
2025-11-19;13:35;Bolivia;27;;10.8;5.2;10.6;;5.7;0.55;16.5;27.9;
2025-11-19;13:35;Fontibon;30;2;9;6;15.3;2.9;8.1;0.25;17.1;-9999;-9999
2025-11-19;13:35;Usme;32;;9.3;6.1;14.4;;13.9;0.36;23.2;17.2;0.4
2025-11-19;13:35;Jazmin;34;;12.3;9.8;9.9;;10.1;0.38;22.4;28.3;0.5
2025-11-19;13:35;Ciudad Bolivar;37;1.3;12.1;5.8;17.7;9.6;16.4;0.15;28.5;24;1
2025-11-19;13:35;Colina;38;;62.8;8;-9999;;23.5;0.7;86.3;2.4;0.4
2025-11-19;13:35;Movil Fontibon;39;;-9999;9.7;;;-9999;-9999;-9999;45.8;
