Fecha;Hora;name;stationId;PM25;OZONO;PM10;eBC;BBP;NOX;CO;SO2;NO2;NO
2025-11-21;00:25;Usaquen;1;8.7;-9999.0;42.0;;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-11-21;00:25;Carvajal - Sevillana;3;83.0;;200.0;;;;1.68;1.3;;
2025-11-21;00:25;Tunal;4;0.0;1.0;75.0;5.6;4.5;53.8;-9999.0;1.7;11.7;42.2
2025-11-21;00:25;Centro de Alto Rendimiento;5;14.6;0.0;30.2;19.6;6.8;150.1;3.03;1.4;14.8;135.3
2025-11-21;00:25;Las Ferias;6;46.0;0.6;39.6;;;160.5;2.47;;29.3;131.3
2025-11-21;00:25;Guaymaral;8;19.0;0.8;50.0;;;127.2;1.1;2.6;22.7;104.4
2025-11-21;00:25;Kennedy;9;57.9;1.6;59.6;10.5;7.1;128.0;2.46;1.8;26.8;101.2
2025-11-21;00:25;Suba;11;33.0;0.6;47.2;;;78.2;1.03;0.7;19.2;59.0
2025-11-21;00:25;Puente Aranda;13;26.3;0.8;33.6;-9999.0;0.1;158.4;2.45;1.7;23.4;135.7
2025-11-21;00:25;MinAmbiente;17;7.0;4.2;12.0;;;18.2;0.37;0.3;8.7;9.5
2025-11-21;00:25;San Cristobal;24;10.0;5.1;15.0;1.1;1.4;-9999.0;0.31;0.6;-9999.0;-9999.0
2025-11-21;00:25;Movil 7ma;26;8.2;;52.5;;;;-9999.0;;;
2025-11-21;00:25;Bolivia;27;25.8;0.3;93.8;;;99.5;1.73;;21.0;78.5
2025-11-21;00:25;Fontibon;30;38.0;0.4;-9999.0;12.2;7.0;118.9;1.69;-9999.0;30.1;88.8
2025-11-21;00:25;Usme;32;28.5;0.7;75.2;;;69.1;0.73;2.0;20.5;48.6
2025-11-21;00:25;Jazmin;34;17.1;0.1;36.7;;;115.2;1.94;1.3;18.6;96.6
2025-11-21;00:25;Ciudad Bolivar;37;35.2;0.8;90.6;19.0;10.9;250.1;2.96;1.0;41.9;208.2
2025-11-21;00:25;Colina;38;8.0;-9999.0;2.4;;;86.3;0.7;0.4;62.8;23.5
2025-11-21;00:25;Movil Fontibon;39;30.9;;86.5;;;-9999.0;-9999.0;;-9999.0;-9999.0
2025-11-21;01:37;Usaquen;1;21.0;-9999.0;24.0;;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-11-21;01:37;Carvajal - Sevillana;3;118.0;;227.0;;;;1.18;1.3;;
2025-11-21;01:37;Tunal;4;0.0;1.1;53.0;3.6;5.6;34.0;-9999.0;1.3;8.8;25.2
2025-11-21;01:37;Centro de Alto Rendimiento;5;28.5;0.0;26.6;16.9;7.7;131.4;2.47;0.9;13.0;118.4
2025-11-21;01:37;Las Ferias;6;45.0;0.5;35.0;;;155.9;2.19;;25.0;130.9
2025-11-21;01:37;Guaymaral;8;17.0;0.7;36.0;;;75.2;0.83;1.8;17.6;57.6
2025-11-21;01:37;Kennedy;9;52.8;1.4;65.2;8.5;9.9;101.1;1.76;1.9;24.2;76.8
2025-11-21;01:37;Suba;11;33.0;0.7;41.8;;;57.6;0.84;0.7;14.9;42.7
2025-11-21;01:37;Puente Aranda;13;20.9;0.8;38.6;-9999.0;0.1;117.0;1.01;1.3;21.2;97.7
2025-11-21;01:37;MinAmbiente;17;4.0;2.9;9.0;;;18.5;0.42;0.3;9.1;9.4
2025-11-21;01:37;San Cristobal;24;7.0;6.1;6.0;0.5;0.5;-9999.0;0.17;0.6;-9999.0;-9999.0
2025-11-21;01:37;Movil 7ma;26;5.7;;61.8;;;;-9999.0;;;
2025-11-21;01:37;Bolivia;27;33.7;0.5;98.0;;;83.7;1.46;;20.8;62.9
2025-11-21;01:37;Fontibon;30;59.0;0.1;-9999.0;16.8;5.5;144.7;2.09;-9999.0;27.1;117.6
2025-11-21;01:37;Usme;32;32.5;0.7;38.2;;;76.1;0.38;1.0;22.7;53.3
2025-11-21;01:37;Jazmin;34;24.2;0.1;49.5;;;98.9;1.57;0.7;18.3;80.6
2025-11-21;01:37;Ciudad Bolivar;37;39.4;0.8;100.6;13.2;9.0;122.6;1.19;0.8;40.1;82.5
2025-11-21;01:37;Colina;38;8.0;-9999.0;2.4;;;86.3;0.7;0.4;62.8;23.5
2025-11-21;01:37;Movil Fontibon;39;34.1;;134.5;;;-9999.0;-9999.0;;-9999.0;-9999.0
2025-11-21;02:24;Usaquen;1;0.5;-9999;20.8;;;-9999;-9999;-9999;-9999;-9999
2025-11-21;02:24;Carvajal - Sevillana;3;89;;157;;;;1.08;1.1;;
2025-11-21;02:24;Tunal;4;0;1.4;37;2;7.3;19.8;-9999;1;7.8;12
2025-11-21;02:24;Centro de Alto Rendimiento;5;22.6;0;28.8;15.7;7.9;132.8;2.38;1;14.4;118.4
