Fecha;Hora;name;stationId;NOX;PM10;NO2;CO;PM25;NO;BBP;eBC;SO2;OZONO
2025-11-22;00:22;Usaquen;1;-9999.0;26.9;-9999.0;-9999.0;3.5;-9999.0;;;-9999.0;-9999.0
2025-11-22;00:22;Carvajal - Sevillana;3;;174.0;;4.94;85.0;;;;2.0;
2025-11-22;00:22;Tunal;4;281.0;119.0;51.8;-9999.0;0.0;229.3;4.6;30.1;5.9;1.3
2025-11-22;00:22;Centro de Alto Rendimiento;5;176.9;33.9;19.0;3.92;29.0;157.9;8.1;24.4;6.1;0.0
2025-11-22;00:22;Las Ferias;6;143.4;33.5;24.5;1.95;51.0;119.1;;;;0.4
2025-11-22;00:22;Guaymaral;8;131.4;51.0;20.0;0.94;22.0;111.4;;;2.7;0.7
2025-11-22;00:22;Kennedy;9;185.9;67.4;42.3;3.09;48.8;143.5;12.8;14.4;2.0;1.7
2025-11-22;00:22;Suba;11;76.9;25.1;21.6;0.96;24.0;55.3;;;0.9;0.7
2025-11-22;00:22;Puente Aranda;13;277.4;69.4;38.4;3.54;33.6;238.9;0.1;-9999.0;2.1;0.9
2025-11-22;00:22;MinAmbiente;17;23.0;9.0;8.2;0.49;6.0;14.8;;;0.3;3.1
2025-11-22;00:22;San Cristobal;24;-9999.0;38.0;-9999.0;1.04;14.0;-9999.0;3.2;2.5;0.8;0.1
2025-11-22;00:22;Movil 7ma;26;;53.9;;-9999.0;30.1;;;;;
2025-11-22;00:22;Bolivia;27;110.1;58.9;34.6;1.54;26.5;75.5;;;;0.4
2025-11-22;00:22;Fontibon;30;159.9;-9999.0;32.2;1.87;43.0;127.7;7.0;14.5;-9999.0;0.3
2025-11-22;00:22;Usme;32;37.2;48.4;18.8;0.53;37.6;18.4;;;1.5;1.5
2025-11-22;00:22;Jazmin;34;305.8;78.4;43.3;5.04;52.3;262.5;;;1.6;0.2
2025-11-22;00:22;Ciudad Bolivar;37;197.1;75.7;51.9;1.98;39.6;145.3;7.7;16.3;1.2;0.7
2025-11-22;00:22;Colina;38;86.3;2.4;62.8;0.7;8.0;23.5;;;0.4;-9999.0
2025-11-22;00:22;Movil Fontibon;39;-9999.0;86.6;-9999.0;-9999.0;32.9;-9999.0;;;;
2025-11-22;01:32;Usaquen;1;-9999;17.6;-9999;-9999;5.2;-9999;;;-9999;-9999
2025-11-22;01:32;Carvajal - Sevillana;3;;143;;3.64;69;;;;1.5;
2025-11-22;01:32;Tunal;4;179.9;157;38.2;-9999;0;141.7;5.9;17.2;4.3;1.2
2025-11-22;01:32;Centro de Alto Rendimiento;5;178.3;46.5;18.7;3.67;38.8;159.6;6.8;23.3;1.8;0
2025-11-22;01:32;Las Ferias;6;85.1;29.6;20.4;0.98;29;64.7;;;;0.3
2025-11-22;01:32;Guaymaral;8;97;29;20.1;0.67;16;76.9;;;2.1;2.3
2025-11-22;01:32;Kennedy;9;173.6;74.8;37.1;2.62;53.1;136.6;9.8;11.7;1.9;1.7
2025-11-22;01:32;Suba;11;67.6;33.1;20.4;0.87;22;47.2;;;0.9;0.7
2025-11-22;01:32;Puente Aranda;13;340.2;69.3;36.6;3.45;39.7;305.3;0.1;-9999;1.9;0.9
2025-11-22;01:32;MinAmbiente;17;33.7;17;13.6;0.69;3;20.1;;;0.4;1.9
2025-11-22;01:32;San Cristobal;24;-9999;26;-9999;0.57;16;-9999;1.8;2.2;0.7;0.3
2025-11-22;01:32;Movil 7ma;26;;57.1;;-9999;27.5;;;;;
2025-11-22;01:32;Bolivia;27;93;51.8;31.7;1.18;27;61.4;;;;0.3
2025-11-22;01:32;Fontibon;30;123.4;-9999;26.5;1.5;34;96.7;6.6;13.3;-9999;0.2
2025-11-22;01:32;Usme;32;19.4;26.4;14;0.22;27.5;5.4;;;1.4;6.7
2025-11-22;01:32;Jazmin;34;313.4;93.7;39.2;4.96;57.5;274.2;;;1.9;0.1
2025-11-22;01:32;Ciudad Bolivar;37;192;83.7;46.1;1.59;36.2;145.9;6.8;11;1.1;0.7
2025-11-22;01:32;Colina;38;86.3;2.4;62.8;0.7;8;23.5;;;0.4;-9999
2025-11-22;01:32;Movil Fontibon;39;-9999;84.5;-9999;-9999;37.7;-9999;;;;
