Fecha;Hora;name;stationId;PM10;NO2;CO;NO;PM25;NOX;BBP;eBC;SO2;OZONO
2025-11-23;00:23;Usaquen;1;17.9;-9999.0;-9999.0;-9999.0;9.3;-9999.0;;;-9999.0;-9999.0
2025-11-23;00:23;Carvajal - Sevillana;3;63.0;;1.65;;10.0;;;;1.0;
2025-11-23;00:23;Tunal;4;56.0;18.8;-9999.0;30.2;0.0;49.0;4.7;5.7;3.0;3.0
2025-11-23;00:23;Centro de Alto Rendimiento;5;36.6;15.5;0.5;1.1;17.6;16.6;6.3;2.9;1.6;0.0
2025-11-23;00:23;Las Ferias;6;29.1;36.9;0.59;13.8;25.0;50.7;;;;2.8
2025-11-23;00:23;Guaymaral;8;36.0;14.3;0.29;8.2;16.0;22.5;;;0.6;7.7
2025-11-23;00:23;Kennedy;9;31.6;17.4;0.94;1.1;24.6;18.5;12.6;1.4;1.6;17.3
2025-11-23;00:23;Suba;11;30.8;20.6;0.67;12.2;31.0;32.7;;;0.8;0.7
2025-11-23;00:23;Puente Aranda;13;28.2;27.8;-0.52;4.1;9.3;32.2;0.1;-9999.0;1.2;6.6
2025-11-23;00:23;MinAmbiente;17;10.0;9.0;0.45;9.6;7.0;18.7;;;0.6;5.1
2025-11-23;00:23;San Cristobal;24;11.0;-9999.0;0.23;-9999.0;8.0;-9999.0;3.3;0.8;0.9;3.4
2025-11-23;00:23;Movil 7ma;26;57.4;;-9999.0;;17.0;;;;;
2025-11-23;00:23;Bolivia;27;79.8;22.3;0.94;5.8;24.6;28.0;;;;2.8
2025-11-23;00:23;Fontibon;30;-9999.0;19.4;0.41;0.5;23.0;19.9;10.6;2.7;-9999.0;8.1
2025-11-23;00:23;Usme;32;30.2;34.1;0.82;12.5;12.6;46.7;;;1.5;0.8
2025-11-23;00:23;Jazmin;34;35.5;30.2;0.07;3.4;21.8;33.6;;;2.0;6.6
2025-11-23;00:23;Ciudad Bolivar;37;37.6;36.7;0.34;21.7;10.3;58.4;5.2;4.4;2.1;10.0
2025-11-23;00:23;Colina;38;2.4;62.8;0.7;23.5;8.0;86.3;;;0.4;-9999.0
2025-11-23;00:23;Movil Fontibon;39;59.9;-9999.0;-9999.0;-9999.0;17.6;-9999.0;;;;
2025-11-23;01:34;Usaquen;1;22.6;-9999;-9999;-9999;8.1;-9999;;;-9999;-9999
2025-11-23;01:34;Carvajal - Sevillana;3;42;;0.95;;19;;;;1.1;
2025-11-23;01:34;Tunal;4;70;13.8;-9999;10.7;0;24.6;7.1;2.3;2.7;9.9
2025-11-23;01:34;Centro de Alto Rendimiento;5;32.7;21.7;0.67;9.6;18.6;31.3;7.2;4.7;1.1;0
2025-11-23;01:34;Las Ferias;6;30.2;26;0.47;4.5;28;30.5;;;;6.8
2025-11-23;01:34;Guaymaral;8;38;17.2;0.47;30.1;17;47.3;;;0.9;3.2
2025-11-23;01:34;Kennedy;9;32.5;14.7;0.85;2.1;27.6;16.8;14.8;1.5;1.4;16.1
2025-11-23;01:34;Suba;11;47.8;16.9;0.53;6.8;21;23.8;;;0.6;1.4
2025-11-23;01:34;Puente Aranda;13;35.1;21.7;0.3;3.6;14.6;25.5;0.1;-9999;1.5;6.7
2025-11-23;01:34;MinAmbiente;17;18;11;0.52;7.4;5;18.4;;;0.6;3.8
2025-11-23;01:34;San Cristobal;24;25;-9999;0.38;-9999;7;-9999;0.9;0.8;0.9;4.1
2025-11-23;01:34;Movil 7ma;26;35.8;;-9999;;21.5;;;;;
2025-11-23;01:34;Bolivia;27;73.9;21;0.94;8.2;20.6;29.2;;;;1.4
2025-11-23;01:34;Fontibon;30;-9999;19.2;0.41;0.9;29;20.1;6;3.1;-9999;4.1
2025-11-23;01:34;Usme;32;44.9;16.5;0.34;6.1;15.4;22.7;;;2.3;10.7
2025-11-23;01:34;Jazmin;34;43.2;21.3;-0.09;2.3;15.4;23.6;;;0.9;11.8
2025-11-23;01:34;Ciudad Bolivar;37;35;28.3;0.37;12.9;14.9;41.2;7.2;2.5;1.4;10.9
2025-11-23;01:34;Colina;38;2.4;62.8;0.7;23.5;8;86.3;;;0.4;-9999
2025-11-23;01:34;Movil Fontibon;39;53.3;-9999;-9999;-9999;14.8;-9999;;;;
