Fecha;Hora;name;stationId;SO2;CO;BBP;eBC;PM25;NO2;NO;PM10;OZONO;NOX
2025-11-24;10:28;Usaquen;1;-9999;-9999;;;4.7;-9999;-9999;12.8;-9999;-9999
2025-11-24;10:28;Carvajal - Sevillana;3;1.9;1.41;;;31;;;115;;
2025-11-24;10:28;Tunal;4;1.5;-9999;2;1.7;0;5.8;10;29;11.5;15.8
2025-11-24;10:28;Centro de Alto Rendimiento;5;0.1;0.29;9.5;1.4;3.9;5;3.7;11.1;0;8.7
2025-11-24;10:28;Las Ferias;6;;0.29;;;7;9.8;10.7;18.5;13.7;20.5
2025-11-24;10:28;Guaymaral;8;0.7;0.31;;;4;-0.6;291.3;16;13.4;290.6
2025-11-24;10:28;Kennedy;9;1.7;1.13;2.9;3.9;0;17.7;24.1;4.4;10.1;41.8
2025-11-24;10:28;Suba;11;0.8;0.29;;;6;6.1;6;31.7;8.5;12.1
2025-11-24;10:28;Puente Aranda;13;1.1;0.52;0.1;-9999;16.2;26.6;29.8;45.7;6.1;56.2
2025-11-24;10:28;MinAmbiente;17;0.8;0.79;;;11;20.9;26.8;32;7.5;47.6
2025-11-24;10:28;San Cristobal;24;0.9;0.17;364.9;0.7;11;-9999;-9999;14;14.2;-9999
2025-11-24;10:28;Movil 7ma;26;;-9999;;;2.9;;;14.2;;
2025-11-24;10:28;Bolivia;27;;0.69;;;2.1;23.6;25.7;20.9;5.1;49.3
2025-11-24;10:28;Fontibon;30;-9999;2.32;1.2;3.8;985;24.1;21.6;-9999;61.2;45.7
2025-11-24;10:28;Usme;32;0.6;0.27;;;3.7;10.6;12.9;25.3;14.1;23.6
2025-11-24;10:28;Jazmin;34;0.9;0.32;;;9.9;14.2;12.8;35.9;10.2;27.1
2025-11-24;10:28;Ciudad Bolivar;37;1.3;0.11;3.9;1.2;3.5;10;13;40.4;17.2;23
2025-11-24;10:28;Colina;38;0.4;0.7;;;8;62.8;23.5;2.4;-9999;86.3
2025-11-24;10:28;Movil Fontibon;39;;-9999;;;5.9;-9999;-9999;48.7;;-9999
