Fecha;Hora;name;stationId;NO;NO2;NOX;CO;PM10;eBC;SO2;OZONO;PM25;BBP
2025-11-25;00:25;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;4.0;;-9999.0;-9999.0;4.4;
2025-11-25;00:25;Carvajal - Sevillana;3;;;;2.03;79.0;;0.8;;30.0;
2025-11-25;00:25;Tunal;4;39.9;17.5;57.4;-9999.0;104.0;8.0;2.4;1.3;0.0;5.3
2025-11-25;00:25;Centro de Alto Rendimiento;5;38.5;16.8;55.2;1.21;52.7;10.1;1.3;0.0;27.0;6.7
2025-11-25;00:25;Las Ferias;6;96.4;34.0;130.0;1.41;35.5;;;0.7;43.0;
2025-11-25;00:25;Guaymaral;8;63.3;24.4;87.7;0.8;47.0;;2.0;0.9;16.0;
2025-11-25;00:25;Kennedy;9;5.7;27.6;33.3;0.99;51.2;-9999.0;1.2;3.8;31.4;-9999.0
2025-11-25;00:25;Suba;11;19.6;19.5;39.1;0.66;39.9;;0.7;0.6;20.0;
2025-11-25;00:25;Puente Aranda;13;16.4;28.7;45.1;0.45;46.1;-9999.0;1.0;1.1;23.6;0.1
2025-11-25;00:25;MinAmbiente;17;11.8;14.7;26.5;0.6;22.0;;0.9;0.8;8.0;
2025-11-25;00:25;San Cristobal;24;-9999.0;-9999.0;-9999.0;0.25;9.0;0.9;0.9;3.4;9.0;0.8
2025-11-25;00:25;Movil 7ma;26;;;;-9999.0;72.5;;;;21.6;
2025-11-25;00:25;Bolivia;27;59.5;24.1;83.6;1.43;69.1;;;0.4;31.7;
2025-11-25;00:25;Fontibon;30;16.3;23.6;39.9;0.54;-9999.0;5.1;-9999.0;0.3;33.0;10.2
2025-11-25;00:25;Usme;32;32.9;23.3;56.2;0.9;49.4;;2.1;0.7;23.9;
2025-11-25;00:25;Jazmin;34;17.3;30.8;48.1;0.68;56.3;;0.9;0.2;31.4;
2025-11-25;00:25;Ciudad Bolivar;37;36.8;44.4;81.2;0.75;79.9;7.7;1.3;0.8;32.6;5.1
2025-11-25;00:25;Colina;38;23.5;62.8;86.3;0.7;2.4;;0.4;-9999.0;8.0;
2025-11-25;00:25;Movil Fontibon;39;-9999.0;-9999.0;-9999.0;-9999.0;93.3;;;;25.4;
2025-11-25;01:38;Usaquen;1;-9999;-9999;-9999;-9999;7.9;;-9999;-9999;6.3;
2025-11-25;01:38;Carvajal - Sevillana;3;;;;1.36;78;;0.8;;38;
2025-11-25;01:38;Tunal;4;27.2;12.4;39.6;-9999;55;4.9;1.9;1.2;0;1.8
2025-11-25;01:38;Centro de Alto Rendimiento;5;43;15.5;58.4;1.13;58;9.9;1.2;0;26.3;8
2025-11-25;01:38;Las Ferias;6;71.1;32.5;103.6;1.05;38.4;;;0.5;43;
2025-11-25;01:38;Guaymaral;8;45;19.9;64.9;0.58;39;;1.7;0.7;18;
2025-11-25;01:38;Kennedy;9;5.7;28.1;33.7;0.99;48.1;-9999;1.2;2.4;23.5;-9999
2025-11-25;01:38;Suba;11;15.7;16.7;32.4;0.58;39.9;;0.5;0.5;22;
2025-11-25;01:38;Puente Aranda;13;15.6;28.3;43.9;0.47;46.1;-9999;1.5;0.9;22.4;0.1
2025-11-25;01:38;MinAmbiente;17;7.4;13.5;20.8;0.48;12;;0.8;2.3;8;
2025-11-25;01:38;San Cristobal;24;-9999;-9999;-9999;0.26;16;0.8;0.7;2.3;6;1.6
2025-11-25;01:38;Movil 7ma;26;;;;-9999;71.7;;;;29.1;
2025-11-25;01:38;Bolivia;27;29.2;21.9;51;0.95;69.8;;;0.5;30.1;
2025-11-25;01:38;Fontibon;30;19.4;24.4;43.8;0.68;-9999;5.8;-9999;0.1;32;8.9
2025-11-25;01:38;Usme;32;36.4;21.9;58.3;0.78;39.4;;2.2;0.9;24.7;
2025-11-25;01:38;Jazmin;34;15.2;30.3;45.4;0.59;56.1;;0.9;0.2;30.5;
2025-11-25;01:38;Ciudad Bolivar;37;36.7;41.6;78.3;0.72;74.3;6.6;1.2;0.6;27.6;4.6
2025-11-25;01:38;Colina;38;23.5;62.8;86.3;0.7;2.4;;0.4;-9999;8;
2025-11-25;01:38;Movil Fontibon;39;-9999;-9999;-9999;-9999;83.4;;;;20.8;
