Fecha;Hora;name;stationId;SO2;NO2;NO;PM25;OZONO;CO;NOX;PM10;BBP;eBC
2025-11-26;00:24;Usaquen;1;-9999;-9999;-9999;0.9;-9999;-9999;-9999;5.4;;
2025-11-26;00:24;Carvajal - Sevillana;3;1.5;;;15;;0.73;;58;;
2025-11-26;00:24;Tunal;4;2.2;7.9;8.4;0;11.2;-9999;16.3;18;0;2.6
2025-11-26;00:24;Centro de Alto Rendimiento;5;0.6;12.7;4;2.9;0;0.35;16.8;4.5;7.1;2
2025-11-26;00:24;Las Ferias;6;;22.5;23.3;8;0.7;0.51;45.8;6.5;;
2025-11-26;00:24;Guaymaral;8;2.7;19.5;89.4;18;0.7;0.68;108.9;54;;
2025-11-26;00:24;Kennedy;9;1.7;30.9;61.3;13.4;2.2;1.68;92.3;16.2;-9999;-9999
2025-11-26;00:24;Suba;11;0.6;19.5;21.5;11;0.6;0.52;40.9;33.1;;
2025-11-26;00:24;Puente Aranda;13;1.4;28.3;26.7;3.8;1.8;0.4;55;5.8;0.1;-9999
2025-11-26;00:24;MinAmbiente;17;1.3;10.2;3.8;1;15.1;0.36;14;17;;
2025-11-26;00:24;San Cristobal;24;0.8;-9999;-9999;7;14.2;0.35;-9999;13;0.4;1
2025-11-26;00:24;Movil 7ma;26;;;;4.6;;-9999;;20.3;;
2025-11-26;00:24;Bolivia;27;;23.4;24.3;4.7;1;0.82;47.7;32.6;;
2025-11-26;00:24;Fontibon;30;-9999;26.8;33.8;13;0.7;0.55;60.7;-9999;10.5;4.4
2025-11-26;00:24;Usme;32;9.9;11.8;1.4;1.6;14.4;0.06;13.2;19.4;;
2025-11-26;00:24;Jazmin;34;1;20.1;5.1;2.3;6.1;0.38;25.2;16.8;;
2025-11-26;00:24;Ciudad Bolivar;37;2.1;35.6;29.7;2.7;5;0.51;65.3;14.8;9.9;2.3
2025-11-26;00:24;Colina;38;0.4;62.8;23.5;8;-9999;0.7;86.3;2.4;;
2025-11-26;00:24;Movil Fontibon;39;;-9999;-9999;6.2;;-9999;-9999;32.7;;
