Fecha;Hora;name;stationId;NOX;PM10;SO2;CO;BBP;NO2;OZONO;NO;eBC;PM25
2025-11-27;00:25;Usaquen;1;-9999.0;4.2;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;;2.3
2025-11-27;00:25;Carvajal - Sevillana;3;;66.0;1.1;0.55;;;;;;41.0
2025-11-27;00:25;Tunal;4;11.7;17.0;1.2;-9999.0;0.7;5.2;7.0;6.5;1.2;0.0
2025-11-27;00:25;Centro de Alto Rendimiento;5;12.8;10.1;1.7;0.35;3.7;11.0;0.0;1.8;1.6;2.9
2025-11-27;00:25;Las Ferias;6;13.3;9.0;;0.22;;9.6;7.4;3.7;;3.0
2025-11-27;00:25;Guaymaral;8;11.7;14.0;0.6;0.12;;7.1;8.2;4.5;;3.0
2025-11-27;00:25;Kennedy;9;31.5;21.0;2.2;0.97;4.0;16.4;4.6;15.1;2.5;11.0
2025-11-27;00:25;Suba;11;12.9;30.8;0.5;0.26;;10.0;3.3;2.9;;7.0
2025-11-27;00:25;Puente Aranda;13;18.1;11.6;1.5;0.1;0.1;13.0;5.3;5.0;-9999.0;2.3
2025-11-27;00:25;MinAmbiente;17;16.4;7.0;1.4;0.46;;8.4;6.1;8.0;;1.0
2025-11-27;00:25;San Cristobal;24;-9999.0;9.0;1.1;0.21;3.3;-9999.0;8.8;-9999.0;0.7;4.0
2025-11-27;00:25;Movil 7ma;26;;37.1;;-9999.0;;;;;;3.8
2025-11-27;00:25;Bolivia;27;26.2;27.2;;0.67;;15.2;3.0;11.0;;4.4
2025-11-27;00:25;Fontibon;30;35.5;-9999.0;-9999.0;0.38;11.3;19.6;0.8;15.9;2.8;15.0
2025-11-27;00:25;Usme;32;21.3;20.1;1.3;0.29;;14.2;5.3;7.0;;2.4
2025-11-27;00:25;Jazmin;34;18.1;14.6;1.0;0.29;;13.0;4.2;5.2;;3.2
2025-11-27;00:25;Ciudad Bolivar;37;19.1;15.5;1.6;0.02;2.0;9.5;12.5;9.6;0.7;4.0
2025-11-27;00:25;Colina;38;86.3;2.4;0.4;0.7;;62.8;-9999.0;23.5;;8.0
2025-11-27;00:25;Movil Fontibon;39;-9999.0;61.1;;-9999.0;;-9999.0;;-9999.0;;15.5
2025-11-27;01:38;Usaquen;1;-9999.0;2.7;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;;0.0
2025-11-27;01:38;Carvajal - Sevillana;3;;39.0;0.7;0.38;;;;;;25.0
2025-11-27;01:38;Tunal;4;11.6;21.0;1.3;-9999.0;2.2;6.4;5.2;5.3;1.4;0.0
2025-11-27;01:38;Centro de Alto Rendimiento;5;13.5;7.5;0.8;0.38;4.3;10.1;0.0;3.5;2.2;3.7
2025-11-27;01:38;Las Ferias;6;29.4;6.6;;0.38;;18.1;0.7;11.3;;4.0
2025-11-27;01:38;Guaymaral;8;12.8;17.0;0.7;0.14;;8.8;4.1;4.0;;2.0
2025-11-27;01:38;Kennedy;9;28.4;22.6;1.4;0.84;4.8;15.8;3.8;12.7;1.8;8.3
2025-11-27;01:38;Suba;11;4.6;25.4;0.7;0.22;;4.1;4.9;0.5;;4.0
2025-11-27;01:38;Puente Aranda;13;18.4;10.7;1.6;0.11;0.1;13.6;4.3;4.7;-9999.0;3.1
2025-11-27;01:38;MinAmbiente;17;15.6;12.0;1.4;0.42;;10.4;6.4;5.2;;1.0
2025-11-27;01:38;San Cristobal;24;-9999.0;5.0;1.1;0.13;26.2;-9999.0;7.8;-9999.0;0.6;4.0
2025-11-27;01:38;Movil 7ma;26;;19.5;;-9999.0;;;;;;3.7
2025-11-27;01:38;Bolivia;27;15.1;24.3;;0.6;;12.0;2.8;3.1;;4.6
2025-11-27;01:38;Fontibon;30;41.7;-9999.0;-9999.0;0.39;9.5;18.2;0.4;23.6;3.3;13.0
2025-11-27;01:38;Usme;32;19.0;26.2;5.5;0.22;;12.4;5.0;6.5;;2.5
2025-11-27;01:38;Jazmin;34;15.0;15.1;1.0;0.24;;12.6;4.0;2.5;;3.3
2025-11-27;01:38;Ciudad Bolivar;37;17.5;13.9;1.6;0.02;1.2;8.1;12.1;9.3;0.9;4.4
2025-11-27;01:38;Colina;38;86.3;2.4;0.4;0.7;;62.8;-9999.0;23.5;;8.0
2025-11-27;01:38;Movil Fontibon;39;-9999.0;43.8;;-9999.0;;-9999.0;;-9999.0;;12.2
2025-11-27;02:25;Usaquen;1;-9999.0;2.0;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;;0.0
2025-11-27;02:25;Carvajal - Sevillana;3;;71.0;0.8;0.26;;;;;;60.0
2025-11-27;02:25;Tunal;4;8.2;9.0;1.3;-9999.0;4.3;4.8;7.4;3.4;1.2;0.0
