Fecha;Hora;name;stationId;NO2;PM25;SO2;BBP;eBC;NO;CO;NOX;OZONO;PM10
2025-11-29;00:23;Usaquen;1;-9999;2.9;-9999;;;-9999;-9999;-9999;-9999;26.9
2025-11-29;00:23;Carvajal - Sevillana;3;;50;2.2;;;;2.89;;;139
2025-11-29;00:23;Tunal;4;9.7;0;3.8;0.4;4.8;34.8;-9999;44.5;1.2;45
2025-11-29;00:23;Centro de Alto Rendimiento;5;0;6.3;1.6;9.8;11.1;0;1.94;0;0;25.1
2025-11-29;00:23;Las Ferias;6;18.4;17;;;;81.4;1.34;99.9;0.5;13
2025-11-29;00:23;Guaymaral;8;16.5;20;3.4;;;121.1;1.18;137.6;0.9;58
2025-11-29;00:23;Kennedy;9;24.8;21.7;2.9;15.5;7.6;69;1.39;93.8;1.9;49.8
2025-11-29;00:23;Suba;11;16.8;16;0.9;;;49.7;0.75;66.6;0.5;38.2
2025-11-29;00:23;Puente Aranda;13;24.2;6.6;2.3;0.1;-9999;101.1;1.68;125.3;1;14.6
2025-11-29;00:23;MinAmbiente;17;15.1;2;1.7;;;17.2;0.78;32.3;1.4;17
2025-11-29;00:23;San Cristobal;24;-9999;6;0.7;0.2;0.7;-9999;0.27;-9999;3.9;8
2025-11-29;00:23;Movil 7ma;26;;13.5;;;;;-9999;;;36.5
2025-11-29;00:23;Bolivia;27;16;5.6;;;;18.8;0.46;34.7;0.5;29.8
2025-11-29;00:23;Fontibon;30;23.5;34;-9999;11.5;7.5;66.2;0.96;89.4;0.9;-9999
2025-11-29;00:23;Usme;32;20.9;6.6;3.5;;;37.7;0.56;58.6;0.6;30.4
2025-11-29;00:23;Jazmin;34;20.8;7.9;2.8;;;74.8;1.58;95.6;0.3;42.6
2025-11-29;00:23;Ciudad Bolivar;37;31.9;15.3;2.8;9.2;11.6;141.4;1.74;173.2;1;59.2
2025-11-29;00:23;Colina;38;62.8;8;0.4;;;23.5;0.7;86.3;-9999;2.4
2025-11-29;00:23;Movil Fontibon;39;-9999;26.4;;;;-9999;-9999;-9999;;97.9
