Fecha;Hora;name;stationId;NO2;eBC;OZONO;CO;SO2;PM10;PM25;NOX;BBP;NO
2025-11-30;00:24;Usaquen;1;-9999.0;;-9999.0;-9999.0;-9999.0;35.5;9.7;-9999.0;;-9999.0
2025-11-30;00:24;Carvajal - Sevillana;3;;;;3.31;1.7;142.0;46.0;;;
2025-11-30;00:24;Tunal;4;16.0;6.8;1.2;-9999.0;2.8;65.0;0.0;57.3;4.3;41.4
2025-11-30;00:24;Centro de Alto Rendimiento;5;16.2;5.1;0.0;0.85;1.4;23.3;12.7;38.1;6.8;21.9
2025-11-30;00:24;Las Ferias;6;24.1;;0.5;0.63;;24.6;25.0;40.6;;16.5
2025-11-30;00:24;Guaymaral;8;15.5;;0.8;0.67;1.7;42.0;19.0;62.3;;46.7
2025-11-30;00:24;Kennedy;9;25.4;5.4;2.1;1.78;3.3;31.4;23.1;74.1;12.1;48.7
2025-11-30;00:24;Suba;11;21.8;;1.2;0.65;1.5;26.9;41.0;33.9;;12.0
2025-11-30;00:24;Puente Aranda;13;24.8;-9999.0;1.2;0.3;1.5;21.4;9.6;45.4;0.1;20.9
2025-11-30;00:24;MinAmbiente;17;17.7;;0.6;1.19;1.9;29.0;8.0;51.4;;33.7
2025-11-30;00:24;San Cristobal;24;-9999.0;1.2;0.6;0.59;1.0;25.0;8.0;-9999.0;8.8;-9999.0
2025-11-30;00:24;Movil 7ma;26;;;;-9999.0;;49.7;17.6;;;
2025-11-30;00:24;Bolivia;27;19.6;;1.1;0.47;;47.4;20.7;27.5;;7.9
2025-11-30;00:24;Fontibon;30;26.0;3.3;0.8;0.48;-9999.0;-9999.0;24.0;43.1;6.5;17.1
2025-11-30;00:24;Usme;32;22.3;;0.9;1.06;1.5;56.9;25.1;70.5;;48.2
2025-11-30;00:24;Jazmin;34;28.3;;0.3;0.97;1.9;36.6;15.8;62.2;;33.9
2025-11-30;00:24;Ciudad Bolivar;37;43.7;10.5;0.8;2.44;1.5;38.9;19.9;169.2;8.7;125.4
2025-11-30;00:24;Colina;38;62.8;;-9999.0;0.7;0.4;2.4;8.0;86.3;;23.5
2025-11-30;00:24;Movil Fontibon;39;-9999.0;;;-9999.0;;52.3;12.3;-9999.0;;-9999.0
2025-11-30;01:35;Usaquen;1;-9999.0;;-9999.0;-9999.0;-9999.0;31.3;10.6;-9999.0;;-9999.0
2025-11-30;01:35;Carvajal - Sevillana;3;;;;1.82;2.2;92.0;40.0;;;
2025-11-30;01:35;Tunal;4;12.0;4.6;1.1;-9999.0;2.3;61.0;0.0;42.7;7.5;30.8
2025-11-30;01:35;Centro de Alto Rendimiento;5;14.4;5.0;0.0;0.9;1.3;28.3;10.5;43.0;8.2;28.6
2025-11-30;01:35;Las Ferias;6;23.7;;0.4;0.62;;21.2;20.0;41.1;;17.3
2025-11-30;01:35;Guaymaral;8;12.9;;0.7;0.78;2.2;38.0;16.0;83.2;;70.3
2025-11-30;01:35;Kennedy;9;27.4;3.1;1.7;1.13;3.5;43.5;25.8;58.7;12.1;31.3
2025-11-30;01:35;Suba;11;22.1;;0.6;0.74;0.9;38.1;27.0;37.7;;15.5
2025-11-30;01:35;Puente Aranda;13;27.4;-9999.0;0.9;0.7;2.3;16.7;15.5;67.5;0.1;40.5
2025-11-30;01:35;MinAmbiente;17;17.3;;0.5;1.23;1.8;26.0;14.0;48.7;;31.5
2025-11-30;01:35;San Cristobal;24;-9999.0;1.2;0.7;0.52;0.9;15.0;13.0;-9999.0;4.8;-9999.0
2025-11-30;01:35;Movil 7ma;26;;;;-9999.0;;59.1;12.9;;;
2025-11-30;01:35;Bolivia;27;20.1;;1.2;0.39;;54.2;26.3;26.0;;5.9
2025-11-30;01:35;Fontibon;30;22.7;3.5;0.7;0.51;-9999.0;-9999.0;23.0;39.2;7.1;16.5
2025-11-30;01:35;Usme;32;20.5;;0.5;0.68;2.2;53.0;32.1;52.7;;32.1
2025-11-30;01:35;Jazmin;34;26.2;;0.3;0.79;1.7;34.3;19.0;56.7;;30.5
2025-11-30;01:35;Ciudad Bolivar;37;43.3;10.0;1.0;1.55;2.8;53.4;21.8;140.1;10.8;96.8
2025-11-30;01:35;Colina;38;62.8;;-9999.0;0.7;0.4;2.4;8.0;86.3;;23.5
2025-11-30;01:35;Movil Fontibon;39;-9999.0;;;-9999.0;;41.2;10.7;-9999.0;;-9999.0
2025-11-30;02:21;Usaquen;1;-9999.0;;-9999.0;-9999.0;-9999.0;23.7;10.3;-9999.0;;-9999.0
2025-11-30;02:21;Carvajal - Sevillana;3;;;;1.31;1.7;72.0;33.0;;;
2025-11-30;02:21;Tunal;4;7.8;2.0;1.1;-9999.0;1.9;41.0;0.0;19.9;7.2;12.2
2025-11-30;02:21;Centro de Alto Rendimiento;5;14.5;5.2;0.0;1.01;1.1;32.6;21.0;50.8;11.2;36.2
2025-11-30;02:21;Las Ferias;6;25.4;;0.5;0.86;;20.5;26.0;57.9;;32.5
2025-11-30;02:21;Guaymaral;8;12.3;;0.6;0.82;2.1;42.0;9.0;80.1;;67.8
2025-11-30;02:21;Kennedy;9;23.7;3.3;1.9;1.2;2.6;44.8;22.1;62.0;13.0;38.3
2025-11-30;02:21;Suba;11;18.7;;0.5;0.78;0.8;34.6;26.0;44.3;;25.6
2025-11-30;02:21;Puente Aranda;13;26.1;-9999.0;0.9;0.94;2.2;24.4;17.3;79.3;0.1;54.1
2025-11-30;02:21;MinAmbiente;17;14.4;;1.1;0.84;1.7;24.0;11.0;30.1;;15.8
2025-11-30;02:21;San Cristobal;24;-9999.0;1.3;1.1;0.48;0.7;14.0;11.0;-9999.0;4.3;-9999.0
2025-11-30;02:21;Movil 7ma;26;;;;-9999.0;;37.5;25.4;;;
2025-11-30;02:21;Bolivia;27;19.2;;0.5;0.5;;49.8;27.9;31.1;;11.8
2025-11-30;02:21;Fontibon;30;18.6;4.2;0.7;0.54;-9999.0;-9999.0;25.0;34.5;3.1;15.9
2025-11-30;02:21;Usme;32;16.8;;0.5;0.4;2.6;47.4;22.7;40.7;;23.9
2025-11-30;02:21;Jazmin;34;22.3;;0.2;1.1;1.7;40.9;14.1;70.1;;47.8
2025-11-30;02:21;Ciudad Bolivar;37;37.3;6.3;0.8;1.33;1.9;67.5;24.9;108.5;4.6;71.2
2025-11-30;02:21;Colina;38;62.8;;-9999.0;0.7;0.4;2.4;8.0;86.3;;23.5
2025-11-30;02:21;Movil Fontibon;39;-9999.0;;;-9999.0;;49.5;8.3;-9999.0;;-9999.0
2025-11-30;03:29;Usaquen;1;-9999.0;;-9999.0;-9999.0;-9999.0;19.1;9.5;-9999.0;;-9999.0
2025-11-30;03:29;Carvajal - Sevillana;3;;;;0.96;1.4;54.0;22.0;;;
2025-11-30;03:29;Tunal;4;7.8;1.5;1.1;-9999.0;1.8;25.0;0.0;19.9;10.3;12.1
