Fecha;Hora;name;stationId;NO;PM10;PM25;eBC;NO2;CO;OZONO;NOX;SO2;BBP
2025-12-01;00:32;Usaquen;1;-9999.0;21.3;1.8;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;
2025-12-01;00:32;Carvajal - Sevillana;3;;90.0;36.0;;;1.65;;;1.8;
2025-12-01;00:32;Tunal;4;37.1;38.0;0.0;3.5;9.9;-9999.0;1.1;47.0;2.7;4.7
2025-12-01;00:32;Centro de Alto Rendimiento;5;22.4;20.2;11.6;4.3;13.5;0.89;0.0;35.9;1.1;9.8
2025-12-01;00:32;Las Ferias;6;26.8;18.3;12.0;;23.6;0.81;0.4;50.4;;
2025-12-01;00:32;Guaymaral;8;73.5;41.0;13.0;;14.6;1.04;0.7;88.2;2.2;
2025-12-01;00:32;Kennedy;9;14.2;37.3;14.7;2.7;27.3;1.03;1.9;41.6;2.9;12.3
2025-12-01;00:32;Suba;11;13.4;23.5;15.0;;16.2;0.59;0.5;29.6;1.0;
2025-12-01;00:32;Puente Aranda;13;39.2;14.3;6.4;-9999.0;27.8;0.88;1.0;66.8;2.3;0.1
2025-12-01;00:32;MinAmbiente;17;12.8;24.0;10.0;;14.6;0.87;1.7;27.4;0.6;
2025-12-01;00:32;San Cristobal;24;-9999.0;12.0;10.0;0.7;-9999.0;0.37;2.9;-9999.0;0.7;5.3
2025-12-01;00:32;Movil 7ma;26;;52.4;16.7;;;-9999.0;;;;
2025-12-01;00:32;Bolivia;27;13.9;26.1;9.6;;18.2;0.48;0.6;32.1;;
2025-12-01;00:32;Fontibon;30;27.3;-9999.0;20.0;2.7;30.5;0.82;1.0;57.8;-9999.0;18.6
2025-12-01;00:32;Usme;32;47.1;35.5;19.7;;17.8;0.63;0.6;64.9;2.2;
2025-12-01;00:32;Jazmin;34;27.4;29.7;18.9;;21.4;0.84;0.1;48.8;1.2;
2025-12-01;00:32;Ciudad Bolivar;37;39.3;51.6;27.9;5.9;39.6;0.77;1.0;78.9;1.5;7.5
2025-12-01;00:32;Colina;38;23.5;2.4;8.0;;62.8;0.7;-9999.0;86.3;0.4;
2025-12-01;00:32;Movil Fontibon;39;-9999.0;30.7;14.6;;-9999.0;-9999.0;;-9999.0;;
2025-12-01;01:40;Usaquen;1;-9999.0;19.6;7.3;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;
2025-12-01;01:40;Carvajal - Sevillana;3;;86.0;37.0;;;1.44;;;2.2;
2025-12-01;01:40;Tunal;4;27.1;48.0;0.0;3.6;9.5;-9999.0;1.0;36.5;2.7;1.7
2025-12-01;01:40;Centro de Alto Rendimiento;5;21.5;21.4;11.3;4.1;13.3;0.88;0.0;34.8;1.2;10.5
2025-12-01;01:40;Las Ferias;6;23.3;15.0;14.0;;21.9;0.74;0.5;45.1;;
2025-12-01;01:40;Guaymaral;8;27.2;30.0;13.0;;14.4;0.66;0.7;41.6;1.4;
2025-12-01;01:40;Kennedy;9;10.5;28.9;11.6;3.0;26.9;0.84;2.3;37.4;4.0;12.4
2025-12-01;01:40;Suba;11;10.0;19.0;10.0;;16.8;0.46;0.6;26.8;1.6;
2025-12-01;01:40;Puente Aranda;13;30.4;11.9;8.4;-9999.0;25.3;0.63;1.0;55.7;2.1;0.1
2025-12-01;01:40;MinAmbiente;17;13.0;21.0;15.0;;16.1;0.93;0.5;29.1;0.6;
2025-12-01;01:40;San Cristobal;24;-9999.0;25.0;8.0;0.7;-9999.0;0.24;3.1;-9999.0;0.8;2.1
2025-12-01;01:40;Movil 7ma;26;;36.8;12.5;;;-9999.0;;;;
2025-12-01;01:40;Bolivia;27;9.6;38.1;14.1;;17.1;0.36;0.8;26.7;;
