Fecha;Hora;name;stationId;PM10;NOX;SO2;NO2;NO;eBC;BBP;CO;PM25;OZONO
2025-12-02;00:24;Usaquen;1;35.5;-9999.0;-9999.0;-9999.0;-9999.0;;;-9999.0;12.3;-9999.0
2025-12-02;00:24;Carvajal - Sevillana;3;39.0;;2.1;;;;;1.15;30.0;
2025-12-02;00:24;Tunal;4;66.0;53.0;3.4;10.5;42.5;5.4;3.6;-9999.0;0.0;1.3
2025-12-02;00:24;Centro de Alto Rendimiento;5;28.6;17.6;1.1;13.8;3.8;3.0;2.1;0.47;19.1;0.0
2025-12-02;00:24;Las Ferias;6;30.3;42.5;;22.9;19.6;;;0.56;14.0;0.6
2025-12-02;00:24;Guaymaral;8;42.0;62.5;1.9;15.0;47.5;;;0.59;13.0;0.8
2025-12-02;00:24;Kennedy;9;23.1;16.1;3.3;14.2;1.8;1.4;2.5;0.51;15.1;9.9
2025-12-02;00:24;Suba;11;10.7;29.4;0.7;15.0;14.4;;;0.42;25.0;0.5
2025-12-02;00:24;Puente Aranda;13;6.8;20.3;1.3;15.2;5.1;-9999.0;0.1;0.11;6.1;4.9
2025-12-02;00:24;MinAmbiente;17;33.0;33.8;0.9;21.7;12.1;;;0.8;9.0;1.5
2025-12-02;00:24;San Cristobal;24;34.0;-9999.0;1.2;-9999.0;-9999.0;2.1;3.1;0.68;14.0;0.0
2025-12-02;00:24;Movil 7ma;26;68.8;;;;;;;-9999.0;14.4;
2025-12-02;00:24;Bolivia;27;63.3;31.8;;16.9;14.8;;;0.36;8.7;0.5
2025-12-02;00:24;Fontibon;30;-9999.0;21.6;-9999.0;16.5;5.1;3.0;0.2;0.33;11.0;4.2
2025-12-02;00:24;Usme;32;46.2;65.3;1.6;17.0;48.3;;;0.68;20.9;0.7
2025-12-02;00:24;Jazmin;34;23.9;21.3;1.2;18.5;2.8;;;0.34;8.5;5.0
2025-12-02;00:24;Ciudad Bolivar;37;45.6;44.0;2.1;25.2;18.8;2.9;4.6;0.29;16.7;7.3
2025-12-02;00:24;Colina;38;2.4;86.3;0.4;62.8;23.5;;;0.7;8.0;-9999.0
2025-12-02;00:24;Movil Fontibon;39;61.8;-9999.0;;-9999.0;-9999.0;;;-9999.0;16.8;
2025-12-02;01:38;Usaquen;1;35.5;-9999.0;-9999.0;-9999.0;-9999.0;;;-9999.0;10.3;-9999.0
2025-12-02;01:38;Carvajal - Sevillana;3;27.0;;1.5;;;;;0.93;12.0;
2025-12-02;01:38;Tunal;4;59.0;27.5;3.0;9.7;17.7;3.6;1.2;-9999.0;0.0;5.6
2025-12-02;01:38;Centro de Alto Rendimiento;5;22.8;10.1;0.7;8.4;1.7;2.0;1.2;0.35;14.0;0.0
2025-12-02;01:38;Las Ferias;6;31.1;21.5;;14.9;6.7;;;0.25;11.0;5.6
2025-12-02;01:38;Guaymaral;8;32.0;60.8;1.7;13.8;47.0;;;0.6;13.0;0.7
2025-12-02;01:38;Kennedy;9;24.0;13.4;0.8;12.0;1.5;1.1;5.5;0.43;11.7;10.2
2025-12-02;01:38;Suba;11;15.6;22.1;0.3;12.2;9.9;;;0.38;24.0;0.8
2025-12-02;01:38;Puente Aranda;13;6.8;15.8;1.1;13.0;2.8;-9999.0;0.1;0.14;5.6;5.2
2025-12-02;01:38;MinAmbiente;17;18.0;18.0;0.9;15.0;3.0;;;0.48;7.0;6.2
2025-12-02;01:38;San Cristobal;24;25.0;-9999.0;1.3;-9999.0;-9999.0;2.3;0.9;0.43;15.0;4.2
2025-12-02;01:38;Movil 7ma;26;32.1;;;;;;;-9999.0;20.8;
2025-12-02;01:38;Bolivia;27;48.9;25.2;;15.1;10.1;;;0.2;9.0;1.4
2025-12-02;01:38;Fontibon;30;-9999.0;15.3;-9999.0;12.0;3.3;1.9;2.4;0.27;14.0;4.4
2025-12-02;01:38;Usme;32;66.7;77.2;1.9;22.3;55.0;;;0.62;17.6;0.6
2025-12-02;01:38;Jazmin;34;26.2;12.0;1.0;11.4;0.6;;;0.19;10.8;9.3
2025-12-02;01:38;Ciudad Bolivar;37;40.6;41.0;1.5;24.8;16.2;2.4;4.0;0.1;11.8;6.8
2025-12-02;01:38;Colina;38;2.4;86.3;0.4;62.8;23.5;;;0.7;8.0;-9999.0
2025-12-02;01:38;Movil Fontibon;39;46.6;-9999.0;;-9999.0;-9999.0;;;-9999.0;15.8;
