Fecha;Hora;name;stationId;eBC;PM10;NO2;PM25;NOX;OZONO;NO;SO2;CO;BBP
2025-12-03;00:25;Usaquen;1;;35.5;-9999;8.4;-9999;-9999;-9999;-9999;-9999;
2025-12-03;00:25;Carvajal - Sevillana;3;;81;;35;;;;1.1;1.28;
2025-12-03;00:25;Tunal;4;3.5;36;13.4;0;32.8;1.8;19.4;2;-9999;6.2
2025-12-03;00:25;Centro de Alto Rendimiento;5;3.3;23.2;15.4;14.2;20.7;-9999;5.3;5.3;0.46;8.9
2025-12-03;00:25;Las Ferias;6;;14.8;23.1;13;33.5;1.1;10.4;;0.39;
2025-12-03;00:25;Guaymaral;8;;72;20;54;92.9;1.2;72.9;2.6;0.75;
2025-12-03;00:25;Kennedy;9;4.6;24;23.6;10.4;58.1;0;34.4;2.7;1.13;8.2
2025-12-03;00:25;Suba;11;;3.6;15.1;4;23.3;2.1;8.2;0.4;0.38;
2025-12-03;00:25;Puente Aranda;13;-9999;8.3;21.2;3.1;28.5;2;7.2;1.3;0.36;0.1
2025-12-03;00:25;MinAmbiente;17;;18;20.1;5;37.2;1.3;17.1;0.9;0.78;
2025-12-03;00:25;San Cristobal;24;1.4;19;-9999;8;-9999;2.7;-9999;0.7;0.52;2.8
2025-12-03;00:25;Movil 7ma;26;;41.1;;10.3;;;;;-9999;
2025-12-03;00:25;Bolivia;27;;32.9;15;9.5;23.4;1.1;8.4;;0.25;
2025-12-03;00:25;Fontibon;30;2.7;-9999;16.8;9;19.7;1.9;2.9;-9999;0.34;8.1
2025-12-03;00:25;Usme;32;;29.4;25.8;5.6;34.2;2.1;8.4;0.8;0.43;
2025-12-03;00:25;Jazmin;34;;19.3;19.2;7.8;22.6;3.4;3.3;1;0.44;
2025-12-03;00:25;Ciudad Bolivar;37;2;31.6;25;10.7;45.9;4.9;20.9;0.9;0.27;4.2
2025-12-03;00:25;Colina;38;;2.4;62.8;8;86.3;-9999;23.5;0.4;0.7;
2025-12-03;00:25;Movil Fontibon;39;;53;-9999;12.5;-9999;;-9999;;-9999;
