Fecha;Hora;name;stationId;SO2;PM25;NO2;eBC;BBP;NOX;CO;OZONO;NO;PM10
2025-12-04;00:25;Usaquen;1;-9999;6.1;-9999;;;-9999;-9999;-9999;-9999;35.4
2025-12-04;00:25;Carvajal - Sevillana;3;1.1;11;;;;;1.41;;;38
2025-12-04;00:25;Tunal;4;1.6;0;11.8;3.6;3;33.2;-9999;2.2;21.4;36
2025-12-04;00:25;Centro de Alto Rendimiento;5;1.5;6.2;14.6;6;3;37.8;0.39;-9999;23.3;14.7
2025-12-04;00:25;Las Ferias;6;;15;23.4;;;64;0.8;0.6;40.6;15
2025-12-04;00:25;Guaymaral;8;0.9;10;13.8;;;23.1;0.4;0.7;9.3;19
2025-12-04;00:25;Kennedy;9;0.8;11.4;11;0.9;7.4;12.6;0.44;7.6;1.6;27.1
2025-12-04;00:25;Suba;11;0.6;10;9.3;;;13.2;0.26;1.7;3.9;2.5
2025-12-04;00:25;Puente Aranda;13;1.5;2.3;21.4;-9999;0.1;36;0.45;1.2;14.6;8.8
2025-12-04;00:25;MinAmbiente;17;0.9;7;16.6;;;37.5;0.93;0.8;20.9;29
2025-12-04;00:25;San Cristobal;24;0.8;12;-9999;2.5;2.6;-9999;0.81;0;-9999;32
2025-12-04;00:25;Movil 7ma;26;;12.2;;;;;-9999;;;32
2025-12-04;00:25;Bolivia;27;;7.9;16.3;;;36.5;0.44;0.3;20.2;45.3
2025-12-04;00:25;Fontibon;30;-9999;10;18.2;3.3;4;27.7;0.39;1.3;9.5;-9999
2025-12-04;00:25;Usme;32;3;31.5;26.2;;;47.1;0.68;0.6;21;70
2025-12-04;00:25;Jazmin;34;0.6;5.2;22.6;;;31.6;0.5;1.2;9.1;26.9
2025-12-04;00:25;Ciudad Bolivar;37;1.6;12;24.4;2.3;2.6;47.3;0.56;6.5;22.9;47.4
2025-12-04;00:25;Colina;38;0.4;8;62.8;;;86.3;0.7;-9999;23.5;2.4
2025-12-04;00:25;Movil Fontibon;39;;72.1;-9999;;;-9999;-9999;;-9999;79.4
