Fecha;Hora;name;stationId;NO2;PM10;BBP;CO;NOX;PM25;NO;eBC;SO2;OZONO
2025-12-05;01:38;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;9.8;-9999.0;;-9999.0;-9999.0
2025-12-05;01:38;Carvajal - Sevillana;3;;83.0;;1.34;;39.0;;;1.7;
2025-12-05;01:38;Tunal;4;14.7;69.0;3.2;-9999.0;55.0;0.0;40.3;8.3;3.9;1.3
2025-12-05;01:38;Centro de Alto Rendimiento;5;18.0;37.6;7.8;0.79;55.0;15.8;37.0;8.2;1.0;-9999.0
2025-12-05;01:38;Las Ferias;6;20.5;18.8;;0.83;61.4;15.0;40.8;;;0.3
2025-12-05;01:38;Guaymaral;8;16.9;34.0;;0.52;41.5;15.0;24.6;;1.6;0.7
2025-12-05;01:38;Kennedy;9;22.7;44.9;9.1;0.69;37.9;28.0;15.2;3.0;3.0;0.0
2025-12-05;01:38;Suba;11;16.0;50.7;;0.46;31.9;985.0;15.9;;1.3;0.5
2025-12-05;01:38;Puente Aranda;13;42.9;49.8;0.1;0.48;171.3;19.4;129.1;-9999.0;3.6;1.1
2025-12-05;01:38;MinAmbiente;17;14.6;18.0;;0.91;36.4;11.0;21.8;;1.0;0.4
2025-12-05;01:38;San Cristobal;24;-9999.0;19.0;2.4;0.33;-9999.0;14.0;-9999.0;0.9;0.4;2.8
2025-12-05;01:38;Movil 7ma;26;;39.8;;-9999.0;;19.2;;;;
2025-12-05;01:38;Bolivia;27;18.8;53.0;;0.37;38.9;20.3;20.1;;;0.5
2025-12-05;01:38;Fontibon;30;21.7;-9999.0;12.4;0.69;44.0;25.0;22.4;4.3;-9999.0;1.0
2025-12-05;01:38;Usme;32;20.1;56.0;;0.32;30.4;24.5;10.2;;2.0;4.8
2025-12-05;01:38;Jazmin;34;24.1;55.8;;0.65;50.7;16.6;26.6;;2.6;0.3
2025-12-05;01:38;Ciudad Bolivar;37;32.3;97.0;7.5;0.48;76.7;37.5;44.4;8.4;2.3;0.7
2025-12-05;01:38;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;01:38;Movil Fontibon;39;-9999.0;69.4;;-9999.0;-9999.0;30.5;-9999.0;;;
2025-12-05;02:25;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;11.7;-9999.0;;-9999.0;-9999.0
2025-12-05;02:25;Carvajal - Sevillana;3;;68.0;;1.21;;34.0;;;1.5;
2025-12-05;02:25;Tunal;4;13.7;89.0;4.5;-9999.0;42.5;0.0;28.9;8.4;4.8;1.5
2025-12-05;02:25;Centro de Alto Rendimiento;5;15.7;35.9;5.1;0.43;30.1;18.7;14.5;5.6;1.1;-9999.0
2025-12-05;02:25;Las Ferias;6;19.1;21.6;;0.5;43.1;15.0;24.0;;;1.2
2025-12-05;02:25;Guaymaral;8;15.6;33.0;;0.42;35.7;13.0;20.1;;1.9;0.8
2025-12-05;02:25;Kennedy;9;16.2;43.2;5.2;0.5;19.7;27.2;3.5;1.8;1.6;2.2
2025-12-05;02:25;Suba;11;12.2;46.1;;0.34;19.0;985.0;6.8;;1.1;0.8
2025-12-05;02:25;Puente Aranda;13;32.1;55.1;0.1;0.29;130.4;24.0;99.5;-9999.0;3.4;1.4
2025-12-05;02:25;MinAmbiente;17;20.9;57.0;;0.93;51.5;22.0;30.6;;1.6;0.5
2025-12-05;02:25;San Cristobal;24;-9999.0;35.0;3.0;0.41;-9999.0;13.0;-9999.0;1.7;0.8;0.5
2025-12-05;02:25;Movil 7ma;26;;67.3;;-9999.0;;18.3;;;;
2025-12-05;02:25;Bolivia;27;15.5;67.3;;0.22;25.6;18.9;10.0;;;0.6
2025-12-05;02:25;Fontibon;30;13.6;-9999.0;5.2;0.26;18.7;11.0;5.1;2.6;-9999.0;1.5
2025-12-05;02:25;Usme;32;18.2;48.5;;0.09;21.9;18.0;3.7;;1.4;6.5
2025-12-05;02:25;Jazmin;34;22.1;53.2;;0.39;35.4;18.1;13.3;;2.4;0.3
2025-12-05;02:25;Ciudad Bolivar;37;25.2;88.8;8.3;0.16;43.2;37.7;17.9;4.2;2.9;2.9
2025-12-05;02:25;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;02:25;Movil Fontibon;39;-9999.0;60.9;;-9999.0;-9999.0;40.2;-9999.0;;;
2025-12-05;03:33;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;14.3;-9999.0;;-9999.0;-9999.0
2025-12-05;03:33;Carvajal - Sevillana;3;;46.0;;0.97;;38.0;;;1.2;
2025-12-05;03:33;Tunal;4;9.5;82.0;4.3;-9999.0;19.1;0.0;9.5;4.0;1.6;3.4
2025-12-05;03:33;Centro de Alto Rendimiento;5;13.5;37.9;6.7;0.32;21.9;13.6;8.4;3.8;0.8;-9999.0
2025-12-05;03:33;Las Ferias;6;19.7;19.5;;0.46;37.0;14.0;17.2;;;0.4
2025-12-05;03:33;Guaymaral;8;7.8;23.0;;0.19;4.2;7.0;-3.5;;1.0;5.6
2025-12-05;03:33;Kennedy;9;19.8;36.0;7.1;0.57;25.6;30.3;5.8;2.3;1.1;0.6
2025-12-05;03:33;Suba;11;9.1;38.2;;0.3;9.8;985.0;0.7;;0.5;2.2
2025-12-05;03:33;Puente Aranda;13;27.0;51.4;0.1;0.21;75.7;24.7;58.2;-9999.0;2.4;1.0
2025-12-05;03:33;MinAmbiente;17;20.5;37.0;;0.71;34.3;13.0;13.8;;1.3;0.5
2025-12-05;03:33;San Cristobal;24;-9999.0;30.0;4.1;0.4;-9999.0;10.0;-9999.0;1.5;0.6;0.4
2025-12-05;03:33;Movil 7ma;26;;77.1;;-9999.0;;18.4;;;;
2025-12-05;03:33;Bolivia;27;14.4;52.0;;0.13;19.3;15.1;4.9;;;1.4
2025-12-05;03:33;Fontibon;30;12.4;-9999.0;0.6;0.24;14.7;11.0;2.3;2.4;-9999.0;1.5
2025-12-05;03:33;Usme;32;13.7;26.4;;0.07;16.2;15.9;2.5;;1.8;7.4
2025-12-05;03:33;Jazmin;34;21.8;41.6;;0.34;30.0;22.2;8.1;;2.4;0.4
2025-12-05;03:33;Ciudad Bolivar;37;13.5;74.3;9.3;0.06;27.1;27.6;13.6;3.0;1.5;8.1
2025-12-05;03:33;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;03:33;Movil Fontibon;39;-9999.0;45.2;;-9999.0;-9999.0;52.1;-9999.0;;;
2025-12-05;04:27;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;14.3;-9999.0;;-9999.0;-9999.0
2025-12-05;04:27;Carvajal - Sevillana;3;;38.0;;1.14;;24.0;;;0.9;
2025-12-05;04:27;Tunal;4;8.9;30.0;1.9;-9999.0;18.3;0.0;9.3;2.3;0.4;3.7
2025-12-05;04:27;Centro de Alto Rendimiento;5;14.3;39.4;8.7;0.28;21.0;27.9;6.7;3.6;0.6;-9999.0
2025-12-05;04:27;Las Ferias;6;16.9;25.9;;0.28;21.9;25.0;5.0;;;2.2
2025-12-05;04:27;Guaymaral;8;11.1;26.0;;0.22;15.5;8.0;4.4;;1.1;3.5
2025-12-05;04:27;Kennedy;9;18.2;25.9;10.7;0.52;24.5;22.4;6.2;1.8;0.9;0.4
2025-12-05;04:27;Suba;11;8.2;34.3;;0.28;9.0;985.0;0.8;;0.4;3.2
2025-12-05;04:27;Puente Aranda;13;19.4;47.1;0.1;0.09;41.7;18.2;22.4;-9999.0;2.0;1.1
2025-12-05;04:27;MinAmbiente;17;18.2;31.0;;0.7;34.6;23.0;16.4;;1.1;0.4
2025-12-05;04:27;San Cristobal;24;-9999.0;25.0;2.5;0.25;-9999.0;10.0;-9999.0;1.6;0.5;1.4
2025-12-05;04:27;Movil 7ma;26;;58.6;;-9999.0;;16.8;;;;
2025-12-05;04:27;Bolivia;27;15.3;41.3;;0.14;19.7;19.0;4.4;;;1.6
2025-12-05;04:27;Fontibon;30;13.3;-9999.0;5.2;0.43;16.7;7.0;3.4;2.7;-9999.0;1.3
2025-12-05;04:27;Usme;32;19.3;24.4;;0.14;35.5;11.5;16.2;;3.8;1.5
2025-12-05;04:27;Jazmin;34;21.4;47.9;;0.28;27.4;19.1;6.0;;1.6;0.9
2025-12-05;04:27;Ciudad Bolivar;37;22.1;58.4;12.8;0.15;40.0;26.3;18.0;3.2;1.2;3.8
