Fecha;Hora;name;stationId;SO2;NOX;OZONO;PM10;BBP;PM25;eBC;NO2;CO;NO
2025-12-13;00:25;Usaquen;1;-9999.0;-9999.0;-9999.0;35.3;;0.9;;-9999.0;-9999.0;-9999.0
2025-12-13;00:25;Carvajal - Sevillana;3;2.3;;;58.0;;35.0;;;1.55;
2025-12-13;00:25;Tunal;4;2.1;40.8;1.1;46.0;2.8;0.0;3.7;8.6;-9999.0;32.2
2025-12-13;00:25;Centro de Alto Rendimiento;5;6.3;72.8;-9999.0;20.3;7.3;10.5;9.0;12.3;1.33;60.5
2025-12-13;00:25;Las Ferias;6;;37.3;0.6;1.3;;12.0;;17.7;0.67;19.7
2025-12-13;00:25;Guaymaral;8;1.9;61.0;0.2;70.0;;10.0;;15.9;0.63;45.1
2025-12-13;00:25;Kennedy;9;1.7;81.3;0.1;34.7;10.3;8.0;6.3;22.7;1.42;58.6
2025-12-13;00:25;Suba;11;0.5;45.4;0.6;67.5;;11.0;;15.7;0.57;29.6
2025-12-13;00:25;Puente Aranda;13;1.6;92.1;1.0;13.0;0.1;13.4;-9999.0;21.2;1.16;70.9
2025-12-13;00:25;MinAmbiente;17;0.8;16.5;7.8;8.0;;1.0;;7.8;0.48;8.7
2025-12-13;00:25;San Cristobal;24;0.4;-9999.0;4.6;10.0;1.6;3.0;0.5;-9999.0;0.35;-9999.0
2025-12-13;00:25;Movil 7ma;26;;;;22.7;;12.1;;;-9999.0;
2025-12-13;00:25;Bolivia;27;;-1.1;0.4;30.9;;5.4;;-0.5;0.62;-0.7
2025-12-13;00:25;Fontibon;30;-9999.0;91.9;2.0;-9999.0;7.9;14.0;6.0;23.6;1.22;68.3
2025-12-13;00:25;Usme;32;5.2;52.2;2.8;35.1;;6.0;;20.1;0.59;32.1
2025-12-13;00:25;Jazmin;34;0.5;82.7;0.2;23.0;;7.0;;23.4;1.14;59.4
2025-12-13;00:25;Ciudad Bolivar;37;1.5;67.4;4.8;25.7;8.6;5.2;3.3;24.3;0.8;43.1
2025-12-13;00:25;Colina;38;0.4;86.3;-9999.0;2.4;;8.0;;62.8;0.7;23.5
2025-12-13;00:25;Movil Fontibon;39;;-9999.0;;70.6;;15.8;;-9999.0;-9999.0;-9999.0
2025-12-13;01:36;Usaquen;1;-9999.0;-9999.0;-9999.0;35.3;;0.5;;-9999.0;-9999.0;-9999.0
2025-12-13;01:36;Carvajal - Sevillana;3;1.9;;;82.0;;41.0;;;1.48;
2025-12-13;01:36;Tunal;4;1.9;32.5;1.1;51.0;4.0;0.0;3.4;7.7;-9999.0;24.9
2025-12-13;01:36;Centro de Alto Rendimiento;5;1.6;61.1;-9999.0;25.8;4.3;8.4;5.1;12.3;1.01;48.8
2025-12-13;01:36;Las Ferias;6;;68.7;0.2;1.1;;8.0;;17.8;0.9;50.9
2025-12-13;01:36;Guaymaral;8;1.9;68.3;0.1;31.0;;17.0;;15.2;0.6;53.2
2025-12-13;01:36;Kennedy;9;1.6;81.2;0.1;25.2;4.4;17.2;6.5;24.1;1.28;57.1
2025-12-13;01:36;Suba;11;0.8;43.1;0.5;54.8;;15.0;;16.4;0.53;26.8
2025-12-13;01:36;Puente Aranda;13;1.6;87.8;0.9;11.9;0.1;15.9;-9999.0;20.4;0.86;67.8
2025-12-13;01:36;MinAmbiente;17;0.6;10.8;8.6;6.0;;0.0;;5.1;0.31;5.7
2025-12-13;01:36;San Cristobal;24;0.4;-9999.0;5.5;7.0;0.5;2.0;0.4;-9999.0;0.24;-9999.0
2025-12-13;01:36;Movil 7ma;26;;;;25.8;;9.4;;;-9999.0;
2025-12-13;01:36;Bolivia;27;;-0.2;0.4;40.2;;6.6;;-0.4;0.55;0.3
2025-12-13;01:36;Fontibon;30;-9999.0;66.1;1.8;-9999.0;7.2;21.0;5.3;24.3;0.84;41.9
2025-12-13;01:36;Usme;32;11.4;18.8;4.9;58.7;;6.0;;11.7;0.12;7.0
2025-12-13;01:36;Jazmin;34;1.0;78.5;0.1;28.5;;6.0;;22.6;0.94;55.9
2025-12-13;01:36;Ciudad Bolivar;37;1.2;27.3;8.0;31.4;2.0;5.6;2.0;15.1;0.31;12.2
2025-12-13;01:36;Colina;38;0.4;86.3;-9999.0;2.4;;8.0;;62.8;0.7;23.5
2025-12-13;01:36;Movil Fontibon;39;;-9999.0;;76.3;;20.1;;-9999.0;-9999.0;-9999.0
2025-12-13;02:26;Usaquen;1;-9999.0;-9999.0;-9999.0;35.2;;4.6;;-9999.0;-9999.0;-9999.0
2025-12-13;02:26;Carvajal - Sevillana;3;1.8;;;55.0;;19.0;;;0.9;
2025-12-13;02:26;Tunal;4;1.9;20.8;1.4;39.0;4.3;0.0;2.3;7.0;-9999.0;13.7
2025-12-13;02:26;Centro de Alto Rendimiento;5;1.3;60.5;-9999.0;28.8;7.1;12.1;6.4;10.8;0.97;49.7
2025-12-13;02:26;Las Ferias;6;;63.3;0.2;1.1;;11.0;;17.9;0.66;45.5
2025-12-13;02:26;Guaymaral;8;2.5;96.6;0.1;35.0;;11.0;;12.9;0.7;83.7
2025-12-13;02:26;Kennedy;9;1.3;115.8;0.1;27.7;8.7;19.4;7.7;27.6;1.48;88.2
2025-12-13;02:26;Suba;11;0.9;46.3;0.6;59.5;;17.0;;15.8;0.57;30.5
2025-12-13;02:26;Puente Aranda;13;1.6;95.2;0.9;21.5;0.1;11.6;-9999.0;19.8;0.84;75.4
2025-12-13;02:26;MinAmbiente;17;0.5;16.0;5.4;6.0;;2.0;;6.6;0.39;9.4
2025-12-13;02:26;San Cristobal;24;0.3;-9999.0;9.3;4.0;4.2;1.0;0.3;-9999.0;0.17;-9999.0
2025-12-13;02:26;Movil 7ma;26;;;;19.2;;7.2;;;-9999.0;
2025-12-13;02:26;Bolivia;27;;-0.1;0.4;39.0;;10.1;;-0.4;0.48;0.2
2025-12-13;02:26;Fontibon;30;-9999.0;48.2;1.8;-9999.0;7.1;17.0;4.4;19.4;0.67;28.7
2025-12-13;02:26;Usme;32;4.6;18.2;4.7;45.6;;5.9;;9.9;0.09;8.3
2025-12-13;02:26;Jazmin;34;1.3;110.9;0.1;27.3;;7.4;;22.2;1.37;88.7
2025-12-13;02:26;Ciudad Bolivar;37;1.8;122.9;2.3;28.4;3.5;7.7;10.1;27.0;1.11;95.9
2025-12-13;02:26;Colina;38;0.4;86.3;-9999.0;2.4;;8.0;;62.8;0.7;23.5
2025-12-13;02:26;Movil Fontibon;39;;-9999.0;;72.3;;20.8;;-9999.0;-9999.0;-9999.0
2025-12-13;15:26;Usaquen;1;-9999;-9999;-9999;35.4;;6.3;;-9999;-9999;-9999
2025-12-13;15:26;Carvajal - Sevillana;3;2.4;;;70;;20;;;0.73;
2025-12-13;15:26;Tunal;4;0.7;3.1;16;12;8.4;0;0.6;1.3;-9999;1.8
2025-12-13;15:26;Centro de Alto Rendimiento;5;2;6.5;-9999;22.7;2.7;12.1;0.9;4.2;0.19;2.4
2025-12-13;15:26;Las Ferias;6;;9.8;17.8;2.4;;5;;4.3;0.23;5.5
2025-12-13;15:26;Guaymaral;8;0.9;11.2;14.6;16;;1;;5.6;0.19;5.6
2025-12-13;15:26;Kennedy;9;0.9;31.5;13.6;37.4;4.5;12.2;2.4;14.3;0.76;17.2
2025-12-13;15:26;Suba;11;0.7;5.6;10.5;27;;1;;2.8;0.27;2.7
2025-12-13;15:26;Puente Aranda;13;2.1;33;6.8;33.6;0.1;15.4;-9999;16.5;0.25;16.6
2025-12-13;15:26;MinAmbiente;17;0.7;6;18.6;15;;3;;3;0.25;3
2025-12-13;15:26;San Cristobal;24;0.7;-9999;14.6;30;9.4;2;0.5;-9999;0.31;-9999
2025-12-13;15:26;Movil 7ma;26;;;;20.7;;9;;;-9999;
2025-12-13;15:26;Bolivia;27;;0;10.6;19.5;;8.3;;-0.4;0.21;0.4
2025-12-13;15:26;Fontibon;30;-9999;12.7;17;-9999;6.4;7;0.9;7.9;0.42;4.8
2025-12-13;15:26;Usme;32;1.8;8.2;18.9;20;;4.2;;3.7;0.12;4.6
2025-12-13;15:26;Jazmin;34;1;11.3;14.5;20;;16.3;;8;0.21;3.3
2025-12-13;15:26;Ciudad Bolivar;37;0.8;17.7;20;43.9;17.2;16.4;0.7;6.4;0.19;11.3
2025-12-13;15:26;Colina;38;0.4;86.3;-9999;2.4;;8;;62.8;0.7;23.5
2025-12-13;15:26;Movil Fontibon;39;;-9999;;77.2;;16.2;;-9999;-9999;-9999
