Fecha;Hora;name;stationId;NOX;PM25;eBC;NO;NO2;PM10;CO;BBP;OZONO;SO2
2025-12-14;00:24;Usaquen;1;-9999.0;6.1;;-9999.0;-9999.0;35.3;-9999.0;;-9999.0;-9999.0
2025-12-14;00:24;Carvajal - Sevillana;3;;25.0;;;;77.0;1.76;;;2.4
2025-12-14;00:24;Tunal;4;28.4;0.0;2.4;21.3;7.1;38.0;-9999.0;5.0;1.1;1.6
2025-12-14;00:24;Centro de Alto Rendimiento;5;112.7;7.1;11.1;99.6;13.1;25.8;2.08;10.2;-9999.0;2.6
2025-12-14;00:24;Las Ferias;6;78.1;14.0;;59.4;18.8;1.8;1.11;;0.4;
2025-12-14;00:24;Guaymaral;8;103.2;16.0;;87.3;15.9;61.0;1.1;;0.3;3.0
2025-12-14;00:24;Kennedy;9;116.1;18.7;8.3;94.0;22.1;41.5;1.82;11.4;0.2;4.8
2025-12-14;00:24;Suba;11;46.8;20.0;;29.7;17.1;80.2;0.7;;0.5;1.5
2025-12-14;00:24;Puente Aranda;13;68.1;8.2;-9999.0;48.1;20.4;4.1;0.76;0.1;0.9;3.0
2025-12-14;00:24;MinAmbiente;17;23.5;4.0;;13.7;9.8;11.0;0.58;;4.7;0.7
2025-12-14;00:24;San Cristobal;24;-9999.0;5.0;0.6;-9999.0;-9999.0;12.0;0.3;3.7;7.4;0.4
2025-12-14;00:24;Movil 7ma;26;;8.2;;;;48.2;-9999.0;;;
2025-12-14;00:24;Bolivia;27;-0.1;7.1;;0.3;-0.4;51.5;0.69;;0.6;
2025-12-14;00:24;Fontibon;30;65.8;19.0;4.0;43.8;22.0;-9999.0;0.95;11.0;1.9;-9999.0
2025-12-14;00:24;Usme;32;41.0;4.7;;26.5;14.5;19.7;0.62;;1.5;9.3
2025-12-14;00:24;Jazmin;34;97.0;7.4;;73.3;23.7;38.9;1.28;;0.1;1.8
2025-12-14;00:24;Ciudad Bolivar;37;254.6;21.9;18.6;219.8;34.8;87.4;3.55;6.7;0.9;2.0
2025-12-14;00:24;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;00:24;Movil Fontibon;39;-9999.0;25.5;;-9999.0;-9999.0;95.2;-9999.0;;;
2025-12-14;01:36;Usaquen;1;-9999.0;6.2;;-9999.0;-9999.0;35.3;-9999.0;;-9999.0;-9999.0
2025-12-14;01:36;Carvajal - Sevillana;3;;27.0;;;;76.0;1.47;;;2.1
2025-12-14;01:36;Tunal;4;27.5;0.0;2.3;21.1;6.4;53.0;-9999.0;3.1;1.3;1.1
2025-12-14;01:36;Centro de Alto Rendimiento;5;98.9;11.0;10.9;86.7;12.3;43.0;1.68;6.3;-9999.0;1.6
2025-12-14;01:36;Las Ferias;6;80.3;19.0;;61.7;18.7;1.7;1.17;;0.2;
2025-12-14;01:36;Guaymaral;8;189.4;27.0;;170.8;18.6;55.0;1.65;;0.3;4.9
2025-12-14;01:36;Kennedy;9;104.3;13.5;6.2;83.8;20.5;29.4;1.57;5.1;0.2;3.3
