Fecha;Hora;name;stationId;NO;eBC;BBP;CO;PM25;PM10;OZONO;SO2;NO2;NOX
2025-12-15;00:30;Usaquen;1;-9999.0;;;-9999.0;11.4;35.3;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-15;00:30;Carvajal - Sevillana;3;;;;1.72;61.0;111.0;;2.6;;
2025-12-15;00:30;Tunal;4;11.0;1.5;11.2;-9999.0;0.0;27.0;2.1;0.7;6.8;17.8
2025-12-15;00:30;Centro de Alto Rendimiento;5;42.4;6.8;8.8;1.15;10.2;25.2;-9999.0;2.2;15.0;57.4
2025-12-15;00:30;Las Ferias;6;19.2;;;0.77;21.0;1.3;0.6;;22.6;41.8
2025-12-15;00:30;Guaymaral;8;57.2;;;0.8;9.0;50.0;0.3;2.3;14.3;71.5
2025-12-15;00:30;Kennedy;9;43.7;4.7;13.5;1.29;19.0;29.5;0.4;2.2;21.1;64.8
2025-12-15;00:30;Suba;11;31.3;;;0.76;10.0;36.1;0.6;0.8;14.6;45.9
2025-12-15;00:30;Puente Aranda;13;47.3;-9999.0;0.1;0.71;4.9;13.2;0.8;2.1;18.0;64.9
2025-12-15;00:30;MinAmbiente;17;15.4;;;0.76;14.0;24.0;1.5;1.2;12.7;28.1
2025-12-15;00:30;San Cristobal;24;-9999.0;1.0;2.1;0.28;9.0;13.0;3.5;0.5;-9999.0;-9999.0
2025-12-15;00:30;Movil 7ma;26;;;;-9999.0;9.9;49.2;;;;
2025-12-15;00:30;Bolivia;27;0.3;;;0.77;17.0;60.9;0.5;;0.1;0.4
2025-12-15;00:30;Fontibon;30;27.2;6.3;4.0;1.05;31.0;-9999.0;1.9;-9999.0;21.7;48.9
2025-12-15;00:30;Usme;32;27.7;;;0.44;7.2;28.6;1.5;0.7;15.5;43.2
2025-12-15;00:30;Jazmin;34;54.8;;;0.94;14.5;26.4;0.2;2.2;21.2;76.0
2025-12-15;00:30;Ciudad Bolivar;37;157.9;12.1;9.7;2.08;14.1;60.3;1.2;2.8;33.1;191.1
2025-12-15;00:30;Colina;38;23.5;;;0.7;8.0;2.4;-9999.0;0.4;62.8;86.3
2025-12-15;00:30;Movil Fontibon;39;-9999.0;;;-9999.0;13.9;45.1;;;-9999.0;-9999.0
2025-12-15;01:42;Usaquen;1;-9999;;;-9999;7.6;35.3;-9999;-9999;-9999;-9999
2025-12-15;01:42;Carvajal - Sevillana;3;;;;1.38;48;96;;2.4;;
2025-12-15;01:42;Tunal;4;8.6;1.6;8.6;-9999;0;22;2;0.7;6;14.7
2025-12-15;01:42;Centro de Alto Rendimiento;5;38.1;7.4;11;0.93;27.7;27;-9999;1.3;12.7;50.8
2025-12-15;01:42;Las Ferias;6;28;;;0.78;22;1.2;0.2;;21;49
2025-12-15;01:42;Guaymaral;8;51.2;;;0.68;11;33;0.1;2.2;12.9;64.2
2025-12-15;01:42;Kennedy;9;81.2;6.7;12.8;1.61;23.2;33.2;0.2;2.6;21.1;102.3
2025-12-15;01:42;Suba;11;30;;;0.69;19;40.8;0.6;0.8;14.3;44.3
2025-12-15;01:42;Puente Aranda;13;41.6;-9999;0.1;0.63;5.9;14.7;0.9;2.3;20.2;61.3
2025-12-15;01:42;MinAmbiente;17;20.5;;;0.81;14;29;0.9;1.1;12.5;33
2025-12-15;01:42;San Cristobal;24;-9999;0.9;2.8;0.24;10;15;2.8;0.4;-9999;-9999
2025-12-15;01:42;Movil 7ma;26;;;;-9999;10.4;34.6;;;;
2025-12-15;01:42;Bolivia;27;0.2;;;0.77;16.1;53.8;0.3;;0.1;0.4
2025-12-15;01:42;Fontibon;30;10.2;5.2;7.7;0.56;35;-9999;1.9;-9999;16.7;26.9
2025-12-15;01:42;Usme;32;18.8;;;0.27;6.7;29.7;1.4;0.9;12.5;31.3
2025-12-15;01:42;Jazmin;34;25.2;;;0.54;10.3;31.6;0.2;1.8;20.2;45.4
2025-12-15;01:42;Ciudad Bolivar;37;77.4;7.5;7.9;1.43;24.4;69.5;0.9;2.3;30.3;107.7
2025-12-15;01:42;Colina;38;23.5;;;0.7;8;2.4;-9999;0.4;62.8;86.3
2025-12-15;01:42;Movil Fontibon;39;-9999;;;-9999;13.3;67.1;;;-9999;-9999
