Fecha;Hora;name;stationId;NOX;BBP;NO2;eBC;CO;PM10;PM25;OZONO;SO2;NO
2025-12-16;00:27;Usaquen;1;-9999.0;;-9999.0;;-9999.0;46.6;11.8;-9999.0;-9999.0;-9999.0
2025-12-16;00:27;Carvajal - Sevillana;3;;;;;1.67;107.0;38.0;;2.6;
2025-12-16;00:27;Tunal;4;31.1;7.3;9.9;3.4;-9999.0;39.0;0.0;1.4;1.0;21.2
2025-12-16;00:27;Centro de Alto Rendimiento;5;21.6;5.0;18.1;3.6;0.45;24.7;18.5;-9999.0;1.8;3.5
2025-12-16;00:27;Las Ferias;6;49.7;;42.2;;0.68;29.1;24.0;3.8;;7.5
2025-12-16;00:27;Guaymaral;8;29.0;;21.5;;0.46;58.0;21.0;4.7;-0.2;7.5
2025-12-16;00:27;Kennedy;9;24.5;8.2;22.8;2.4;0.66;36.4;16.4;11.0;1.2;1.7
2025-12-16;00:27;Suba;11;10.2;;9.9;;0.32;28.6;14.0;7.9;1.7;0.3
2025-12-16;00:27;Puente Aranda;13;55.8;0.1;27.8;-9999.0;0.67;20.3;12.1;0.8;2.5;28.3
2025-12-16;00:27;MinAmbiente;17;36.1;;20.7;;0.99;38.0;23.0;1.2;1.0;15.4
2025-12-16;00:27;San Cristobal;24;-9999.0;3.3;-9999.0;1.8;0.47;31.0;16.0;-0.2;0.9;-9999.0
2025-12-16;00:27;Movil 7ma;26;;;;;-9999.0;41.8;25.6;;;
2025-12-16;00:27;Bolivia;27;0.6;;0.2;;0.65;63.1;22.7;2.8;;0.3
2025-12-16;00:27;Fontibon;30;26.8;10.0;25.8;4.3;0.88;-9999.0;35.0;6.4;-9999.0;0.9
2025-12-16;00:27;Usme;32;62.5;;23.8;;0.52;70.5;15.3;1.0;5.1;38.7
2025-12-16;00:27;Jazmin;34;60.8;;29.8;;0.79;34.6;11.3;0.4;1.4;31.0
2025-12-16;00:27;Ciudad Bolivar;37;95.0;5.0;40.2;11.6;0.86;56.1;16.4;3.2;1.6;54.9
2025-12-16;00:27;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;00:27;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;60.1;21.6;;;-9999.0
2025-12-16;01:40;Usaquen;1;-9999.0;;-9999.0;;-9999.0;45.3;16.4;-9999.0;-9999.0;-9999.0
2025-12-16;01:40;Carvajal - Sevillana;3;;;;;1.02;117.0;61.0;;2.1;
2025-12-16;01:40;Tunal;4;24.5;8.6;8.4;3.0;-9999.0;63.0;0.0;1.2;0.7;16.1
2025-12-16;01:40;Centro de Alto Rendimiento;5;30.9;7.3;16.3;6.0;0.77;29.8;17.7;-9999.0;2.1;14.5
2025-12-16;01:40;Las Ferias;6;34.6;;31.0;;0.51;31.6;24.0;6.6;;3.6
2025-12-16;01:40;Guaymaral;8;40.4;;22.5;;0.47;43.0;16.0;0.9;0.0;17.9
2025-12-16;01:40;Kennedy;9;99.7;7.0;26.6;7.0;1.18;35.7;18.3;0.9;1.9;73.1
2025-12-16;01:40;Suba;11;14.2;;13.7;;0.33;20.9;12.0;4.9;1.9;0.5
2025-12-16;01:40;Puente Aranda;13;70.6;0.1;25.3;-9999.0;0.65;25.0;10.2;1.0;2.6;45.3
2025-12-16;01:40;MinAmbiente;17;24.2;;15.9;;0.8;42.0;28.0;1.5;1.1;8.2
2025-12-16;01:40;San Cristobal;24;-9999.0;1.1;-9999.0;1.9;0.52;27.0;14.0;-0.3;0.7;-9999.0
2025-12-16;01:40;Movil 7ma;26;;;;;-9999.0;40.0;25.5;;;
2025-12-16;01:40;Bolivia;27;0.4;;0.1;;0.42;60.8;17.1;3.6;;0.2
2025-12-16;01:40;Fontibon;30;24.7;9.2;23.6;4.4;0.75;-9999.0;39.0;7.2;-9999.0;1.0
2025-12-16;01:40;Usme;32;51.8;;21.0;;0.37;138.9;26.2;1.7;1.5;30.7
2025-12-16;01:40;Jazmin;34;86.9;;29.1;;0.96;39.4;19.7;0.2;1.7;57.8
2025-12-16;01:40;Ciudad Bolivar;37;113.5;7.0;42.8;9.9;1.2;59.0;22.2;0.9;1.6;70.7
2025-12-16;01:40;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;01:40;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;61.4;21.1;;;-9999.0
2025-12-16;02:27;Usaquen;1;-9999.0;;-9999.0;;-9999.0;35.7;18.5;-9999.0;-9999.0;-9999.0
2025-12-16;02:27;Carvajal - Sevillana;3;;;;;1.16;155.0;62.0;;2.2;
2025-12-16;02:27;Tunal;4;17.8;8.0;8.7;2.4;-9999.0;70.0;0.0;1.9;0.4;9.1
2025-12-16;02:27;Centro de Alto Rendimiento;5;52.8;9.2;18.2;8.9;0.92;31.7;19.0;-9999.0;2.3;34.6
2025-12-16;02:27;Las Ferias;6;30.1;;26.1;;0.44;24.5;22.0;3.1;;4.0
2025-12-16;02:27;Guaymaral;8;48.5;;19.0;;0.58;36.0;18.0;0.4;0.4;29.5
2025-12-16;02:27;Kennedy;9;111.7;12.8;25.1;9.7;1.26;29.4;13.4;0.2;4.1;86.5
2025-12-16;02:27;Suba;11;20.1;;16.7;;0.36;15.4;11.0;1.8;1.4;3.4
2025-12-16;02:27;Puente Aranda;13;67.5;0.1;22.8;-9999.0;0.41;26.2;17.0;0.9;2.8;44.7
2025-12-16;02:27;MinAmbiente;17;21.6;;14.9;;0.66;45.0;24.0;1.5;1.1;6.7
2025-12-16;02:27;San Cristobal;24;-9999.0;1.2;-9999.0;2.0;0.53;32.0;23.0;-0.2;0.5;-9999.0
2025-12-16;02:27;Movil 7ma;26;;;;;-9999.0;59.8;29.7;;;
2025-12-16;02:27;Bolivia;27;0.4;;0.2;;0.37;50.8;13.1;3.0;;0.2
2025-12-16;02:27;Fontibon;30;24.7;3.3;23.1;4.0;0.54;-9999.0;28.0;5.6;-9999.0;1.6
2025-12-16;02:27;Usme;32;30.7;;16.0;;0.27;140.8;33.7;1.5;1.6;14.7
2025-12-16;02:27;Jazmin;34;87.3;;25.1;;0.74;48.1;15.6;0.2;1.5;62.3
2025-12-16;02:27;Ciudad Bolivar;37;97.1;5.1;38.7;8.5;1.07;63.9;23.5;3.6;1.8;58.4
2025-12-16;02:27;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;02:27;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;83.3;27.0;;;-9999.0
2025-12-16;03:36;Usaquen;1;-9999.0;;-9999.0;;-9999.0;31.7;16.9;-9999.0;-9999.0;-9999.0
2025-12-16;03:36;Carvajal - Sevillana;3;;;;;1.0;142.0;51.0;;2.6;
2025-12-16;03:36;Tunal;4;24.0;8.1;9.2;3.1;-9999.0;57.0;0.0;1.1;0.7;14.7
2025-12-16;03:36;Centro de Alto Rendimiento;5;43.6;3.7;16.8;8.5;0.74;38.6;14.5;-9999.0;2.3;26.8
2025-12-16;03:36;Las Ferias;6;35.7;;28.2;;0.42;24.6;12.0;1.2;;7.5
2025-12-16;03:36;Guaymaral;8;57.4;;17.4;;0.55;40.0;13.0;0.3;0.5;40.0
2025-12-16;03:36;Kennedy;9;95.8;7.9;25.6;9.7;1.3;40.2;30.7;0.3;4.1;70.2
2025-12-16;03:36;Suba;11;22.9;;16.4;;0.37;24.0;16.0;1.6;2.1;6.4
2025-12-16;03:36;Puente Aranda;13;49.4;0.1;23.4;-9999.0;0.34;27.0;14.5;0.9;3.0;26.2
2025-12-16;03:36;MinAmbiente;17;20.5;;15.8;;0.66;42.0;26.0;1.4;1.1;4.6
