Fecha;Hora;name;stationId;NOX;OZONO;PM10;NO2;NO;eBC;PM25;BBP;CO;SO2
2025-12-17;00:27;Usaquen;1;-9999;-9999;50.7;-9999;-9999;;9.4;;-9999;-9999
2025-12-17;00:27;Carvajal - Sevillana;3;;;92;;;;30;;2.19;1.4
2025-12-17;00:27;Tunal;4;32.1;1.1;50;9.5;22.6;3.4;0;6.3;-9999;1.1
2025-12-17;00:27;Centro de Alto Rendimiento;5;25.6;-9999;29.3;19.8;5.8;4.5;16.2;14.2;0.54;1.7
2025-12-17;00:27;Las Ferias;6;41.8;1.9;31.8;31.6;10.2;;19;;0.74;
2025-12-17;00:27;Guaymaral;8;97.1;0.3;51;22.7;74.4;;29;;1.04;1.7
2025-12-17;00:27;Kennedy;9;26.9;3.7;48.1;24.5;2.4;2.7;19.4;15.1;0.64;1
2025-12-17;00:27;Suba;11;38.7;1.6;27.6;22.4;16.3;;24;;0.68;0.7
2025-12-17;00:27;Puente Aranda;13;53.1;1.4;30.8;32.3;20.8;-9999;8.8;0.1;0.56;1.6
2025-12-17;00:27;MinAmbiente;17;41.8;0.9;39;19.7;22.1;;14;;0.9;0.5
2025-12-17;00:27;San Cristobal;24;-9999;0.4;23;-9999;-9999;1.6;9;4.4;0.46;0.6
2025-12-17;00:27;Movil 7ma;26;;;63;;;;32.2;;-9999;
2025-12-17;00:27;Bolivia;27;51.6;1.1;39.5;26.4;25.1;;18.8;;0.85;
2025-12-17;00:27;Fontibon;30;35.7;1.2;-9999;29.4;6.3;2.6;12;12.2;0.67;-9999
2025-12-17;00:27;Usme;32;33.2;3.6;34.9;17.4;15.8;;14.2;;0.34;8.1
2025-12-17;00:27;Jazmin;34;72.2;0.3;51.2;38.6;33.5;;21.7;;0.87;0.7
2025-12-17;00:27;Ciudad Bolivar;37;137;0.7;66.4;42.2;94.8;9.8;23.2;8.8;1.7;2.3
2025-12-17;00:27;Colina;38;86.3;-9999;2.4;62.8;23.5;;8;;0.7;0.4
2025-12-17;00:27;Movil Fontibon;39;-9999;;54.2;-9999;-9999;;21.4;;-9999;
