Fecha;Hora;name;stationId;eBC;PM10;SO2;PM25;NO;BBP;NOX;OZONO;NO2;CO
2025-12-19;00:27;Usaquen;1;;23.2;-9999.0;4.3;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-19;00:27;Carvajal - Sevillana;3;;48.0;0.9;30.0;;;;;;2.34
2025-12-19;00:27;Tunal;4;5.6;31.0;1.3;16.0;22.4;2.3;40.2;3.1;17.8;-9999.0
2025-12-19;00:27;Centro de Alto Rendimiento;5;6.3;27.9;-0.1;18.2;24.0;8.9;43.4;-9999.0;19.4;0.79
2025-12-19;00:27;Las Ferias;6;;17.4;;17.0;46.6;;80.3;0.3;33.7;1.25
2025-12-19;00:27;Guaymaral;8;;28.0;3.0;29.0;100.4;;117.9;0.2;17.5;0.95
2025-12-19;00:27;Kennedy;9;3.0;31.1;0.5;29.0;3.8;15.5;32.7;10.0;28.9;0.89
2025-12-19;00:27;Suba;11;;17.3;0.6;15.0;18.5;;35.0;0.5;16.6;0.54
2025-12-19;00:27;Puente Aranda;13;4.4;28.3;1.1;10.4;12.2;1.8;43.5;2.1;31.3;0.64
2025-12-19;00:27;MinAmbiente;17;;20.0;0.7;10.0;15.4;;24.3;3.0;8.9;0.63
2025-12-19;00:27;San Cristobal;24;1.2;18.0;0.8;8.0;0.0;8.0;0.1;0.8;0.2;0.6
2025-12-19;00:27;Movil 7ma;26;;40.1;;26.1;;;;;;-9999.0
2025-12-19;00:27;Bolivia;27;;27.0;;12.8;0.0;;0.0;0.4;0.0;0.68
2025-12-19;00:27;Fontibon;30;4.3;21.0;1.7;22.0;5.7;4.5;28.3;0.8;22.5;0.67
2025-12-19;00:27;Usme;32;;27.6;2.6;19.2;18.2;;35.3;0.9;17.2;0.66
2025-12-19;00:27;Jazmin;34;;38.3;0.4;22.2;6.2;;45.9;2.4;39.7;0.68
2025-12-19;00:27;Ciudad Bolivar;37;2.6;45.7;1.0;24.1;11.4;9.7;34.6;15.7;23.3;-0.05
2025-12-19;00:27;Colina;38;;2.4;0.4;8.0;23.5;;86.3;-9999.0;62.8;0.7
2025-12-19;00:27;Movil Fontibon;39;;26.3;;23.4;-9999.0;;-9999.0;;-9999.0;-9999.0
2025-12-19;01:38;Usaquen;1;;31.2;-9999.0;0.4;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-19;01:38;Carvajal - Sevillana;3;;57.0;0.9;39.0;;;;;;3.03
2025-12-19;01:38;Tunal;4;7.0;31.0;1.5;18.0;40.1;4.4;57.2;1.5;17.1;-9999.0
2025-12-19;01:38;Centro de Alto Rendimiento;5;7.2;20.7;0.5;16.1;29.1;11.5;44.2;-9999.0;15.2;0.8
2025-12-19;01:38;Las Ferias;6;;24.7;;25.0;41.1;;63.9;0.2;22.8;0.73
2025-12-19;01:38;Guaymaral;8;;55.0;2.2;11.0;54.6;;71.2;0.2;16.6;0.68
2025-12-19;01:38;Kennedy;9;3.9;24.4;0.5;33.0;3.1;16.4;36.9;2.7;33.8;0.77
2025-12-19;01:38;Suba;11;;17.8;0.6;13.0;31.6;;47.8;0.5;16.2;0.55
2025-12-19;01:38;Puente Aranda;13;5.1;27.8;1.3;21.4;31.7;6.1;60.4;1.0;28.6;0.7
2025-12-19;01:38;MinAmbiente;17;;23.0;0.5;14.0;9.1;;21.3;2.8;12.2;0.61
2025-12-19;01:38;San Cristobal;24;0.7;17.0;0.5;7.0;1.3;4.2;1.4;3.4;0.1;0.28
2025-12-19;01:38;Movil 7ma;26;;28.4;;20.6;;;;;;-9999.0
2025-12-19;01:38;Bolivia;27;;40.8;;9.9;0.0;;0.0;0.3;0.0;0.51
2025-12-19;01:38;Fontibon;30;4.2;22.0;1.8;24.0;28.2;14.2;49.3;0.4;21.1;0.69
2025-12-19;01:38;Usme;32;;24.0;1.7;14.7;27.0;;44.0;0.9;17.0;0.51
2025-12-19;01:38;Jazmin;34;;26.9;0.7;23.5;4.0;;48.4;2.0;44.4;0.75
2025-12-19;01:38;Ciudad Bolivar;37;10.4;40.8;0.7;21.6;49.3;11.9;91.3;2.9;42.0;0.95
2025-12-19;01:38;Colina;38;;2.4;0.4;8.0;23.5;;86.3;-9999.0;62.8;0.7
