Fecha;Hora;name;stationId;eBC;BBP;CO;NO2;PM25;NOX;PM10;NO;OZONO;SO2
2025-12-20;23:01;Usaquen;1;;;-9999;-9999;3.7;-9999;8.2;-9999;-9999;-9999
2025-12-20;23:01;Carvajal - Sevillana;3;;;1.62;;32;;65;;;3.8
2025-12-20;23:01;Tunal;4;2.4;9;-9999;10.7;18;19.6;27;8.9;7;-1.4
2025-12-20;23:01;Centro de Alto Rendimiento;5;4.2;12.6;0.88;13.7;11.1;32.4;30.7;18.7;-9999;0.7
2025-12-20;23:01;Las Ferias;6;;;0.68;25.4;21;42.2;20.1;16.7;1.8;
2025-12-20;23:01;Guaymaral;8;;;0.38;11;11;12.8;26;1.7;12.4;0.5
2025-12-20;23:01;Kennedy;9;3.4;9;1.22;27.1;15.4;48.3;38.3;21.2;3.7;1.4
2025-12-20;23:01;Suba;11;;;0.54;21.1;14;26.5;22.1;5.4;3.5;1
2025-12-20;23:01;Puente Aranda;13;3.1;9.6;0.76;29.6;7.7;51.7;10.4;22.1;1.8;1.2
2025-12-20;23:01;MinAmbiente;17;;;0.34;8.3;11;11.4;20;3.1;18.2;0.9
2025-12-20;23:01;San Cristobal;24;0.9;16.9;0.49;0.1;13;1.3;19;1.2;10.7;0.9
2025-12-20;23:01;Movil 7ma;26;;;-9999;;13.3;;37.6;;;
2025-12-20;23:01;Bolivia;27;;;0.67;0.2;19.9;-1.8;38.9;-2;1.2;
2025-12-20;23:01;Fontibon;30;3.5;5.7;0.84;25.4;17;34.1;38;8.7;2.3;2
2025-12-20;23:01;Usme;32;;;0.65;21.8;12.3;35.6;26.2;13.8;5.7;0.6
2025-12-20;23:01;Jazmin;34;;;0.86;34.5;12.5;52.1;28.8;17.6;1.3;0.5
2025-12-20;23:01;Ciudad Bolivar;37;4.6;13.1;0.87;39.2;17.2;66.8;51.2;27.5;3;1.8
2025-12-20;23:01;Colina;38;;;0.7;62.8;8;86.3;2.4;23.5;-9999;0.4
2025-12-20;23:01;Movil Fontibon;39;;;-9999;-9999;22.4;-9999;48.7;-9999;;
