Fecha;Hora;name;stationId;NO2;NO;SO2;BBP;eBC;NOX;PM25;OZONO;CO;PM10
2025-12-21;00:26;Usaquen;1;-9999.0;-9999.0;-9999.0;;;-9999.0;0.1;-9999.0;-9999.0;8.2
2025-12-21;00:26;Carvajal - Sevillana;3;;;2.4;;;;31.0;;1.42;57.0
2025-12-21;00:26;Tunal;4;10.5;13.4;-1.4;5.5;2.1;23.9;17.0;6.0;-9999.0;33.0
2025-12-21;00:26;Centro de Alto Rendimiento;5;17.7;46.6;0.7;11.0;6.3;64.4;20.8;-9999.0;1.19;34.4
2025-12-21;00:26;Las Ferias;6;20.8;8.9;;;;29.6;17.0;3.8;0.45;17.6
2025-12-21;00:26;Guaymaral;8;13.3;-3.3;0.6;;;10.0;16.0;9.5;0.4;33.0
2025-12-21;00:26;Kennedy;9;29.5;44.6;1.8;11.5;4.9;74.0;20.4;0.4;1.52;30.9
2025-12-21;00:26;Suba;11;13.9;2.4;0.9;;;16.3;10.0;4.5;0.39;30.1
2025-12-21;00:26;Puente Aranda;13;25.1;11.7;1.3;3.7;2.5;36.8;8.1;2.9;0.36;10.2
2025-12-21;00:26;MinAmbiente;17;11.6;11.9;0.8;;;23.6;12.0;7.3;0.58;28.0
2025-12-21;00:26;San Cristobal;24;0.1;1.2;0.7;7.1;0.8;1.3;14.0;9.2;0.41;20.0
2025-12-21;00:26;Movil 7ma;26;;;;;;;14.4;;-9999.0;32.6
2025-12-21;00:26;Bolivia;27;0.2;-2.1;;;;-1.8;12.7;2.8;0.45;57.8
2025-12-21;00:26;Fontibon;30;25.0;9.8;2.2;5.3;3.1;34.7;20.0;2.2;0.76;59.0
2025-12-21;00:26;Usme;32;14.1;5.0;1.5;;;19.1;16.2;10.6;0.42;26.0
2025-12-21;00:26;Jazmin;34;30.5;10.2;0.6;;;40.7;14.8;2.5;0.55;28.6
2025-12-21;00:26;Ciudad Bolivar;37;43.0;57.7;1.3;16.4;9.0;100.7;20.0;1.0;1.41;50.3
2025-12-21;00:26;Colina;38;62.8;23.5;0.4;;;86.3;8.0;-9999.0;0.7;2.4
2025-12-21;00:26;Movil Fontibon;39;-9999.0;-9999.0;;;;-9999.0;12.8;;-9999.0;64.3
2025-12-21;01:36;Usaquen;1;-9999;-9999;-9999;;;-9999;1.9;-9999;-9999;6.9
2025-12-21;01:36;Carvajal - Sevillana;3;;;2.6;;;;21;;1.06;61
2025-12-21;01:36;Tunal;4;10;8.9;-1.2;1.8;2;18.9;14;7.1;-9999;29
2025-12-21;01:36;Centro de Alto Rendimiento;5;16.3;25.7;0.7;12.4;4.3;42;18.1;-9999;0.75;40.6
2025-12-21;01:36;Las Ferias;6;24.1;16.7;;;;40.8;12;1.3;0.7;19.1
2025-12-21;01:36;Guaymaral;8;10.1;-1.5;0.5;;;8.5;11;13.5;0.33;26
2025-12-21;01:36;Kennedy;9;26.7;26.4;1.7;9.7;4.2;53.1;19.8;0.9;1.1;37.4
2025-12-21;01:36;Suba;11;13.3;1.1;0.8;;;14.5;14;3.4;0.44;36.3
2025-12-21;01:36;Puente Aranda;13;25;18.9;1.6;2.2;2.7;43.9;9.7;1.9;0.67;17.3
2025-12-21;01:36;MinAmbiente;17;8.1;2.7;0.3;;;10.8;10;11.3;0.4;11
2025-12-21;01:36;San Cristobal;24;0.1;0.8;49.8;6.6;0.6;0.9;8;8.5;0.25;985
2025-12-21;01:36;Movil 7ma;26;;;;;;;14.7;;-9999;43.9
2025-12-21;01:36;Bolivia;27;0.2;0;;;;0.3;17.4;2.9;0.41;55.8
2025-12-21;01:36;Fontibon;30;24.5;16.3;2;11.9;2.9;40.8;17;0.9;0.76;31
2025-12-21;01:36;Usme;32;19.5;4.1;9.5;;;23.6;16.8;5;0.34;27.4
2025-12-21;01:36;Jazmin;34;30.5;19.6;0.6;;;50.2;16.3;1.5;0.7;37
2025-12-21;01:36;Ciudad Bolivar;37;34.9;16.5;1.1;8.4;3.9;51.4;33.3;2.2;0.67;77.8
2025-12-21;01:36;Colina;38;62.8;23.5;0.4;;;86.3;8;-9999;0.7;2.4
2025-12-21;01:36;Movil Fontibon;39;-9999;-9999;;;;-9999;13.5;;-9999;60.8
