Fecha;Hora;name;stationId;PM10;PM25;NOX;eBC;OZONO;NO2;BBP;SO2;CO;NO
2025-12-22;00:29;Usaquen;1;5.2;4;-9999;;-9999;-9999;;-9999;-9999;-9999
2025-12-22;00:29;Carvajal - Sevillana;3;54;31;;;;;;2.2;1.67;
2025-12-22;00:29;Tunal;4;22;10;10.4;0.8;20;5.9;14.5;-1.7;-9999;4.5
2025-12-22;00:29;Centro de Alto Rendimiento;5;17.2;11.8;48.9;5;-9999;11.9;15.2;1;1.07;37.1
2025-12-22;00:29;Las Ferias;6;17.6;17;82.6;;0.2;25.4;;;1.24;57.1
2025-12-22;00:29;Guaymaral;8;31;10;47;;0.2;18.9;;1.1;0.7;28.1
2025-12-22;00:29;Kennedy;9;26.4;18.7;42.5;2.7;0.3;28.3;12.9;0.7;0.93;14.2
2025-12-22;00:29;Suba;11;7.1;17;51;;0.7;19.1;;0.8;0.68;31.9
2025-12-22;00:29;Puente Aranda;13;5.8;15.2;75.6;4.2;0.8;26.4;8.2;1.7;1.05;49.4
2025-12-22;00:29;MinAmbiente;17;17;10;17.8;;6.7;12.9;;0.7;0.56;4.9
2025-12-22;00:29;San Cristobal;24;14;9;0;0.5;9.3;0;10.8;157.7;0.08;0
2025-12-22;00:29;Movil 7ma;26;30.3;8.9;;;;;;;-9999;
2025-12-22;00:29;Bolivia;27;21.2;8.1;39.2;;0.9;18.4;;;1.01;20.8
2025-12-22;00:29;Fontibon;30;32;28;52.4;5;0.5;21.3;7.7;2.6;0.94;31.2
2025-12-22;00:29;Usme;32;33.4;10.4;46.6;;1.2;18.6;;1.5;0.62;27.9
2025-12-22;00:29;Jazmin;34;28;9.9;65.1;;0.3;30.9;;0.6;0.91;34.2
2025-12-22;00:29;Ciudad Bolivar;37;32.1;3.7;57.7;3.8;0.9;35.9;11.8;1.3;0.66;21.9
2025-12-22;00:29;Colina;38;2.4;8;86.3;;-9999;62.8;;0.4;0.7;23.5
2025-12-22;00:29;Movil Fontibon;39;33.6;10.8;-9999;;;-9999;;;-9999;-9999
