Fecha;Hora;name;stationId;BBP;OZONO;eBC;PM25;CO;NOX;NO;NO2;PM10;SO2
2025-12-24;00:28;Usaquen;1;;-9999;;9.1;-9999;-9999;-9999;-9999;34.9;-9999
2025-12-24;00:28;Carvajal - Sevillana;3;;;;25;2.16;;;;63;1.2
2025-12-24;00:28;Tunal;4;14.5;20;0.8;10;-9999;10.4;4.5;5.9;22;-1.7
2025-12-24;00:28;Centro de Alto Rendimiento;5;13.9;-9999;2;21.5;0.25;20.9;1.4;19.5;34.2;1.3
2025-12-24;00:28;Las Ferias;6;;10.1;;14;0.42;26.8;3.7;23.1;26.8;
2025-12-24;00:28;Guaymaral;8;;6.3;;14;0.44;30.1;6.8;23.3;32;1.1
2025-12-24;00:28;Kennedy;9;15.8;15.1;2.2;21.1;0.8;19.1;0.7;18.4;36.7;3
2025-12-24;00:28;Suba;11;;7.1;;5;0.39;21.6;5.1;16.5;25.8;0.6
2025-12-24;00:28;Puente Aranda;13;2.5;9.1;2.5;15.5;0.24;22.7;2.4;20.3;32.8;1.6
2025-12-24;00:28;MinAmbiente;17;;6.6;;11;0.78;28.4;3.6;24.8;29;1
2025-12-24;00:28;San Cristobal;24;10.5;3.2;2.9;34;0.71;1.4;1.3;0.1;59;2.9
2025-12-24;00:28;Movil 7ma;26;;;;25.9;-9999;;;;47.4;
2025-12-24;00:28;Bolivia;27;;5.9;;18;0.5;24.6;4.4;20.2;58.3;
2025-12-24;00:28;Fontibon;30;10.7;11.7;1.3;8;0.4;15.1;0.9;14.2;28;1.1
2025-12-24;00:28;Usme;32;;12.2;;30;0.4;20.2;2.9;17.3;46.2;5.8
2025-12-24;00:28;Jazmin;34;;9.2;;28.7;0.42;30.1;1.6;28.5;48.4;1
2025-12-24;00:28;Ciudad Bolivar;37;18.2;11.9;4.6;12.5;0.79;54.4;19.5;34.8;42.4;3
2025-12-24;00:28;Colina;38;;-9999;;8;0.7;86.3;23.5;62.8;2.4;0.4
2025-12-24;00:28;Movil Fontibon;39;;;;19;-9999;-9999;-9999;-9999;42.2;
