Fecha;Hora;name;stationId;SO2;PM25;BBP;OZONO;eBC;NO2;PM10;NO;NOX;CO
2025-12-25;00:28;Usaquen;1;-9999.0;7.8;;-9999.0;;-9999.0;28.4;-9999.0;-9999.0;-9999.0
2025-12-25;00:28;Carvajal - Sevillana;3;0.9;16.0;;;;;46.0;;;1.73
2025-12-25;00:28;Tunal;4;-1.7;10.0;14.5;20.0;0.8;5.9;22.0;4.5;10.4;-9999.0
2025-12-25;00:28;Centro de Alto Rendimiento;5;1.3;6.6;31.3;-9999.0;1.6;13.0;15.6;2.4;15.3;0.33
2025-12-25;00:28;Las Ferias;6;;12.0;;5.6;;20.3;14.2;3.7;24.1;0.53
2025-12-25;00:28;Guaymaral;8;1.5;12.0;;0.7;;13.2;31.0;14.4;27.6;0.71
2025-12-25;00:28;Kennedy;9;0.9;28.1;70.1;11.1;7.7;15.9;49.6;3.6;19.5;0.99
2025-12-25;00:28;Suba;11;0.8;9.0;;5.1;;6.6;6.9;1.6;8.1;0.23
2025-12-25;00:28;Puente Aranda;13;1.3;7.1;21.4;7.8;1.4;15.7;12.8;2.5;18.2;0.21
2025-12-25;00:28;MinAmbiente;17;0.6;16.0;;5.0;;19.4;29.0;4.0;23.4;0.55
2025-12-25;00:28;San Cristobal;24;1.2;25.0;25.7;8.1;1.3;0.1;36.0;1.2;1.3;0.45
2025-12-25;00:28;Movil 7ma;26;;4.5;;;;;34.3;;;-9999.0
2025-12-25;00:28;Bolivia;27;;16.1;;3.9;;15.9;40.3;6.6;22.5;0.73
2025-12-25;00:28;Fontibon;30;0.6;29.0;51.5;6.5;1.3;10.4;19.0;0.7;11.0;0.49
2025-12-25;00:28;Usme;32;2.0;12.1;;16.4;;21.2;38.7;4.8;26.0;0.64
2025-12-25;00:28;Jazmin;34;0.7;18.7;;9.5;;17.8;25.0;0.2;18.0;0.33
2025-12-25;00:28;Ciudad Bolivar;37;1.1;33.6;48.4;7.4;4.1;27.1;65.5;24.8;51.9;1.0
2025-12-25;00:28;Colina;38;0.4;8.0;;-9999.0;;62.8;2.4;23.5;86.3;0.7
2025-12-25;00:28;Movil Fontibon;39;;12.9;;;;-9999.0;26.8;-9999.0;-9999.0;-9999.0
2025-12-25;01:39;Usaquen;1;-9999;15.1;;-9999;;-9999;27.1;-9999;-9999;-9999
2025-12-25;01:39;Carvajal - Sevillana;3;0.9;69;;;;;71;;;0.73
2025-12-25;01:39;Tunal;4;-1.7;10;14.5;20;0.8;5.9;22;4.5;10.4;-9999
2025-12-25;01:39;Centro de Alto Rendimiento;5;0.9;6.8;39.2;-9999;1.3;11.9;12.3;1.5;13.4;0.22
2025-12-25;01:39;Las Ferias;6;;21;;7.5;;16.1;17.6;1.9;18;0.41
2025-12-25;01:39;Guaymaral;8;1.5;12;;0.6;;11.9;31;15.6;27.5;0.69
2025-12-25;01:39;Kennedy;9;1.1;58.9;92.6;14.6;3.3;10;62.4;1.3;11.3;0.67
2025-12-25;01:39;Suba;11;0.6;18;;4.4;;8.7;9.5;4.3;13;0.32
2025-12-25;01:39;Puente Aranda;13;1.8;6.1;23.9;8.3;0.9;10.5;12.7;2.2;12.7;0.18
2025-12-25;01:39;MinAmbiente;17;0.7;17;;8.5;;15.3;30;1.8;17;0.38
2025-12-25;01:39;San Cristobal;24;1.4;24;21.8;12.7;1;0.1;48;1.3;1.4;0.25
2025-12-25;01:39;Movil 7ma;26;;6;;;;;34;;;-9999
2025-12-25;01:39;Bolivia;27;;26.3;;3.8;;15;45.3;5;20;0.68
2025-12-25;01:39;Fontibon;30;1;89;63.8;4.6;1.1;10.7;27;2.2;13;0.42
2025-12-25;01:39;Usme;32;1.6;23;;16.4;;10.4;48;1;11.5;0.34
2025-12-25;01:39;Jazmin;34;1.1;23.7;;12.5;;11.7;30.8;-0.8;10.9;0.16
2025-12-25;01:39;Ciudad Bolivar;37;1.7;40;56.3;10.1;2.1;21.4;71.9;15.5;36.9;0.42
2025-12-25;01:39;Colina;38;0.4;8;;-9999;;62.8;2.4;23.5;86.3;0.7
2025-12-25;01:39;Movil Fontibon;39;;9.9;;;;-9999;18.1;-9999;-9999;-9999
