Fecha;Hora;name;stationId;OZONO;SO2;NO2;PM25;PM10;NO;BBP;NOX;CO;eBC
2025-12-28;00:29;Usaquen;1;-9999.0;-9999.0;-9999.0;3.2;15.9;-9999.0;;-9999.0;-9999.0;
2025-12-28;00:29;Carvajal - Sevillana;3;;2.8;;24.0;46.0;;;;0.91;
2025-12-28;00:29;Tunal;4;20.0;-1.7;5.9;10.0;22.0;4.5;14.5;10.4;-9999.0;0.8
2025-12-28;00:29;Centro de Alto Rendimiento;5;-9999.0;0.8;8.3;6.3;15.0;6.8;7.5;15.1;0.5;3.1
2025-12-28;00:29;Las Ferias;6;3.3;;26.7;15.0;2.8;7.8;;34.4;0.61;
2025-12-28;00:29;Guaymaral;8;8.9;0.6;16.3;9.0;24.0;3.1;;19.4;0.42;
2025-12-28;00:29;Kennedy;9;11.7;2.1;23.1;9.6;28.6;8.6;7.5;31.7;0.77;2.1
2025-12-28;00:29;Suba;11;4.0;3.4;19.4;15.0;25.8;1.1;;20.5;0.41;
2025-12-28;00:29;Puente Aranda;13;11.0;1.3;20.2;2.8;4.7;4.6;9.1;24.8;0.18;1.4
2025-12-28;00:29;MinAmbiente;17;29.0;0.8;4.0;7.0;18.0;1.0;;5.0;0.19;
2025-12-28;00:29;San Cristobal;24;22.7;0.6;0.1;8.0;20.0;1.4;39.5;1.5;0.18;0.5
2025-12-28;00:29;Movil 7ma;26;;;;5.2;15.5;;;;-9999.0;
2025-12-28;00:29;Bolivia;27;2.8;;35.3;9.3;30.0;40.9;;76.2;0.04;
2025-12-28;00:29;Fontibon;30;2.5;1.1;27.4;22.0;27.0;12.9;14.2;40.3;0.67;2.9
2025-12-28;00:29;Usme;32;34.3;0.0;9.8;6.3;30.8;4.5;;14.4;0.28;
2025-12-28;00:29;Jazmin;34;15.9;0.5;18.3;14.8;20.7;1.8;;20.1;0.29;
2025-12-28;00:29;Ciudad Bolivar;37;28.7;0.8;6.3;4.6;17.2;8.3;23.9;14.6;0.05;0.4
2025-12-28;00:29;Colina;38;-9999.0;0.4;62.8;8.0;2.4;23.5;;86.3;0.7;
2025-12-28;00:29;Movil Fontibon;39;;;-9999.0;10.6;54.6;-9999.0;;-9999.0;-9999.0;
2025-12-28;01:38;Usaquen;1;-9999.0;-9999.0;-9999.0;0.5;2.6;-9999.0;;-9999.0;-9999.0;
2025-12-28;01:38;Carvajal - Sevillana;3;;2.4;;12.0;41.0;;;;0.64;
2025-12-28;01:38;Tunal;4;20.0;-1.7;5.9;10.0;22.0;4.5;14.5;10.4;-9999.0;0.8
2025-12-28;01:38;Centro de Alto Rendimiento;5;-9999.0;0.9;17.0;4.9;11.5;24.0;10.1;41.0;0.67;4.5
2025-12-28;01:38;Las Ferias;6;19.5;;10.6;14.0;2.6;2.6;;13.3;0.28;
2025-12-28;01:38;Guaymaral;8;3.2;1.1;23.1;15.0;26.0;30.8;;53.8;0.62;
2025-12-28;01:38;Kennedy;9;8.0;1.3;26.8;7.1;23.7;14.4;11.6;41.2;0.78;2.1
2025-12-28;01:38;Suba;11;2.5;4.2;21.3;18.0;24.8;1.4;;22.7;0.37;
2025-12-28;01:38;Puente Aranda;13;1.0;1.2;27.8;4.7;3.4;27.7;8.5;55.3;0.5;2.9
2025-12-28;01:38;MinAmbiente;17;25.9;1.4;7.2;6.0;6.0;2.9;;10.1;0.24;
2025-12-28;01:38;San Cristobal;24;22.6;0.5;0.1;6.0;10.0;1.4;8.8;1.5;0.2;0.5
2025-12-28;01:38;Movil 7ma;26;;;;4.8;10.1;;;;-9999.0;
2025-12-28;01:38;Bolivia;27;1.8;;51.3;8.4;41.7;80.8;;132.1;0.1;
2025-12-28;01:38;Fontibon;30;2.4;1.5;27.6;16.0;31.0;22.6;16.3;50.1;0.62;3.0
2025-12-28;01:38;Usme;32;34.3;0.7;6.6;6.8;15.8;1.5;;8.1;0.17;
