Fecha;Hora;name;stationId;CO;NO;SO2;eBC;BBP;PM25;NOX;NO2;PM10;OZONO
2026-01-06;00:30;Usaquen;1;-9999;-9999;-9999;;;6.9;-9999;-9999;30;-9999
2026-01-06;00:30;Carvajal - Sevillana;3;1.03;;1.5;;;27;;;55;
2026-01-06;00:30;Tunal;4;-9999;41.4;1.4;3.6;5;7;54.1;12.7;14;1.4
2026-01-06;00:30;Centro de Alto Rendimiento;5;0.85;14.5;1;6.1;6.3;16.5;37.4;22.9;20;-9999
2026-01-06;00:30;Las Ferias;6;1.05;41.2;;;;22;82.6;41.4;11.1;0.4
2026-01-06;00:30;Guaymaral;8;0.77;49.4;0.9;;;15;68.1;18.7;33;0.5
2026-01-06;00:30;Kennedy;9;1.3;25.5;1.1;-9999;-9999;12.2;63.6;38.1;14.8;1.6
2026-01-06;00:30;Suba;11;0.44;3.9;0.6;;;13;21.2;17.3;7.6;2.5
2026-01-06;00:30;Puente Aranda;13;0.93;36.7;1.6;5.4;0.1;10.2;69.1;32.4;-9999;0.8
2026-01-06;00:30;MinAmbiente;17;0.44;4.4;14.7;;;7;15.5;11.1;18;1.9
2026-01-06;00:30;San Cristobal;24;0.33;1.2;1.2;1.1;2.9;7;1.3;0.1;13;1.6
2026-01-06;00:30;Movil 7ma;26;-9999;;;;;9.3;;;23.2;
2026-01-06;00:30;Bolivia;27;-9999;-9999;;;;19.1;-9999;-9999;26.1;-9999
2026-01-06;00:30;Fontibon;30;0.75;11.4;1.3;4.7;5;17;43;31.6;20.9;1.7
2026-01-06;00:30;Usme;32;0.44;7.5;3.5;;;11.3;26;18.5;12.8;1.5
2026-01-06;00:30;Jazmin;34;0.87;37.1;1.1;;;15.5;72.5;35.4;25.6;0.3
2026-01-06;00:30;Ciudad Bolivar;37;1.09;63.5;0.8;-9999;-9999;4.3;120.6;57.2;16.6;0.6
2026-01-06;00:30;Colina;38;0.35;1.8;0.8;;;0;7.5;5.8;0;14.8
2026-01-06;00:30;Movil Fontibon;39;-9999;-9999;;;;19;-9999;-9999;28.8;
