Fecha;Hora;name;stationId;PM25;CO;eBC;OZONO;PM10;SO2;BBP;NO;NO2;NOX
2026-01-07;00:30;Usaquen;1;3.1;-9999.0;;-9999.0;20.4;-9999.0;;-9999.0;-9999.0;-9999.0
2026-01-07;00:30;Carvajal - Sevillana;3;27.0;1.03;;;55.0;1.5;;;;
2026-01-07;00:30;Tunal;4;14.0;-9999.0;4.5;1.1;16.0;0.2;8.6;67.6;15.8;83.4
2026-01-07;00:30;Centro de Alto Rendimiento;5;14.8;0.67;4.4;-9999.0;15.8;0.9;11.4;15.8;12.0;27.8
2026-01-07;00:30;Las Ferias;6;10.0;0.42;;3.7;9.8;;;2.5;17.6;20.1
2026-01-07;00:30;Guaymaral;8;11.0;0.52;;0.3;28.0;0.4;;20.7;16.5;37.2
2026-01-07;00:30;Kennedy;9;13.9;0.99;-9999.0;1.5;17.3;0.5;-9999.0;24.5;30.7;55.3
2026-01-07;00:30;Suba;11;11.0;0.33;;1.5;18.4;0.4;;2.6;17.2;19.8
2026-01-07;00:30;Puente Aranda;13;12.8;0.41;3.5;0.8;-9999.0;1.0;3.1;20.2;24.1;44.3
2026-01-07;00:30;MinAmbiente;17;6.0;0.4;;3.4;11.0;0.6;;3.7;7.8;11.5
2026-01-07;00:30;San Cristobal;24;0.0;0.3;0.6;3.4;11.0;1.1;5.8;1.3;0.1;1.5
2026-01-07;00:30;Movil 7ma;26;16.5;-9999.0;;;31.4;;;;;
2026-01-07;00:30;Bolivia;27;5.7;-9999.0;;-9999.0;15.2;;;-9999.0;-9999.0;-9999.0
2026-01-07;00:30;Fontibon;30;13.0;0.64;3.2;1.6;9.0;1.2;5.7;14.0;21.7;35.7
2026-01-07;00:30;Usme;32;9.3;0.42;;1.5;24.6;2.0;;15.7;20.4;36.1
2026-01-07;00:30;Jazmin;34;12.6;0.69;;0.2;24.2;0.8;;32.0;34.3;66.4
2026-01-07;00:30;Ciudad Bolivar;37;6.2;0.94;-9999.0;0.6;11.7;0.5;-9999.0;67.2;44.4;111.6
2026-01-07;00:30;Colina;38;0.0;0.35;;14.8;0.0;0.8;;1.8;5.8;7.5
2026-01-07;00:30;Movil Fontibon;39;14.9;-9999.0;;;21.7;;;-9999.0;-9999.0;-9999.0
2026-01-07;01:41;Usaquen;1;2.9;-9999;;-9999;4.9;-9999;;-9999;-9999;-9999
2026-01-07;01:41;Carvajal - Sevillana;3;27;1.03;;;55;1.5;;;;
2026-01-07;01:41;Tunal;4;46;-9999;8;1.1;19;0.1;7.9;60.7;13.6;74.3
2026-01-07;01:41;Centro de Alto Rendimiento;5;14.4;0.54;4.2;-9999;12.7;0.9;8.5;2.3;1.7;4
2026-01-07;01:41;Las Ferias;6;6;0.42;;1;12.4;;;11.5;18.6;30.1
2026-01-07;01:41;Guaymaral;8;12;0.41;;0.7;25;0.4;;21.5;13.6;35.1
2026-01-07;01:41;Kennedy;9;12.8;0.95;-9999;1.5;13;0.5;-9999;22.9;27.9;50.8
2026-01-07;01:41;Suba;11;7;0.34;;0.7;14.5;0.4;;11.2;16.1;27.3
2026-01-07;01:41;Puente Aranda;13;14.4;0.54;3.4;0.8;-9999;1.3;3.9;28.2;24.1;52.3
2026-01-07;01:41;MinAmbiente;17;4;0.3;;3.9;7;0.9;;1.1;5.3;6.4
2026-01-07;01:41;San Cristobal;24;5;0.22;0.6;3.4;12;1;0.6;1.3;0.1;1.4
2026-01-07;01:41;Movil 7ma;26;12.6;-9999;;;16.1;;;;;
2026-01-07;01:41;Bolivia;27;4.7;-9999;;-9999;21.5;;;-9999;-9999;-9999
2026-01-07;01:41;Fontibon;30;13;0.69;3.3;1.8;16;1.3;8.8;23.7;21.8;45.5
2026-01-07;01:41;Usme;32;16.4;0.35;;1.5;23.7;1.4;;11.2;18.4;29.7
2026-01-07;01:41;Jazmin;34;19.6;0.61;;0.1;17.4;0.9;;24.9;27.7;52.6
2026-01-07;01:41;Ciudad Bolivar;37;5.7;0.47;-9999;0.6;13.7;0.5;-9999;34.6;37.8;72.4
2026-01-07;01:41;Colina;38;0;0.35;;14.8;0;0.8;;1.8;5.8;7.5
2026-01-07;01:41;Movil Fontibon;39;11.3;-9999;;;22;;;-9999;-9999;-9999
