Fecha;Hora;name;stationId;NO2;SO2;BBP;NOX;OZONO;CO;NO;PM25;eBC;PM10
2026-01-09;00:30;Usaquen;1;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0;2.6;;5.0
2026-01-09;00:30;Carvajal - Sevillana;3;;1.5;;;;1.03;;27.0;;55.0
2026-01-09;00:30;Tunal;4;9.5;0.3;8.3;54.9;5.1;-9999.0;45.3;22.0;3.4;51.0
2026-01-09;00:30;Centro de Alto Rendimiento;5;12.7;1.0;7.4;60.7;-9999.0;1.2;48.0;28.3;9.4;38.7
2026-01-09;00:30;Las Ferias;6;18.3;;;26.2;5.6;0.4;7.9;27.0;;27.0
2026-01-09;00:30;Guaymaral;8;19.3;0.8;;38.6;0.5;0.56;19.3;25.0;;25.0
2026-01-09;00:30;Kennedy;9;32.3;0.9;-9999.0;83.1;1.7;1.32;50.8;21.4;-9999.0;42.7
2026-01-09;00:30;Suba;11;18.9;1.0;;24.2;1.2;0.38;5.3;14.0;;34.9
2026-01-09;00:30;Puente Aranda;13;29.0;1.9;5.5;104.6;0.8;1.13;75.9;16.4;7.9;-9999.0
2026-01-09;00:30;MinAmbiente;17;12.5;0.7;;24.8;5.3;0.64;12.3;12.0;;26.0
2026-01-09;00:30;San Cristobal;24;0.1;1.5;6.5;1.5;9.9;0.38;1.3;20.0;1.0;23.0
2026-01-09;00:30;Movil 7ma;26;;;;;;-9999.0;;11.4;;48.3
2026-01-09;00:30;Bolivia;27;-9999.0;;;-9999.0;-9999.0;-9999.0;-9999.0;18.7;;64.6
2026-01-09;00:30;Fontibon;30;25.9;1.6;9.1;60.2;1.9;0.87;34.3;23.0;5.3;54.9
2026-01-09;00:30;Usme;32;12.9;1.5;;15.9;13.5;0.24;3.0;6.6;;22.5
2026-01-09;00:30;Jazmin;34;39.0;1.4;;114.9;0.4;1.29;75.9;12.0;;37.9
2026-01-09;00:30;Ciudad Bolivar;37;28.7;1.1;-9999.0;54.5;8.8;1.67;25.8;7.9;-9999.0;30.7
2026-01-09;00:30;Colina;38;5.8;0.8;;7.5;14.8;0.35;1.8;0.0;;0.0
2026-01-09;00:30;Movil Fontibon;39;-9999.0;;;-9999.0;;-9999.0;-9999.0;23.4;;77.3
2026-01-09;01:41;Usaquen;1;-9999;-9999;;-9999;-9999;-9999;-9999;3.5;;5.7
2026-01-09;01:41;Carvajal - Sevillana;3;;1.5;;;;1.03;;27;;55
2026-01-09;01:41;Tunal;4;6.7;-0.2;9.5;39.7;8;-9999;33;13;1.4;48
2026-01-09;01:41;Centro de Alto Rendimiento;5;11.6;0.9;8;65;-9999;1.24;53.5;20.2;10.8;30.2
2026-01-09;01:41;Las Ferias;6;11.5;;;12.6;10.5;0.28;1.1;15;;20.7
2026-01-09;01:41;Guaymaral;8;16.2;0.6;;20.2;2.5;0.37;4.1;16;;30
2026-01-09;01:41;Kennedy;9;29.7;0.9;-9999;72.7;1.7;1.14;43.1;18.7;-9999;42.4
2026-01-09;01:41;Suba;11;15.6;0.8;;17.2;2.8;0.3;1.6;17;;30.4
2026-01-09;01:41;Puente Aranda;13;25.1;1.6;4.2;90.3;0.6;0.68;65.2;13.9;6.6;-9999
2026-01-09;01:41;MinAmbiente;17;9.1;0.7;;15.8;11.7;0.46;6.7;12;;16
2026-01-09;01:41;San Cristobal;24;0.1;1.2;4.8;1.5;15;0.18;1.4;14;0.6;6
2026-01-09;01:41;Movil 7ma;26;;;;;;-9999;;9.2;;48.8
2026-01-09;01:41;Bolivia;27;-9999;;;-9999;-9999;-9999;-9999;13.4;;57.4
2026-01-09;01:41;Fontibon;30;25.5;1;10.3;42.4;2.2;0.65;16.9;24;3.2;37.9
2026-01-09;01:41;Usme;32;10.3;1.4;;12.6;14.8;0.19;2.3;16;;12.6
2026-01-09;01:41;Jazmin;34;35.8;1.5;;120.8;0.4;1.23;85;24;;45.4
2026-01-09;01:41;Ciudad Bolivar;37;14.7;1;-9999;28.6;14.2;0.26;13.8;7;-9999;35.5
2026-01-09;01:41;Colina;38;5.8;0.8;;7.5;14.8;0.35;1.8;0;;0
2026-01-09;01:41;Movil Fontibon;39;-9999;;;-9999;;-9999;-9999;17.4;;73.3
