Fecha;Hora;name;stationId;NO;eBC;PM10;SO2;NOX;OZONO;PM25;NO2;CO;BBP
2026-01-11;00:30;Usaquen;1;-9999;;4.3;-9999;-9999;-9999;3.9;-9999;-9999;
2026-01-11;00:30;Carvajal - Sevillana;3;;;55;1.5;;;27;;1.03;
2026-01-11;00:30;Tunal;4;30.5;1.5;27;0.1;35.3;10;14;4.8;-9999;6.7
2026-01-11;00:30;Centro de Alto Rendimiento;5;5.1;3.2;33.3;0.7;20.8;-9999;21.1;15.7;0.52;9.9
2026-01-11;00:30;Las Ferias;6;11.3;;18.4;;43;1.4;18;31.7;0.66;
2026-01-11;00:30;Guaymaral;8;0.8;;26;0.7;10.4;8.5;8;9.6;0.29;
2026-01-11;00:30;Kennedy;9;2.7;-9999;28.2;2.3;25.3;0;24.5;22.6;0.92;-9999
2026-01-11;00:30;Suba;11;5.2;;22.4;0.6;18.5;6.9;9;13.4;0.36;
2026-01-11;00:30;Puente Aranda;13;9.8;3.1;-9999;1.9;38.3;1.6;15.2;28.4;0.53;7.7
2026-01-11;00:30;MinAmbiente;17;14.6;;18;1;29.6;2.1;10;14.9;0.78;
2026-01-11;00:30;San Cristobal;24;1.3;1;17;1.5;1.4;5.8;9;0.1;0.4;8.5
2026-01-11;00:30;Movil 7ma;26;;;51.8;;;;17.6;;-9999;
2026-01-11;00:30;Bolivia;27;-9999;;45;;-9999;-9999;19.4;-9999;-9999;
2026-01-11;00:30;Fontibon;30;0.3;1.4;18;0.7;12.7;11;20;12.3;0.47;6.1
2026-01-11;00:30;Usme;32;3.7;;38.7;2.8;15.1;11.3;9.8;11.5;0.29;
2026-01-11;00:30;Jazmin;34;6.3;;32.5;1.1;31.9;3.4;12.5;25.6;0.45;
2026-01-11;00:30;Ciudad Bolivar;37;11.1;-9999;41;2.6;23.7;15.3;4.9;12.6;0.22;-9999
2026-01-11;00:30;Colina;38;1.8;;0;0.8;7.5;14.8;0;5.8;0.35;
2026-01-11;00:30;Movil Fontibon;39;-9999;;23.7;;-9999;;13.7;-9999;-9999;
