Fecha;Hora;name;stationId;NO;eBC;NO2;PM10;PM25;SO2;NOX;BBP;CO;OZONO
2026-01-12;00:33;Usaquen;1;-9999;;-9999;3.1;3.2;-9999;-9999;;-9999;-9999
2026-01-12;00:33;Carvajal - Sevillana;3;;;;55;27;1.5;;;1.03;
2026-01-12;00:33;Tunal;4;32.5;2.6;5.5;20;11;1.9;38;2.8;-9999;9.2
2026-01-12;00:33;Centro de Alto Rendimiento;5;1;1.4;12.9;14.1;12.1;1;14;14.2;0.36;-9999
2026-01-12;00:33;Las Ferias;6;4.6;;18.4;7.4;12;;23;;0.49;1.2
2026-01-12;00:33;Guaymaral;8;1.3;;7.5;17;3;0.8;8.7;;0.32;5.4
2026-01-12;00:33;Kennedy;9;0.7;-9999;8.4;13.9;15.3;0.7;9.2;-9999;0.6;0
2026-01-12;00:33;Suba;11;0.6;;7.3;12.3;9;0.6;7.9;;0.32;4.5
2026-01-12;00:33;Puente Aranda;13;2.2;1.4;16.7;-9999;11.2;1.5;18.9;4.6;0.11;6.5
2026-01-12;00:33;MinAmbiente;17;3.2;;18.2;15;11;0.7;21.4;;0.65;3.3
2026-01-12;00:33;San Cristobal;24;1.4;1.3;0.1;13;17;1.8;1.5;3.3;0.34;6.6
2026-01-12;00:33;Movil 7ma;26;;;;33.4;4.2;;;;-9999;
2026-01-12;00:33;Bolivia;27;-9999;;-9999;20.1;9;;-9999;;-9999;-9999
2026-01-12;00:33;Fontibon;30;4.3;1.3;18.9;7;11;0.6;23.3;22.1;0.54;3.1
2026-01-12;00:33;Usme;32;4.4;;9.9;8;6;0.8;14.3;;0.26;11.3
2026-01-12;00:33;Jazmin;34;1;;18.1;21.5;8.8;1.6;19.1;;0.28;10.6
2026-01-12;00:33;Ciudad Bolivar;37;9.8;-9999;16.8;31.7;16.6;2.3;26.6;-9999;0.28;11.8
2026-01-12;00:33;Colina;38;1.8;;5.8;0;0;0.8;7.5;;0.35;14.8
2026-01-12;00:33;Movil Fontibon;39;-9999;;-9999;21.9;7.6;;-9999;;-9999;
