Fecha;Hora;name;stationId;BBP;NOX;OZONO;NO;SO2;NO2;CO;PM10;eBC;PM25
2026-01-16;00:30;Usaquen;1;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;0.0;;0.0
2026-01-16;00:30;Carvajal - Sevillana;3;;;;;1.5;;1.03;55.0;;27.0
2026-01-16;00:30;Tunal;4;1.0;62.6;1.3;56.2;2.2;6.4;-9999.0;29.0;4.8;11.0
2026-01-16;00:30;Centro de Alto Rendimiento;5;6.3;27.3;-9999.0;16.0;0.5;11.3;0.49;4.7;3.4;2.3
2026-01-16;00:30;Las Ferias;6;;29.8;0.5;13.3;;16.5;0.43;7.4;;5.0
2026-01-16;00:30;Guaymaral;8;;40.9;0.5;28.6;1.2;12.3;0.45;24.0;;8.0
2026-01-16;00:30;Kennedy;9;-9999.0;75.8;0.0;53.2;1.4;22.6;1.29;29.6;-9999.0;6.5
2026-01-16;00:30;Suba;11;;31.8;0.4;18.3;0.4;13.5;0.39;41.6;;7.0
2026-01-16;00:30;Puente Aranda;13;4.6;63.4;0.8;43.2;1.7;20.2;0.74;-9999.0;4.1;3.1
2026-01-16;00:30;MinAmbiente;17;;21.3;2.3;13.6;0.8;7.8;0.6;9.0;;3.0
2026-01-16;00:30;San Cristobal;24;5.6;1.6;1.7;1.5;1.9;0.2;0.37;13.0;0.8;166.0
2026-01-16;00:30;Movil 7ma;26;;;;;;;-9999.0;24.7;;3.8
2026-01-16;00:30;Bolivia;27;;-9999.0;-9999.0;-9999.0;;-9999.0;-9999.0;17.6;;4.4
2026-01-16;00:30;Fontibon;30;6.2;54.5;2.1;34.6;1.8;19.9;0.8;35.9;3.4;6.0
2026-01-16;00:30;Usme;32;;18.9;3.5;7.9;8.8;10.9;0.25;45.1;;14.7
2026-01-16;00:30;Jazmin;34;;72.3;0.3;50.0;1.2;22.4;0.86;13.1;;4.8
2026-01-16;00:30;Ciudad Bolivar;37;-9999.0;133.6;1.0;103.5;1.8;30.1;1.4;27.8;-9999.0;4.9
2026-01-16;00:30;Colina;38;;7.5;14.8;1.8;0.8;5.8;0.35;0.0;;0.0
2026-01-16;00:30;Movil Fontibon;39;;-9999.0;;-9999.0;;-9999.0;-9999.0;44.1;;9.7
2026-01-16;01:41;Usaquen;1;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;3.6;;0.0
2026-01-16;01:41;Carvajal - Sevillana;3;;;;;1.5;;1.03;55.0;;27.0
2026-01-16;01:41;Tunal;4;0.0;76.4;1.3;70.0;3.3;6.4;-9999.0;29.0;8.8;17.0
2026-01-16;01:41;Centro de Alto Rendimiento;5;8.0;12.9;-9999.0;3.5;1.0;9.4;0.23;4.8;1.2;2.4
2026-01-16;01:41;Las Ferias;6;;15.5;3.3;3.2;;12.3;0.24;6.6;;3.0
2026-01-16;01:41;Guaymaral;8;;56.3;0.4;43.2;1.5;13.0;0.45;27.0;;7.0
2026-01-16;01:41;Kennedy;9;-9999.0;47.1;0.0;26.7;1.1;20.5;0.87;28.0;-9999.0;7.9
2026-01-16;01:41;Suba;11;;21.9;0.8;8.8;0.7;13.1;0.33;44.8;;11.0
2026-01-16;01:41;Puente Aranda;13;3.3;38.1;0.9;19.7;1.2;18.4;0.31;-9999.0;2.3;3.3
2026-01-16;01:41;MinAmbiente;17;;18.0;1.9;10.5;0.7;7.5;0.53;9.0;;8.0
2026-01-16;01:41;San Cristobal;24;0.4;1.4;0.5;1.3;2.0;0.1;0.4;12.0;0.8;6.0
2026-01-16;01:41;Movil 7ma;26;;;;;;;-9999.0;12.8;;3.8
2026-01-16;01:41;Bolivia;27;;-9999.0;-9999.0;-9999.0;;-9999.0;-9999.0;24.4;;4.3
2026-01-16;01:41;Fontibon;30;6.4;38.5;2.0;20.2;1.3;18.3;0.64;18.0;2.6;7.0
2026-01-16;01:41;Usme;32;;40.1;1.9;26.2;3.6;13.8;0.51;30.3;;14.4
2026-01-16;01:41;Jazmin;34;;36.4;0.5;15.2;0.7;21.1;0.41;22.6;;4.3
2026-01-16;01:41;Ciudad Bolivar;37;-9999.0;103.6;0.9;73.9;1.2;29.7;0.89;40.2;-9999.0;4.9
2026-01-16;01:41;Colina;38;;7.5;14.8;1.8;0.8;5.8;0.35;0.0;;0.0
2026-01-16;01:41;Movil Fontibon;39;;-9999.0;;-9999.0;;-9999.0;-9999.0;34.2;;10.5
2026-01-16;02:28;Usaquen;1;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;8.0;;1.0
2026-01-16;02:28;Carvajal - Sevillana;3;;;;;1.5;;1.03;55.0;;27.0
2026-01-16;02:28;Tunal;4;1.3;79.0;1.3;72.3;3.0;6.7;-9999.0;50.0;8.4;24.0
2026-01-16;02:28;Centro de Alto Rendimiento;5;6.9;16.3;-9999.0;5.9;1.1;10.4;0.29;7.4;1.7;2.4
2026-01-16;02:28;Las Ferias;6;;18.7;2.3;5.5;;13.2;0.24;6.9;;4.0
2026-01-16;02:28;Guaymaral;8;;51.3;0.4;38.7;1.5;12.6;0.41;26.0;;6.0
2026-01-16;02:28;Kennedy;9;-9999.0;45.2;0.0;25.2;1.6;19.9;0.81;32.3;-9999.0;8.4
2026-01-16;02:28;Suba;11;;22.9;0.5;10.0;0.7;12.9;0.34;31.8;;7.0
2026-01-16;02:28;Puente Aranda;13;0.8;38.3;1.0;20.4;1.2;17.9;0.26;-9999.0;2.4;5.8
2026-01-16;02:28;MinAmbiente;17;;13.6;2.0;6.6;0.5;7.0;0.45;9.0;;5.0
2026-01-16;02:28;San Cristobal;24;5.5;1.4;0.1;1.3;1.9;0.1;0.47;11.0;0.9;985.0
2026-01-16;02:28;Movil 7ma;26;;;;;;;-9999.0;22.3;;4.1
2026-01-16;02:28;Bolivia;27;;-9999.0;-9999.0;-9999.0;;-9999.0;-9999.0;17.8;;4.2
2026-01-16;02:28;Fontibon;30;9.8;31.5;2.1;14.5;1.3;17.0;0.56;16.0;2.3;7.0
2026-01-16;02:28;Usme;32;;32.7;3.2;20.4;3.0;12.3;0.43;30.1;;10.7
2026-01-16;02:28;Jazmin;34;;32.2;0.4;11.0;0.8;21.2;0.39;21.4;;4.3
2026-01-16;02:28;Ciudad Bolivar;37;-9999.0;81.7;0.9;53.1;1.5;28.6;0.65;37.7;-9999.0;5.3
2026-01-16;02:28;Colina;38;;7.5;14.8;1.8;0.8;5.8;0.35;0.0;;0.0
2026-01-16;02:28;Movil Fontibon;39;;-9999.0;;-9999.0;;-9999.0;-9999.0;22.7;;7.9
2026-01-16;03:36;Usaquen;1;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;5.5;;0.1
2026-01-16;03:36;Carvajal - Sevillana;3;;;;;1.5;;1.03;55.0;;27.0
2026-01-16;03:36;Tunal;4;4.1;51.0;3.1;44.1;1.7;6.9;-9999.0;40.0;2.5;7.0
2026-01-16;03:36;Centro de Alto Rendimiento;5;12.2;13.0;-9999.0;4.2;1.1;8.9;0.22;9.0;1.4;2.7
