Fecha;Hora;name;stationId;CO;eBC;NOX;OZONO;PM10;NO;SO2;BBP;PM25;NO2
2026-01-21;00:33;Usaquen;1;-9999.0;;-9999.0;-9999.0;33.2;-9999.0;-9999.0;;14.8;-9999.0
2026-01-21;00:33;Carvajal - Sevillana;3;1.03;;;;55.0;;1.5;;27.0;
2026-01-21;00:33;Tunal;4;-9999.0;2.7;49.7;2.1;35.0;39.5;0.8;3.2;12.0;10.2
2026-01-21;00:33;Centro de Alto Rendimiento;5;1.14;8.5;37.2;-9999.0;32.6;23.9;1.3;7.1;15.9;13.2
2026-01-21;00:33;Las Ferias;6;0.98;;68.1;0.3;31.5;33.3;;;21.0;34.8
2026-01-21;00:33;Guaymaral;8;0.64;;61.6;0.6;41.0;39.0;2.0;;12.0;22.6
2026-01-21;00:33;Kennedy;9;1.41;-9999.0;79.7;0.0;39.5;50.3;6.2;-9999.0;27.7;29.3
2026-01-21;00:33;Suba;11;0.42;;17.8;3.2;20.3;1.5;0.6;;17.0;16.3
2026-01-21;00:33;Puente Aranda;13;0.46;4.1;46.3;1.0;-9999.0;19.0;3.2;0.2;17.4;27.3
2026-01-21;00:33;MinAmbiente;17;0.59;;20.6;5.2;33.0;9.5;0.7;;15.0;11.2
2026-01-21;00:33;San Cristobal;24;0.28;1.4;-9999.0;7.8;21.0;-9999.0;159.1;1.2;18.0;-9999.0
2026-01-21;00:33;Movil 7ma;26;-9999.0;;;;54.0;;;;28.3;
2026-01-21;00:33;Bolivia;27;-9999.0;;-9999.0;-9999.0;43.2;-9999.0;;;15.1;-9999.0
2026-01-21;00:33;Fontibon;30;1.02;6.1;43.5;2.3;65.0;16.8;1.2;8.2;38.9;26.8
2026-01-21;00:33;Usme;32;0.4;;25.1;6.6;50.6;8.9;7.0;;24.2;16.2
2026-01-21;00:33;Jazmin;34;0.57;;51.8;0.5;48.9;20.2;2.7;;15.6;31.6
2026-01-21;00:33;Ciudad Bolivar;37;1.05;-9999.0;121.3;0.9;85.0;82.6;2.5;-9999.0;10.4;38.7
2026-01-21;00:33;Colina;38;0.35;;7.5;14.8;0.0;1.8;0.8;;0.0;5.8
2026-01-21;00:33;Movil Fontibon;39;-9999.0;;-9999.0;;74.7;-9999.0;;;31.5;-9999.0
2026-01-21;01:44;Usaquen;1;-9999;;-9999;-9999;27.4;-9999;-9999;;10.7;-9999
2026-01-21;01:44;Carvajal - Sevillana;3;1.03;;;;55;;1.5;;27;
2026-01-21;01:44;Tunal;4;-9999;2;42.8;3.3;22;34.6;0.5;5.9;10;8.2
2026-01-21;01:44;Centro de Alto Rendimiento;5;1.15;8.9;31.7;-9999;34.7;22;1;10.5;16.6;9.7
2026-01-21;01:44;Las Ferias;6;0.92;;63;0.4;31.3;31.8;;;33;31.2
2026-01-21;01:44;Guaymaral;8;0.65;;90.8;0.6;41;68.5;2.8;;16;22.3
2026-01-21;01:44;Kennedy;9;1.29;-9999;74.5;0;44.4;46.5;5;-9999;26.4;27.9
2026-01-21;01:44;Suba;11;0.42;;21.7;1.6;23.7;4.6;0.7;;12;17
2026-01-21;01:44;Puente Aranda;13;0.16;3.1;34;2.9;-9999;10.7;2.1;0.7;16.9;23.3
2026-01-21;01:44;MinAmbiente;17;0.62;;23.6;2.3;29;11.9;0.9;;15;11.7
2026-01-21;01:44;San Cristobal;24;0.22;0.9;-9999;8.3;10;-9999;158.9;0.5;985;-9999
2026-01-21;01:44;Movil 7ma;26;-9999;;;;50.6;;;;21.6;
2026-01-21;01:44;Bolivia;27;-9999;;-9999;-9999;46.4;-9999;;;11.7;-9999
2026-01-21;01:44;Fontibon;30;0.69;3.9;26.1;4.4;60.8;4.9;0.7;3.3;22;21.2
2026-01-21;01:44;Usme;32;0.28;;38.2;4.4;48.5;19.5;3.5;;22.4;18.7
2026-01-21;01:44;Jazmin;34;0.37;;42.5;0.6;48.9;12.7;2.2;;32.1;29.8
2026-01-21;01:44;Ciudad Bolivar;37;1.13;-9999;129.1;0.8;72.2;91.2;1.9;-9999;7.6;37.8
2026-01-21;01:44;Colina;38;0.35;;7.5;14.8;0;1.8;0.8;;0;5.8
2026-01-21;01:44;Movil Fontibon;39;-9999;;-9999;;80;-9999;;;29.7;-9999
