Fecha;Hora;name;stationId;Temperatura;Dir Viento;Vel Viento;Lluvia;Temperatura 8M;Humedad;Rad Solar;Presion Baro
2025-09-29;11:14;Usaquen;1;18.6;119;2.1;0;;;;
2025-09-29;11:14;Carvajal - Sevillana;3;21.1;30;3.5;0;;;;
2025-09-29;11:14;Tunal;4;;216;1.6;0;;41;491;565
2025-09-29;11:14;Centro de Alto Rendimiento;5;16.9;249;0.3;0;;46;159;567
2025-09-29;11:14;Las Ferias;6;19.2;;;0;;45;;566
2025-09-29;11:14;Guaymaral;8;19.4;-9999;-9999;0;18.2;49;260;566
2025-09-29;11:14;Kennedy;9;;98;1.5;0;;39.7;582;
2025-09-29;11:14;Suba;11;19.3;26;2.5;0;;;;
2025-09-29;11:14;Puente Aranda;13;18.4;170;1.4;0;;49;347;566
2025-09-29;11:14;MinAmbiente;17;;-9999;-9999;0;;;;
2025-09-29;11:14;San Cristobal;24;18.2;105;1.9;0;;47;568;
2025-09-29;11:14;Movil 7ma;26;19.4;217;0.1;0;;42.4;242;564
2025-09-29;11:14;Bolivia;27;17.4;204;1.3;0;;63;350;567
2025-09-29;11:14;Fontibon;30;18.7;6;0.7;0;;46;;566
2025-09-29;11:14;Usme;32;18.5;;;0;;;619;564
2025-09-29;11:14;Jazmin;34;19.1;159;1.5;0;;45;714;566
2025-09-29;11:14;Ciudad Bolivar;37;18.2;;;0;;;591;560
2025-09-29;11:14;Colina;38;18.9;119;1.6;0;;;389;566
2025-09-29;11:14;Movil Fontibon;39;18.4;;;;;;369;567
