Fecha;Hora;name;stationId;Temperatura;Humedad;Dir Viento;Presion Baro;Lluvia;Rad Solar;Vel Viento;Temperatura 8M
2025-09-30;00:21;Usaquen;1;13.6;;107.0;;0.0;;2.0;
2025-09-30;00:21;Carvajal - Sevillana;3;14.7;;37.0;;0.0;;4.0;
2025-09-30;00:21;Tunal;4;;75.0;203.0;565.0;0.0;1.0;0.9;
2025-09-30;00:21;Centro de Alto Rendimiento;5;12.6;74.0;287.0;566.0;0.2;0.0;0.4;
2025-09-30;00:21;Las Ferias;6;14.7;67.0;;565.0;0.0;;;
2025-09-30;00:21;Guaymaral;8;13.8;72.0;-9999.0;565.0;0.0;0.0;-9999.0;13.7
2025-09-30;00:21;Kennedy;9;;75.2;293.0;;0.0;0.0;1.1;
2025-09-30;00:21;Suba;11;13.8;;33.0;;0.0;;1.7;
2025-09-30;00:21;Puente Aranda;13;14.9;82.0;222.0;565.0;0.0;0.0;1.8;
2025-09-30;00:21;MinAmbiente;17;;;-9999.0;;0.0;;-9999.0;
2025-09-30;00:21;San Cristobal;24;13.4;73.0;164.0;;0.0;0.0;0.6;
2025-09-30;00:21;Movil 7ma;26;15.3;60.7;144.0;564.0;0.0;0.0;1.0;
2025-09-30;00:21;Bolivia;27;14.1;83.0;356.0;566.0;0.7;0.0;1.2;
2025-09-30;00:21;Fontibon;30;13.7;82.0;355.0;566.0;0.2;;2.2;
2025-09-30;00:21;Usme;32;13.0;;;564.0;2.3;0.0;;
2025-09-30;00:21;Jazmin;34;14.8;81.0;216.0;565.0;0.0;0.0;0.8;
2025-09-30;00:21;Ciudad Bolivar;37;13.5;;;559.0;0.1;0.0;;
2025-09-30;00:21;Colina;38;14.8;;112.0;565.0;0.0;0.0;1.1;
2025-09-30;00:21;Movil Fontibon;39;14.7;;;566.0;;0.0;;
2025-09-30;01:35;Usaquen;1;13.1;;36.0;;0.0;;0.9;
2025-09-30;01:35;Carvajal - Sevillana;3;14.0;;33.0;;0.0;;3.7;
2025-09-30;01:35;Tunal;4;;80.0;210.0;564.0;0.1;1.0;0.7;
2025-09-30;01:35;Centro de Alto Rendimiento;5;11.6;82.0;14.0;566.0;0.1;0.0;0.5;
2025-09-30;01:35;Las Ferias;6;14.1;70.0;;565.0;0.0;;;
2025-09-30;01:35;Guaymaral;8;13.2;74.0;-9999.0;565.0;0.0;0.0;-9999.0;13.1
2025-09-30;01:35;Kennedy;9;;76.6;172.0;;0.0;0.0;0.7;
2025-09-30;01:35;Suba;11;13.3;;46.0;;0.0;;1.7;
2025-09-30;01:35;Puente Aranda;13;14.1;88.0;216.0;564.0;0.0;0.0;0.9;
2025-09-30;01:35;MinAmbiente;17;;;-9999.0;;0.3;;-9999.0;
2025-09-30;01:35;San Cristobal;24;12.6;75.0;104.0;;0.0;0.0;1.0;
2025-09-30;01:35;Movil 7ma;26;14.6;64.2;74.0;563.0;0.1;0.0;0.1;
2025-09-30;01:35;Bolivia;27;13.8;84.0;58.0;566.0;0.2;0.0;2.0;
2025-09-30;01:35;Fontibon;30;13.1;87.0;248.0;565.0;2.9;;0.8;
2025-09-30;01:35;Usme;32;12.8;;;563.0;0.4;0.0;;
2025-09-30;01:35;Jazmin;34;14.1;87.0;270.0;565.0;0.0;0.0;0.5;
2025-09-30;01:35;Ciudad Bolivar;37;13.3;;;558.0;0.1;0.0;;
2025-09-30;01:35;Colina;38;13.7;;104.0;565.0;0.0;0.0;0.9;
2025-09-30;01:35;Movil Fontibon;39;14.1;;;566.0;;1.0;;
2025-09-30;02:22;Usaquen;1;12.8;;351.0;;0.0;;1.5;
2025-09-30;02:22;Carvajal - Sevillana;3;13.9;;33.0;;0.0;;3.1;
2025-09-30;02:22;Tunal;4;;79.0;209.0;564.0;0.0;1.0;0.7;
2025-09-30;02:22;Centro de Alto Rendimiento;5;11.9;74.0;53.0;565.0;0.0;0.0;1.3;
2025-09-30;02:22;Las Ferias;6;13.3;71.0;;565.0;0.0;;;
2025-09-30;02:22;Guaymaral;8;12.7;77.0;-9999.0;564.0;0.1;0.0;-9999.0;12.5
2025-09-30;02:22;Kennedy;9;;78.3;61.0;;0.0;0.0;0.7;
2025-09-30;02:22;Suba;11;12.5;;14.0;;0.0;;1.7;
2025-09-30;02:22;Puente Aranda;13;14.5;87.0;308.0;564.0;0.0;0.0;0.9;
2025-09-30;02:22;MinAmbiente;17;;;-9999.0;;0.1;;-9999.0;
2025-09-30;02:22;San Cristobal;24;11.8;78.0;135.0;;0.0;0.0;0.7;
2025-09-30;02:22;Movil 7ma;26;14.1;63.9;171.0;563.0;0.0;0.0;0.1;
2025-09-30;02:22;Bolivia;27;13.1;85.0;50.0;565.0;0.0;0.0;2.3;
2025-09-30;02:22;Fontibon;30;13.0;86.0;47.0;565.0;0.0;;2.3;
2025-09-30;02:22;Usme;32;12.4;;;563.0;0.9;0.0;;
2025-09-30;02:22;Jazmin;34;14.0;88.0;272.0;565.0;0.1;0.0;0.8;
2025-09-30;02:22;Ciudad Bolivar;37;13.3;;;558.0;0.0;0.0;;
2025-09-30;02:22;Colina;38;13.4;;105.0;565.0;0.0;0.0;1.0;
2025-09-30;02:22;Movil Fontibon;39;13.8;;;565.0;;0.0;;
2025-09-30;03:32;Usaquen;1;12.3;;347.0;;0.0;;1.3;
2025-09-30;03:32;Carvajal - Sevillana;3;13.4;;33.0;;0.1;;2.6;
2025-09-30;03:32;Tunal;4;;81.0;190.0;564.0;0.1;1.0;0.7;
2025-09-30;03:32;Centro de Alto Rendimiento;5;11.5;76.0;36.0;565.0;0.0;0.0;0.7;
2025-09-30;03:32;Las Ferias;6;12.8;73.0;;564.0;0.0;;;
2025-09-30;03:32;Guaymaral;8;11.8;78.0;-9999.0;564.0;0.2;0.0;-9999.0;11.5
2025-09-30;03:32;Kennedy;9;;79.8;186.0;;0.0;0.0;0.9;
2025-09-30;03:32;Suba;11;11.7;;19.0;;0.1;;1.6;
2025-09-30;03:32;Puente Aranda;13;14.1;84.0;207.0;564.0;0.0;0.0;1.1;
2025-09-30;03:32;MinAmbiente;17;;;-9999.0;;0.0;;-9999.0;
2025-09-30;03:32;San Cristobal;24;10.9;85.0;117.0;;0.3;0.0;0.5;
2025-09-30;03:32;Movil 7ma;26;13.7;65.6;218.0;563.0;0.1;0.0;0.3;
2025-09-30;03:32;Bolivia;27;12.4;84.0;47.0;565.0;0.0;0.0;2.5;
2025-09-30;03:32;Fontibon;30;12.5;85.0;37.0;565.0;0.0;;2.9;
2025-09-30;03:32;Usme;32;12.1;;;563.0;0.3;0.0;;
2025-09-30;03:32;Jazmin;34;13.9;84.0;231.0;565.0;0.0;0.0;0.8;
2025-09-30;03:32;Ciudad Bolivar;37;12.5;;;558.0;0.2;0.0;;
2025-09-30;03:32;Colina;38;12.9;;36.0;565.0;0.0;0.0;1.2;
2025-09-30;03:32;Movil Fontibon;39;13.2;;;565.0;;0.0;;
2025-09-30;04:25;Usaquen;1;12.1;;6.0;;0.0;;0.7;
2025-09-30;04:25;Carvajal - Sevillana;3;13.0;;33.0;;0.1;;1.7;
2025-09-30;04:25;Tunal;4;;82.0;189.0;564.0;0.2;1.0;0.7;
2025-09-30;04:25;Centro de Alto Rendimiento;5;10.9;80.0;337.0;565.0;0.0;0.0;0.7;
2025-09-30;04:25;Las Ferias;6;12.6;74.0;;565.0;0.0;;;
2025-09-30;04:25;Guaymaral;8;11.5;81.0;-9999.0;565.0;0.0;0.0;-9999.0;11.2
2025-09-30;04:25;Kennedy;9;;80.6;285.0;;0.1;0.0;1.3;
2025-09-30;04:25;Suba;11;11.3;;16.0;;0.0;;1.6;
2025-09-30;04:25;Puente Aranda;13;13.3;87.0;228.0;564.0;0.0;0.0;1.1;
2025-09-30;04:25;MinAmbiente;17;;;-9999.0;;0.0;;-9999.0;
2025-09-30;04:25;San Cristobal;24;10.5;86.0;97.0;;0.1;0.0;0.8;
2025-09-30;04:25;Movil 7ma;26;13.5;65.8;205.0;563.0;0.0;0.0;0.2;
2025-09-30;04:25;Bolivia;27;12.4;85.0;43.0;566.0;0.0;0.0;1.8;
2025-09-30;04:25;Fontibon;30;12.2;85.0;28.0;565.0;0.0;;1.1;
2025-09-30;04:25;Usme;32;12.1;;;563.0;0.2;0.0;;
2025-09-30;04:25;Jazmin;34;13.3;86.0;207.0;565.0;0.1;0.0;0.8;
2025-09-30;04:25;Ciudad Bolivar;37;12.3;;;558.0;0.1;0.0;;
2025-09-30;04:25;Colina;38;12.7;;356.0;565.0;0.0;0.0;1.3;
2025-09-30;04:25;Movil Fontibon;39;13.0;;;565.0;;0.0;;
2025-09-30;05:25;Usaquen;1;12.2;;47.0;;0.0;;0.8;
2025-09-30;05:25;Carvajal - Sevillana;3;12.8;;32.0;;0.1;;1.6;
2025-09-30;05:25;Tunal;4;;84.0;265.0;564.0;0.0;1.0;1.2;
2025-09-30;05:25;Centro de Alto Rendimiento;5;10.8;79.0;12.0;566.0;0.0;0.0;1.0;
2025-09-30;05:25;Las Ferias;6;12.4;74.0;;565.0;0.0;;;
2025-09-30;05:25;Guaymaral;8;11.5;82.0;-9999.0;565.0;0.0;0.0;-9999.0;11.3
2025-09-30;05:25;Kennedy;9;;83.5;338.0;;0.0;0.0;1.1;
2025-09-30;05:25;Suba;11;11.3;;17.0;;0.0;;0.9;
2025-09-30;05:25;Puente Aranda;13;13.6;88.0;324.0;564.0;0.0;0.0;0.9;
2025-09-30;05:25;MinAmbiente;17;;;-9999.0;;0.1;;-9999.0;
2025-09-30;05:25;San Cristobal;24;10.8;85.0;110.0;;0.0;0.0;1.1;
2025-09-30;05:25;Movil 7ma;26;13.3;69.0;332.0;563.0;0.0;0.0;0.2;
2025-09-30;05:25;Bolivia;27;12.3;85.0;43.0;566.0;0.0;0.0;1.6;
2025-09-30;05:25;Fontibon;30;12.2;84.0;33.0;565.0;0.0;;1.7;
2025-09-30;05:25;Usme;32;11.9;;;563.0;0.0;0.0;;
2025-09-30;05:25;Jazmin;34;13.2;88.0;317.0;565.0;0.0;0.0;0.8;
2025-09-30;05:25;Ciudad Bolivar;37;11.8;;;558.0;0.0;0.0;;
2025-09-30;05:25;Colina;38;12.4;;340.0;565.0;0.0;0.0;0.9;
2025-09-30;05:25;Movil Fontibon;39;12.9;;;566.0;;0.0;;
2025-09-30;06:19;Usaquen;1;12.0;;323.0;;0.1;;0.7;
2025-09-30;06:19;Carvajal - Sevillana;3;12.5;;32.0;;0.7;;1.9;
2025-09-30;06:19;Tunal;4;;85.0;280.0;565.0;0.7;1.0;1.5;
2025-09-30;06:19;Centro de Alto Rendimiento;5;10.6;82.0;261.0;566.0;0.5;0.0;0.4;
2025-09-30;06:19;Las Ferias;6;12.2;76.0;;565.0;1.0;;;
2025-09-30;06:19;Guaymaral;8;11.7;81.0;-9999.0;565.0;0.0;0.0;-9999.0;11.5
2025-09-30;06:19;Kennedy;9;;84.0;316.0;;0.4;0.0;1.3;
2025-09-30;06:19;Suba;11;11.4;;21.0;;0.3;;0.7;
2025-09-30;06:19;Puente Aranda;13;13.1;91.0;262.0;565.0;0.1;0.0;1.1;
2025-09-30;06:19;MinAmbiente;17;;;-9999.0;;0.9;;-9999.0;
2025-09-30;06:19;San Cristobal;24;10.8;86.0;105.0;;0.9;0.0;0.7;
2025-09-30;06:19;Movil 7ma;26;13.1;70.2;250.0;563.0;0.5;0.0;0.2;
2025-09-30;06:19;Bolivia;27;12.2;86.0;335.0;566.0;0.7;1.0;1.0;
2025-09-30;06:19;Fontibon;30;12.0;85.0;334.0;565.0;0.9;;0.9;
2025-09-30;06:19;Usme;32;11.9;;;563.0;1.1;1.0;;
2025-09-30;06:19;Jazmin;34;12.9;93.0;286.0;565.0;0.9;0.0;1.1;
2025-09-30;06:19;Ciudad Bolivar;37;11.5;;;559.0;1.1;0.0;;
2025-09-30;06:19;Colina;38;12.6;;333.0;565.0;0.0;0.0;0.6;
