Fecha;Hora;name;stationId;Humedad;Dir Viento;Rad Solar;Temperatura 8M;Presion Baro;Temperatura;Lluvia;Vel Viento
2025-10-04;00:20;Usaquen;1;;142.0;;;;11.2;0.0;1.0
2025-10-04;00:20;Carvajal - Sevillana;3;;269.0;;;;13.9;0.0;2.1
2025-10-04;00:20;Tunal;4;76.0;200.0;1.0;;564.0;;0.0;0.5
2025-10-04;00:20;Centro de Alto Rendimiento;5;82.0;355.0;0.0;;566.0;8.5;0.0;0.2
2025-10-04;00:20;Las Ferias;6;70.0;39.0;;;565.0;12.1;0.0;1.5
2025-10-04;00:20;Guaymaral;8;80.0;307.0;0.0;9.2;565.0;8.9;0.0;0.7
2025-10-04;00:20;Kennedy;9;75.4;193.0;0.0;;;;0.0;0.6
2025-10-04;00:20;Suba;11;;23.0;;;;10.1;0.0;1.2
2025-10-04;00:20;Puente Aranda;13;72.0;197.0;0.0;;565.0;14.2;0.0;0.9
2025-10-04;00:20;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-04;00:20;San Cristobal;24;76.0;91.0;0.0;;;10.5;0.0;0.8
2025-10-04;00:20;Movil 7ma;26;60.1;101.0;0.0;;563.0;13.3;0.0;0.4
2025-10-04;00:20;Bolivia;27;83.0;35.0;0.0;;566.0;11.9;0.0;1.3
2025-10-04;00:20;Fontibon;30;79.0;353.0;;;565.0;12.2;0.0;0.6
2025-10-04;00:20;Usme;32;;;0.0;;563.0;12.1;0.0;
2025-10-04;00:20;Jazmin;34;69.0;178.0;0.0;;565.0;13.9;0.0;0.6
2025-10-04;00:20;Ciudad Bolivar;37;;;0.0;;558.0;12.8;0.0;
2025-10-04;00:20;Colina;38;;360.0;0.0;;565.0;12.3;0.0;0.9
2025-10-04;00:20;Movil Fontibon;39;;;0.0;;566.0;12.7;;
2025-10-04;01:30;Usaquen;1;;131;;;;11.6;0;1.6
2025-10-04;01:30;Carvajal - Sevillana;3;;239;;;;13;0;1
2025-10-04;01:30;Tunal;4;78;202;1;;564;;0;0.4
2025-10-04;01:30;Centro de Alto Rendimiento;5;85;283;0;;565;7.5;0;0.3
2025-10-04;01:30;Las Ferias;6;71;20;;;564;11.2;0;0.5
2025-10-04;01:30;Guaymaral;8;82;308;0;8.4;564;8.2;0;0.6
2025-10-04;01:30;Kennedy;9;76.7;194;0;;;;0;0.5
2025-10-04;01:30;Suba;11;;21;;;;9.1;0;0.8
2025-10-04;01:30;Puente Aranda;13;76;233;0;;564;13.6;0;0.8
2025-10-04;01:30;MinAmbiente;17;;-9999;;;;;0;-9999
2025-10-04;01:30;San Cristobal;24;76;86;0;;;10.2;0;1
2025-10-04;01:30;Movil 7ma;26;61.2;131;0;;562;12.6;0;0.2
2025-10-04;01:30;Bolivia;27;86;39;0;;565;11.3;0;1.2
2025-10-04;01:30;Fontibon;30;81;30;;;565;11.4;0;1.1
2025-10-04;01:30;Usme;32;;;0;;562;11.2;0;
2025-10-04;01:30;Jazmin;34;71;197;0;;564;13.4;0;0.6
2025-10-04;01:30;Ciudad Bolivar;37;;;0;;558;11.9;0;
2025-10-04;01:30;Colina;38;;317;0;;564;10.7;0;0.6
2025-10-04;01:30;Movil Fontibon;39;;;0;;565;12.5;;
